Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
cf-cassandra-release,terminal-table,1.4.5,https://github.com/tj/terminal-table,MIT
cf-cassandra-release,builder,3.2.2,https://github.com/jimweirich/builder,MIT
cf-cassandra-release,rspec-mocks,3.1.3,https://github.com/rspec/rspec-mocks,MIT
cf-cassandra-release,rspec-expectations,3.1.0,https://github.com/rspec/rspec-expectations,MIT
cf-cassandra-release,xpath,2.0.0,https://github.com/jnicklas/xpath,MIT
cf-cassandra-release,multi_xml,0.5.5,https://github.com/sferik/multi_xml,MIT
cf-cassandra-release,json,1.8,https://github.com/flori/json,RUBY
cf-cassandra-release,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-cassandra-release,faraday,0.9.0,https://github.com/lostisland/faraday,MIT
cf-cassandra-release,websocket-driver,0.4.0,https://github.com/faye/websocket-driver-ruby,MIT
cf-cassandra-release,pipeline,0.0.4,https://github.com/jch/html-pipeline,MIT
cf-cassandra-release,json,1.8.1,https://github.com/flori/json,RUBY
cf-cassandra-release,rack,1,https://github.com/rack/rack,MIT
cf-cassandra-release,rack,1,https://github.com/rack/rack,MIT
cf-cassandra-release,nokogiri,1.3,https://github.com/sparklemotion/nokogiri,MIT
cf-cassandra-release,net-scp,1.1.2,https://github.com/net-ssh/net-scp,MIT
cf-cassandra-release,rack,1.0.0,https://github.com/rack/rack,MIT
cf-cassandra-release,rubyzip,1.1,https://github.com/rubyzip/rubyzip,Ruby License
cf-cassandra-release,multi_json,1.1,https://github.com/intridea/multi_json,MIT
cf-cassandra-release,rspec-support,3.1.2,https://github.com/rspec/rspec-support,MIT
cf-cassandra-release,rspec-core,3.1.0,https://github.com/rspec/rspec-core,MIT
cf-cassandra-release,fog-core,1.22,https://github.com/fog/fog-core,MIT
cf-cassandra-release,websocket-driver,0.2.0,https://github.com/faye/websocket-driver-ruby,MIT
cf-cassandra-release,json_pure,1.7,https://github.com/flori/json,RUBY
cf-cassandra-release,builder,2.1.2,https://github.com/jimweirich/builder,MIT
cf-cassandra-release,json,1.8,https://github.com/flori/json,RUBY
cf-cassandra-release,mimemagic,0.2.1,https://github.com/minad/mimemagic,MIT
cf-cassandra-release,rake,10.3.2,https://github.com/jimweirich/rake,MIT
cf-cassandra-release,open4,1.3.4,https://github.com/ahoward/open4,Ruby License
cf-cassandra-release,multi_json,1.1,https://github.com/intridea/multi_json,MIT
cf-cassandra-release,progressbar,0.9.0,https://github.com/peleteiro/progressbar,Ruby License
