Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
cf-mongodb,terminal-table,1.4.5,https://github.com/tj/terminal-table,MIT
cf-mongodb,builder,3.2.2,https://github.com/jimweirich/builder,MIT
cf-mongodb,mimemagic,0.2.1,https://github.com/minad/mimemagic,MIT
cf-mongodb,httmultiparty,0.3,https://github.com/jwagener/httmultiparty,MIT
cf-mongodb,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-mongodb,net-ssh,2.9.1,https://github.com/net-ssh/net-ssh,MIT
cf-mongodb,capybara,2.1,https://github.com/jnicklas/capybara,MIT
cf-mongodb,rack,1,https://github.com/rack/rack,MIT
cf-mongodb,nokogiri,1.3,https://github.com/sparklemotion/nokogiri,MIT
cf-mongodb,net-scp,1.1.2,https://github.com/net-ssh/net-scp,MIT
cf-mongodb,formatador,0.2,https://github.com/geemus/formatador,MIT
cf-mongodb,log4r,1.1.9,https://github.com/colbygk/log4r,BSD
cf-mongodb,fog-core,1.22,https://github.com/fog/fog-core,MIT
cf-mongodb,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
cf-mongodb,json_pure,1.7,https://github.com/flori/json,Ruby License
cf-mongodb,json,1.8,https://github.com/flori/json,Ruby License
cf-mongodb,httparty,0.7.3,https://github.com/jnunemaker/httparty,MIT
cf-mongodb,open4,1.3.4,https://github.com/ahoward/open4,Ruby License
cf-mongodb,fog-core,1.27.2,https://github.com/fog/fog-core,MIT
cf-mongodb,progressbar,0.9.0,https://github.com/peleteiro/progressbar,Ruby License
cf-mongodb,rspec-core,3.1.7,https://github.com/rspec/rspec-core,MIT
cf-mongodb,log4r,1.1.10,https://github.com/colbygk/log4r,BSD
cf-mongodb,nokogiri,1.6.3.1,https://github.com/sparklemotion/nokogiri,MIT
cf-mongodb,multi_json,1.1,https://github.com/intridea/multi_json,MIT
cf-mongodb,progressbar,0.9.0,https://github.com/peleteiro/progressbar,Ruby License
cf-mongodb,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
cf-mongodb,rspec-core,3.1.0,https://github.com/rspec/rspec-core,MIT
cf-mongodb,excon,0.40.0,https://github.com/excon/excon,MIT
cf-mongodb,terminal-table,1.4.5,https://github.com/tj/terminal-table,MIT
cf-mongodb,poltergeist,1.5.1,https://github.com/teampoltergeist/poltergeist,MIT
cf-mongodb,rspec,3.1,https://github.com/rspec/rspec,MIT
cf-mongodb,multi_json,1.1,https://github.com/intridea/multi_json,MIT
