name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
i18n,0.6.4,None,https://rubygems.org/gems/i18n/versions/0.6.4,MIT,New in 1.5,cf-mongodb,,
activesupport,4.0.0,None,https://rubygems.org/gems/activesupport/versions/4.0.0,MIT,New in 1.5,cf-mongodb,,
activemodel,4.0.0,None,https://rubygems.org/gems/activemodel/versions/4.0.0,MIT,New in 1.5,cf-mongodb,,
aws-sdk,1.44.0,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE 2.0,No change,cf-mongodb,,
bosh_common,1.2751.0,None,https://rubygems.org/gems/bosh_common/versions/1.2751.0,Apache 2.0,New in 1.5,cf-mongodb,,
blobstore_client,1.2751.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2751.0,Apache 2.0,New in 1.5,cf-mongodb,,
activesupport,4.0.0,None,https://rubygems.org/gems/activesupport/versions/4.0.0,MIT,New in 1.5,cf-mongodb,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,cf-mongodb,,
fog,1.23.0,1.23.0,https://github.com/fog/fog,MIT,No change,cf-mongodb,,
aws-sdk,1.44.0,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE 2.0,No change,cf-mongodb,,
atomic,1.1.14,None,https://rubygems.org/gems/atomic/versions/1.1.14,Apache-2.0,New in 1.5,cf-mongodb,,
tzinfo,0.3.38,None,https://rubygems.org/gems/tzinfo/versions/0.3.38,MIT,New in 1.5,cf-mongodb,https://github.com/tzinfo/tzinfo/blob/master/LICENSE,
blue-shell,0.2.2,None,https://rubygems.org/gems/blue-shell/versions/0.2.2,MIT,New in 1.5,cf-mongodb,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,cf-mongodb,,
rspec,3.3.0,3.1,https://rubygems.org/gems/rspec,MIT,Version Changed,cf-mongodb,,https://github.com/rspec/rspec
bosh-template,1.2751.0,None,https://rubygems.org/gems/bosh-template/versions/1.2751.0,Apache 2.0,New in 1.5,cf-mongodb,,
bosh_cli,1.2751.0,None,https://rubygems.org/gems/bosh_cli/versions/1.2751.0,Apache 2.0,New in 1.5,cf-mongodb,,
bosh-template,1.2751.0,None,https://rubygems.org/gems/bosh-template/versions/1.2751.0,Apache 2.0,New in 1.5,cf-mongodb,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,cf-mongodb,,
blobstore_client,1.2751.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2751.0,Apache 2.0,New in 1.5,cf-mongodb,,
bosh_common,1.2751.0,None,https://rubygems.org/gems/bosh_common/versions/1.2751.0,Apache 2.0,New in 1.5,cf-mongodb,,
sinatra,1.4.4,None,https://rubygems.org/gems/sinatra/versions/1.4.4,MIT,New in 1.5,cf-mongodb,https://github.com/sinatra/sinatra/blob/master/LICENSE,
simplecov-html,0.8.0,None,https://rubygems.org/gems/simplecov-html/versions/0.8.0,MIT,New in 1.5,cf-mongodb,https://github.com/colszowka/simplecov-html/blob/master/LICENSE,
rack,1.4.0,1,https://rubygems.org/gems/rack/versions/1.4.0,MIT,Version Changed,cf-mongodb,https://github.com/rack/rack/blob/master/COPYING,https://github.com/rack/rack
ast,1.1.0,None,https://rubygems.org/gems/ast/versions/1.1.0,N/A,New in 1.5,cf-mongodb,Not Found Github Url,
simplecov-html,0.8.0,None,https://rubygems.org/gems/simplecov-html/versions/0.8.0,MIT,New in 1.5,cf-mongodb,https://github.com/colszowka/simplecov-html/blob/master/LICENSE,
net-scp,1.1.0,1.1.0,https://github.com/net-ssh/net-scp,MIT,No change,cf-mongodb,,
net-ssh-gateway,1.2.0,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT,No change,cf-mongodb,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,cf-mongodb,,
bson_ext,1.11.1,None,https://rubygems.org/gems/bson_ext/versions/1.11.1,Apache License Version 2.0,New in 1.5,cf-mongodb,,
bosh_common,1.2751.0,None,https://rubygems.org/gems/bosh_common/versions/1.2751.0,Apache 2.0,New in 1.5,cf-mongodb,,
bson,1.11.1,None,https://rubygems.org/gems/bson/versions/1.11.1,Apache License Version 2.0,New in 1.5,cf-mongodb,,
bson,1.11.1,None,https://rubygems.org/gems/bson/versions/1.11.1,Apache License Version 2.0,New in 1.5,cf-mongodb,,
docile,1.1.0,None,https://rubygems.org/gems/docile/versions/1.1.0,MIT,New in 1.5,cf-mongodb,https://github.com/ms-ati/docile/blob/master/LICENSE,
capybara,2.4.4,2.4.4,https://github.com/jnicklas/capybara,MIT,No change,cf-mongodb,,
httmultiparty,0.3.16,0.3.16,https://github.com/jwagener/httmultiparty,MIT,No change,cf-mongodb,,
