Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
cf-pivotalone-rabbit,terminal-table,1.4.5,https://github.com/tj/terminal-table,MIT
cf-pivotalone-rabbit,builder,3.2.2,https://github.com/jimweirich/builder,MIT
cf-pivotalone-rabbit,mimemagic,0.2.1,https://github.com/minad/mimemagic,MIT
cf-pivotalone-rabbit,multipart-post,2.0.0,https://github.com/nicksieger/multipart-post,MIT
cf-pivotalone-rabbit,fog,1.14.0,https://github.com/fog/fog,MIT
cf-pivotalone-rabbit,terminal-table,1.4.5,https://github.com/tj/terminal-table,MIT
cf-pivotalone-rabbit,net-ssh,2.9.1,https://github.com/net-ssh/net-ssh,MIT
cf-pivotalone-rabbit,capybara,2.1,https://github.com/jnicklas/capybara,MIT
cf-pivotalone-rabbit,rack,1,https://github.com/rack/rack,MIT
cf-pivotalone-rabbit,nokogiri,1.3,https://github.com/sparklemotion/nokogiri,MIT
cf-pivotalone-rabbit,httmultiparty,0.3,https://github.com/jwagener/httmultiparty,MIT
cf-pivotalone-rabbit,nokogiri,1.5,https://github.com/sparklemotion/nokogiri,MIT
cf-pivotalone-rabbit,json_pure,1.8.1,https://github.com/flori/json,Ruby License
cf-pivotalone-rabbit,json,1.8,https://github.com/flori/json,Ruby License
cf-pivotalone-rabbit,httparty,0.7.3,https://github.com/jnunemaker/httparty,MIT
cf-pivotalone-rabbit,open4,1.3.4,https://github.com/ahoward/open4,Ruby License
cf-pivotalone-rabbit,progressbar,0.9.0,https://github.com/peleteiro/progressbar,Ruby License
cf-pivotalone-rabbit,rspec-core,3.1.7,https://github.com/rspec/rspec-core,MIT
cf-pivotalone-rabbit,log4r,1.1.10,https://github.com/colbygk/log4r,BSD
cf-pivotalone-rabbit,progressbar,0.9.2,https://github.com/peleteiro/progressbar,Ruby License
cf-pivotalone-rabbit,multi_json,1.1,https://github.com/intridea/multi_json,MIT
cf-pivotalone-rabbit,progressbar,0.9.0,https://github.com/peleteiro/progressbar,Ruby License
cf-pivotalone-rabbit,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
cf-pivotalone-rabbit,rspec-expectations,3.1.0,https://github.com/rspec/rspec-expectations,MIT
cf-pivotalone-rabbit,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-pivotalone-rabbit,poltergeist,1.5.1,https://github.com/teampoltergeist/poltergeist,MIT
cf-pivotalone-rabbit,rspec,3.1,https://github.com/rspec/rspec,MIT
cf-pivotalone-rabbit,nokogiri,1.3,https://github.com/sparklemotion/nokogiri,MIT
cf-pivotalone-rabbit,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
cf-pivotalone-rabbit,rake,10.4.2,https://github.com/ruby/rake,MIT
cf-pivotalone-rabbit,json,1.4,https://github.com/flori/json,Ruby License
cf-pivotalone-rabbit,json_pure,1.8.1,https://github.com/flori/json,Ruby License
cf-pivotalone-rabbit,faraday,0.7.4,https://github.com/lostisland/faraday,MIT
cf-pivotalone-rabbit,excon,0.25.3,https://github.com/excon/excon,MIT
cf-pivotalone-rabbit,rspec-support,3.1.2,https://github.com/rspec/rspec-support,MIT
cf-pivotalone-rabbit,rack-test,0.6.2,https://github.com/brynary/rack-test,MIT
cf-pivotalone-rabbit,capybara,2.4.4,https://github.com/jnicklas/capybara,MIT
cf-pivotalone-rabbit,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-pivotalone-rabbit,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
cf-pivotalone-rabbit,json,1.8,https://github.com/flori/json,Ruby License
cf-pivotalone-rabbit,capybara-webkit,1.3.1,https://github.com/thoughtbot/capybara-webkit,MIT
cf-pivotalone-rabbit,builder,2.1.2,https://github.com/jimweirich/builder,MIT
cf-pivotalone-rabbit,json,1.8.1,https://github.com/flori/json,Ruby License
cf-pivotalone-rabbit,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
cf-pivotalone-rabbit,multi_json,1,https://github.com/intridea/multi_json,MIT
cf-pivotalone-rabbit,excon,0.25.0,https://github.com/excon/excon,MIT
cf-pivotalone-rabbit,rack,1.0.0,https://github.com/rack/rack,MIT
cf-pivotalone-rabbit,multi_xml,0.5.2,https://github.com/sferik/multi_xml,MIT
cf-pivotalone-rabbit,rubyzip,1.1.6,https://github.com/rubyzip/rubyzip,Ruby License
cf-pivotalone-rabbit,nokogiri,1.5,https://github.com/sparklemotion/nokogiri,MIT
cf-pivotalone-rabbit,prof,0.9.2,https://github.com/ruby-prof/ruby-prof,BSD
cf-pivotalone-rabbit,terminal-table,1.4.3,https://github.com/tj/terminal-table,MIT
cf-pivotalone-rabbit,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
cf-pivotalone-rabbit,net-ssh,2.9.1,https://github.com/net-ssh/net-ssh,MIT
cf-pivotalone-rabbit,excon,0.25.0,https://github.com/excon/excon,MIT
cf-pivotalone-rabbit,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-pivotalone-rabbit,multipart-post,1.2,https://github.com/nicksieger/multipart-post,MIT
cf-pivotalone-rabbit,diff-lcs,1.2.0,https://github.com/halostatue/diff-lcs,MIT
cf-pivotalone-rabbit,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-pivotalone-rabbit,rake,10.3.2,https://github.com/ruby/rake,MIT
cf-pivotalone-rabbit,nokogiri,1.3.3,https://github.com/sparklemotion/nokogiri,MIT
cf-pivotalone-rabbit,nokogiri,1.6.5,https://github.com/sparklemotion/nokogiri,MIT
cf-pivotalone-rabbit,xpath,2.0.0,https://github.com/jnicklas/xpath,MIT
cf-pivotalone-rabbit,mime-types,1.16,https://github.com/halostatue/mime-types,MIT
cf-pivotalone-rabbit,terminal-table,1.4.3,https://github.com/tj/terminal-table,MIT
cf-pivotalone-rabbit,multi_json,1.10.1,https://github.com/intridea/multi_json,MIT
cf-pivotalone-rabbit,formatador,0.2.0,https://github.com/geemus/formatador,MIT
cf-pivotalone-rabbit,rspec,3.1.0,https://github.com/rspec/rspec,MIT
cf-pivotalone-rabbit,ruby-hmac,0.4.0,https://rubygems.org/downloads/ruby-hmac-0.4.0.gem,MIT
cf-pivotalone-rabbit,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
cf-pivotalone-rabbit,xpath,2,https://github.com/jnicklas/xpath,MIT
cf-pivotalone-rabbit,rspec-mocks,3.1.3,https://github.com/rspec/rspec-mocks,MIT
cf-pivotalone-rabbit,mini_portile,0.6.0,https://github.com/flavorjones/mini_portile,MIT
cf-pivotalone-rabbit,httmultiparty,0.3.16,https://github.com/jwagener/httmultiparty,MIT
cf-pivotalone-rabbit,net-ssh,2.9.1,https://github.com/net-ssh/net-ssh,MIT
cf-pivotalone-rabbit,progressbar,0.9.2,https://github.com/peleteiro/progressbar,Ruby License
cf-pivotalone-rabbit,mime-types,2.4.3,https://github.com/halostatue/mime-types,MIT
cf-pivotalone-rabbit,faraday,0.9.0,https://github.com/lostisland/faraday,MIT
cf-pivotalone-rabbit,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
cf-pivotalone-rabbit,nokogiri,1.5,https://github.com/sparklemotion/nokogiri,MIT
cf-pivotalone-rabbit,websocket-driver,0.5.0,https://github.com/faye/websocket-driver-ruby,MIT
cf-pivotalone-rabbit,multi_json,1,https://github.com/intridea/multi_json,MIT
cf-pivotalone-rabbit,log4r,1.1.10,https://github.com/colbygk/log4r,BSD
cf-pivotalone-rabbit,json_pure,1.7,https://github.com/flori/json,Ruby License
cf-pivotalone-rabbit,formatador,0.2.5,https://github.com/geemus/formatador,MIT
cf-pivotalone-rabbit,net-scp,1.1.0,https://github.com/net-ssh/net-scp,MIT
cf-pivotalone-rabbit,rack-test,0.5.4,https://github.com/brynary/rack-test,MIT
cf-pivotalone-rabbit,rspec-support,3.1.0,https://github.com/rspec/rspec-support,MIT
cf-pivotalone-rabbit,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
cf-pivotalone-rabbit,rspec_junit_formatter,0.2.0,https://github.com/sj26/rspec_junit_formatter,MIT
cf-pivotalone-rabbit,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
cf-pivotalone-rabbit,net-scp,1.1.0,https://github.com/net-ssh/net-scp,MIT
cf-pivotalone-rabbit,aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE 2.0
cf-pivotalone-rabbit,log4r,1.1.9,https://github.com/colbygk/log4r,BSD
cf-pivotalone-rabbit,highline,1.6.2,https://github.com/JEG2/highline,GPL-2
cf-pivotalone-rabbit,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
cf-pivotalone-rabbit,nokogiri,1.3,https://github.com/sparklemotion/nokogiri,MIT
cf-pivotalone-rabbit,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
cf-pivotalone-rabbit,json,1.8.1,https://github.com/flori/json,Ruby License
cf-pivotalone-rabbit,log4r,1.1.9,https://github.com/colbygk/log4r,BSD
cf-pivotalone-rabbit,highline,1.6.21,https://github.com/JEG2/highline,GPL-2
cf-pivotalone-rabbit,mime-types,2.3,https://github.com/halostatue/mime-types,MIT
cf-pivotalone-rabbit,multi_json,1.1,https://github.com/intridea/multi_json,MIT
cf-pivotalone-rabbit,httparty,0.13.3,https://github.com/jnunemaker/httparty,MIT
cf-pivotalone-rabbit,nokogiri,1.6.5,https://github.com/sparklemotion/nokogiri,MIT
cf-pivotalone-rabbit,nokogiri,1.3.3,https://github.com/sparklemotion/nokogiri,MIT
cf-pivotalone-rabbit,json,1.4,https://github.com/flori/json,Ruby License
cf-pivotalone-rabbit,rubyzip,1.1,https://github.com/rubyzip/rubyzip,Ruby License
cf-pivotalone-rabbit,excon,0.25.3,https://github.com/excon/excon,MIT
cf-pivotalone-rabbit,multi_xml,0.5.5,https://github.com/sferik/multi_xml,MIT
cf-pivotalone-rabbit,net-scp,1.1.2,https://github.com/net-ssh/net-scp,MIT
cf-pivotalone-rabbit,websocket-extensions,0.1.0,https://github.com/faye/websocket-extensions-ruby,MIT
cf-pivotalone-rabbit,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
cf-pivotalone-rabbit,multi_json,1.1,https://github.com/intridea/multi_json,MIT
cf-pivotalone-rabbit,rspec-expectations,3.1.2,https://github.com/rspec/rspec-expectations,MIT
cf-pivotalone-rabbit,cliver,0.3.1,https://github.com/yaauie/cliver,MIT
cf-pivotalone-rabbit,diff-lcs,1.2.5,https://github.com/halostatue/diff-lcs,MIT
cf-pivotalone-rabbit,net-scp,1.1,https://github.com/net-ssh/net-scp,MIT
cf-pivotalone-rabbit,net-scp,1.1.2,https://github.com/net-ssh/net-scp,MIT
cf-pivotalone-rabbit,capybara,2.0.2,https://github.com/jnicklas/capybara,MIT
cf-pivotalone-rabbit,net-scp,1.1,https://github.com/net-ssh/net-scp,MIT
cf-pivotalone-rabbit,net-scp,1.1.2,https://github.com/net-ssh/net-scp,MIT
