Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
p-cassandra,aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
p-cassandra,json,1.4,https://github.com/flori/json,RUBY
p-cassandra,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
p-cassandra,aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
p-cassandra,fog,1.23.0,https://github.com/fog/fog,MIT
p-cassandra,httpclient,2.4.0,https://github.com/nahi/httpclient,RUBY
p-cassandra,multi_json,1.1,https://github.com/intridea/multi_json,MIT
p-cassandra,highline,1.6.2,https://rubygems.org/gems/highline,RUBY
p-cassandra,httpclient,2.4.0,https://github.com/nahi/httpclient,RUBY
p-cassandra,json_pure,1.7,https://github.com/flori/json,Ruby License
p-cassandra,minitar,0.5.4,https://github.com/atoulme/minitar,RUBY
p-cassandra,net-scp,1.1.0,https://github.com/net-ssh/net-scp,MIT
p-cassandra,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
p-cassandra,net-ssh-gateway,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT
p-cassandra,netaddr,1.5.0,http://www.ruby-doc.org/gems/docs/n/netaddr-1.5.0/NetAddr.html,RUBY
p-cassandra,progressbar,0.9.0,https://github.com/peleteiro/progressbar,RUBY
p-cassandra,terminal-table,1.4.3,https://github.com/tj/terminal-table,MIT
p-cassandra,logging,1.8.2,https://github.com/TwP/logging,MIT
p-cassandra,builder,3.2.2,https://github.com/jimweirich/builder,MIT
p-cassandra,capybara,2.4.4,https://github.com/jnicklas/capybara,MIT
p-cassandra,mime-types,1.16,https://github.com/halostatue/mime-types/,MIT
p-cassandra,nokogiri,1.3.3,https://github.com/sparklemotion/nokogiri,MIT
p-cassandra,rack,1.0.0,https://github.com/rack/rack,MIT
p-cassandra,rack-test,0.5.4,https://github.com/brynary/rack-test,MIT
p-cassandra,xpath,2,https://github.com/jnicklas/xpath,MIT
p-cassandra,capybara-webkit,1.3.1,https://github.com/thoughtbot/capybara-webkit ,MIT
p-cassandra,capybara,2.0.2,https://github.com/jnicklas/capybara,MIT
p-cassandra,ci_reporter,2.0.0,https://github.com/ci-reporter/ci_reporter,MIT
