name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
CFPropertyList,2.3.1,None,https://rubygems.org/gems/CFPropertyList/versions/2.3.1,MIT,New in 1.5,p-rabbitmq,,
aws-sdk-v1,1.60.2,None,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,New in 1.5,p-rabbitmq,,
aws-sdk,1.60.2,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,p-rabbitmq,,https://github.com/aws/aws-sdk-core-ruby
bosh_common,1.2891.0,None,https://rubygems.org/gems/bosh_common/versions/1.2891.0,Apache 2.0,New in 1.5,p-rabbitmq,,
aws-sdk-v1,1.60.2,None,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,New in 1.5,p-rabbitmq,,
bosh_common,1.2891.0,None,https://rubygems.org/gems/bosh_common/versions/1.2891.0,Apache 2.0,New in 1.5,p-rabbitmq,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,RUBY,No change,p-rabbitmq,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,p-rabbitmq,,
blobstore_client,1.2891.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2891.0,Apache 2.0,New in 1.5,p-rabbitmq,,
blobstore_client,1.2891.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2891.0,Apache 2.0,New in 1.5,p-rabbitmq,,
amq-protocol,1.9.2,1.9.2,https://github.com/ruby-amqp/amq-protocol,MIT,No change,p-rabbitmq,,
bosh_cli,1.2891.0,None,https://rubygems.org/gems/bosh_cli/versions/1.2891.0,Apache 2.0,New in 1.5,p-rabbitmq,,
aws-sdk,1.60.2,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,p-rabbitmq,,https://github.com/aws/aws-sdk-core-ruby
bosh-template,1.2891.0,None,https://rubygems.org/gems/bosh-template/versions/1.2891.0,Apache 2.0,New in 1.5,p-rabbitmq,,
bosh-template,1.2891.0,None,https://rubygems.org/gems/bosh-template/versions/1.2891.0,Apache 2.0,New in 1.5,p-rabbitmq,,
fog,1.27.0,1.23.0,https://rubygems.org/gems/fog/versions/1.27.0,MIT,Version Changed,p-rabbitmq,,https://github.com/fog/fog
ruby-atmos-pure,1.0.5,None,https://rubygems.org/gems/ruby-atmos-pure/versions/1.0.5,N/A,New in 1.5,p-rabbitmq,Not Found Github Url,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,RUBY,No change,p-rabbitmq,,
net-scp,1.1.0,1.1.0,https://github.com/net-ssh/net-scp,MIT,No change,p-rabbitmq,,
net-ssh-gateway,1.2.0,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT,No change,p-rabbitmq,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,p-rabbitmq,,
amq-protocol,1.9.2,1.9.2,https://github.com/ruby-amqp/amq-protocol,MIT,No change,p-rabbitmq,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,p-rabbitmq,,
bunny,1.6.3,1.6.3,https://github.com/ruby-amqp/bunny,MIT,No change,p-rabbitmq,,
nokogiri,1.4.4,1.4.4,https://github.com/sparklemotion/nokogiri,MIT,No change,p-rabbitmq,,
bosh_common,1.2891.0,None,https://rubygems.org/gems/bosh_common/versions/1.2891.0,Apache 2.0,New in 1.5,p-rabbitmq,,
capybara,2.4.4,2.4.4,https://github.com/jnicklas/capybara,MIT,No change,p-rabbitmq,,
netaddr,1.5.0,1.5.0,http://www.ruby-doc.org/gems/docs/n/netaddr-1.5.0/NetAddr.html,RUBY,No change,p-rabbitmq,,
capybara-webkit,1.6.0,1.3.1,https://rubygems.org/gems/capybara-webkit/versions/1.6.0,MIT,Version Changed,p-rabbitmq,,https://github.com/thoughtbot/capybara-webkit
capybara,2.3.0,2.4.4,https://rubygems.org/gems/capybara/versions/2.3.0,MIT,Version Changed,p-rabbitmq,,https://github.com/jnicklas/capybara
httmultiparty,0.3.16,0.3.16,https://github.com/jwagener/httmultiparty,MIT,No change,p-rabbitmq,,
websocket-extensions,0.1.2,0.1.0,https://rubygems.org/gems/websocket-extensions/versions/0.1.2,MIT,Version Changed,p-rabbitmq,,https://github.com/faye/websocket-extensions-ruby
rspec-core,3.3.2,3.1.0,https://rubygems.org/gems/rspec-core,MIT,Version Changed,p-rabbitmq,,https://github.com/rspec/rspec-core
websocket-extensions,0.1.0,0.1.0,https://github.com/faye/websocket-extensions-ruby,MIT,No change,p-rabbitmq,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,p-rabbitmq,,
cf-uaa-lib,3.1.0,None,https://rubygems.org/gems/cf-uaa-lib/versions/3.1.0,Apache 2.0,New in 1.5,p-rabbitmq,,
json,1.8.3,1.4,https://rubygems.org/gems/json,Ruby,Version Changed,p-rabbitmq,,https://github.com/flori/json
multi_json,1.11.2,1.1,https://rubygems.org/gems/multi_json,MIT,Version Changed,p-rabbitmq,,https://github.com/intridea/multi_json
ci_reporter,2.0.0,2.0.0,https://github.com/ci-reporter/ci_reporter,MIT,No change,p-rabbitmq,,
multi_json,1.1.0,1.1,https://rubygems.org/gems/multi_json/versions/1.1.0,MIT,Version Changed,p-rabbitmq,https://github.com/intridea/multi_json/blob/master/LICENSE.md,https://github.com/intridea/multi_json
cliver,0.3.2,0.3.2,https://github.com/yaauie/cliver,MIT,No change,p-rabbitmq,,
coderay,1.1.0,1.1.0,https://github.com/rubychan/coderay,MIT,No change,p-rabbitmq,,
diffy,3.0.7,None,https://rubygems.org/gems/diffy,MIT,New in 1.5,p-rabbitmq,,
