Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
p-redis,aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
p-redis,json,1.4,https://github.com/flori/json,RUBY
p-redis,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
p-redis,aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
p-redis,fog,1.23.0,https://github.com/fog/fog,MIT
p-redis,httpclient,2.4.0,https://github.com/nahi/httpclient,RUBY
p-redis,multi_json,1.1,https://github.com/intridea/multi_json,MIT
p-redis,highline,1.6.2,https://rubygems.org/gems/highline,RUBY
p-redis,httpclient,2.4.0,https://github.com/nahi/httpclient,RUBY
p-redis,json_pure,1.7,https://github.com/flori/json,Ruby License
p-redis,minitar,0.5.4,https://github.com/atoulme/minitar,RUBY
p-redis,net-scp,1.1.0,https://github.com/net-ssh/net-scp,MIT
p-redis,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
p-redis,net-ssh-gateway,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT
p-redis,netaddr,1.5.0,http://www.ruby-doc.org/gems/docs/n/netaddr-1.5.0/NetAddr.html,RUBY
p-redis,progressbar,0.9.0,https://github.com/peleteiro/progressbar,RUBY
p-redis,terminal-table,1.4.3,https://github.com/tj/terminal-table,MIT
p-redis,logging,1.5.0,https://github.com/TwP/logging,MIT
p-redis,builder,3.2.2,https://github.com/jimweirich/builder,MIT
p-redis,capybara,2.4.4,https://github.com/jnicklas/capybara,MIT
p-redis,mime-types,1.16,https://github.com/halostatue/mime-types/,MIT
p-redis,nokogiri,1.3.3,https://github.com/sparklemotion/nokogiri,MIT
p-redis,rack,1.0.0,https://github.com/rack/rack,MIT
p-redis,rack-test,0.5.4,https://github.com/brynary/rack-test,MIT
p-redis,xpath,2,https://github.com/jnicklas/xpath,MIT
p-redis,capybara-webkit,1.3.1,https://github.com/thoughtbot/capybara-webkit,MIT
p-redis,capybara,2.0.2,https://github.com/jnicklas/capybara,MIT
p-redis,ci_reporter,2.0.0,https://github.com/ci-reporter/ci_reporter,MIT
p-redis,builder,2.1.2,https://github.com/jimweirich/builder,MIT
p-redis,cliver,0.3.2,https://github.com/yaauie/cliver,MIT
p-redis,coderay,1.1.0,https://github.com/rubychan/coderay,MIT
p-redis,diff-lcs,1.2.5,https://github.com/halostatue/diff-lcs,MIT
p-redis,dock_it ,0.2.2,https://github.com/dockitapp/dockit,MIT
p-redis,excon,0.41.0,https://github.com/excon/excon,MIT
p-redis,faraday,0.9.0,https://github.com/lostisland/faraday,MIT
p-redis,multipart-post,1.2,https://github.com/nicksieger/multipart-post,MIT
p-redis,faraday_middleware,0.9.1,https://github.com/lostisland/faraday_middleware,MIT
p-redis,faraday,0.7.4,https://github.com/lostisland/faraday,MIT
p-redis,aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
p-redis,fog,1.23.0,https://github.com/fog/fog,MIT
p-redis,fog-core,1.23,https://github.com/fog/fog-core,MIT
p-redis,ipaddress,0.5,https://github.com/bluemonk/ipaddress,MIT
p-redis,nokogiri,1.5.11,https://github.com/sparklemotion/nokogiri,MIT
p-redis,fog-brightbox,0.6.1,https://rubygems.org/gems/fog-brightbox,MIT
p-redis,fog-core,1.22,https://github.com/fog/fog-core,MIT
p-redis,inflecto,0.0.2,https://github.com/mbj/inflecto,MIT
p-redis,fog-core,1.25.0,https://github.com/fog/fog-core,MIT
p-redis,excon,0.38,https://github.com/excon/excon,MIT
p-redis,formatador,0.2,https://github.com/geemus/formatador,MIT
p-redis,net-scp,1.1,https://github.com/net-ssh/net-scp,MIT
p-redis,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
p-redis,fog-json,1.0.0,https://github.com/fog/fog-json,MIT
p-redis,multi_json,1,https://github.com/intridea/multi_json,MIT
p-redis,fog-softlayer,0.3.24,https://github.com/fog/fog-softlayer,MIT
p-redis,formatador,0.2.5,https://github.com/geemus/formatador,MIT
p-redis,highline,1.6.21,https://rubygems.org/gems/highline,RUBY
p-redis,httmultiparty,0.3.16,https://github.com/jwagener/httmultiparty,MIT
p-redis,httparty,0.7.3,https://github.com/jnunemaker/httparty,MIT
p-redis,httparty,0.13.3,https://github.com/jnunemaker/httparty,MIT
p-redis,json,1.8,https://github.com/flori/json,RUBY
p-redis,multi_xml,0.5.2,https://github.com/sferik/multi_xml,MIT
p-redis,httpclient,2.4.0,https://github.com/nahi/httpclient,RUBY
p-redis,inflecto,0.0.2,https://github.com/mbj/inflecto,MIT
p-redis,ipaddress,0.8.0,https://github.com/bluemonk/ipaddress,MIT
p-redis,json,1.8.1,https://github.com/flori/json,RUBY
p-redis,json_pure,1.8.1,https://github.com/flori/json,Ruby License
p-redis,little-plugger,1.1.3,https://github.com/TwP/little-plugger,MIT
p-redis,log4r,1.1.10,https://github.com/colbygk/log4r,BSD
p-redis,logging,1.5.2,https://github.com/TwP/logging,MIT
p-redis,little-plugger,1.1.2,https://github.com/TwP/little-plugger,MIT
p-redis,method_source,0.8.2,https://github.com/banister/method_source,MIT
p-redis,mime-types,2.4.3,https://github.com/halostatue/mime-types/,MIT
p-redis,mimemagic,0.2.1,https://github.com/minad/mimemagic,MIT
p-redis,mini_portile,0.6.1,https://github.com/flavorjones/mini_portile,MIT
p-redis,minitar,0.5.4,https://github.com/atoulme/minitar,RUBY
p-redis,multi_json,1.10.1,https://github.com/intridea/multi_json,MIT
p-redis,multi_xml,0.5.5,https://github.com/sferik/multi_xml,MIT
p-redis,multipart-post,2.0.0,https://github.com/nicksieger/multipart-post,MIT
p-redis,net-scp,1.1.2,https://github.com/net-ssh/net-scp,MIT
p-redis,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
p-redis,net-ssh,2.9.1,https://github.com/net-ssh/net-ssh,MIT
p-redis,net-ssh-gateway,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT
p-redis,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
