Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
app-usage-service(ruby),actionmailer,4.1.1,https://rubygems.org/gems/actionmailer,MIT
app-usage-service(ruby),actionpack,4.1.1,https://rubygems.org/gems/actionpack,MIT
app-usage-service(ruby),actionview,4.1.1,https://rubygems.org/gems/actionview,MIT
app-usage-service(ruby),mail,2.5.4,https://github.com/mikel/mail,MIT
app-usage-service(ruby),actionpack,4.1.1,https://rubygems.org/gems/actionpack,MIT
app-usage-service(ruby),actionview,4.1.1,https://rubygems.org/gems/actionview,MIT
app-usage-service(ruby),activesupport,4.1.1,https://rubygems.org/gems/activesupport,MIT
app-usage-service(ruby),rack,1.5.2,https://github.com/rack/rack,MIT
app-usage-service(ruby),rack-test,0.6.2,https://github.com/brynary/rack-test,MIT
app-usage-service(ruby),actionview,4.1.1,https://rubygems.org/gems/actionview,MIT
app-usage-service(ruby),activesupport,4.1.1,https://rubygems.org/gems/activesupport,MIT
app-usage-service(ruby),builder,3.1,https://github.com/jimweirich/builder,MIT
app-usage-service(ruby),erubis,2.7.0,https://github.com/kwatch/erubis,MIT
app-usage-service(ruby),activemodel,4.1.1,https://rubygems.org/gems/activemodel,MIT
app-usage-service(ruby),activesupport,4.1.1,https://rubygems.org/gems/activesupport,MIT
app-usage-service(ruby),builder,3.1,https://github.com/jimweirich/builder,MIT
app-usage-service(ruby),activerecord,4.1.1,https://rubygems.org/gems/activerecord,MIT
app-usage-service(ruby),activemodel,4.1.1,https://rubygems.org/gems/activemodel,MIT
app-usage-service(ruby),activesupport,4.1.1,https://rubygems.org/gems/activesupport,MIT
app-usage-service(ruby),arel,5.0.0,https://github.com/rails/arel,MIT
app-usage-service(ruby),activesupport,4.1.1,https://rubygems.org/gems/activesupport,MIT
app-usage-service(ruby),i18n,0.6.9,https://github.com/svenfuchs/i18n,MIT
app-usage-service(ruby),json,1.7.7,https://github.com/flori/json,RUBY
app-usage-service(ruby),minitest,5.1,https://github.com/seattlerb/minitest,MIT
app-usage-service(ruby),thread_safe,0.1,https://github.com/headius/thread_safe,APACHE-2.0
app-usage-service(ruby),tzinfo,1.1,https://github.com/tzinfo/tzinfo,MIT
app-usage-service(ruby),addressable,2.3.6,https://github.com/sporkmonger/addressable,APACHE 2.0
app-usage-service(ruby),arel,5.0.1.20140414130214,https://github.com/rails/arel,MIT
app-usage-service(ruby),builder,3.2.2,https://github.com/jimweirich/builder,MIT
app-usage-service(ruby),capybara,2.4.4,https://github.com/jnicklas/capybara,MIT
app-usage-service(ruby),mime-types,1.16,https://github.com/halostatue/mime-types/,MIT
app-usage-service(ruby),nokogiri,1.3.3,https://github.com/sparklemotion/nokogiri,MIT
app-usage-service(ruby),rack,1.0.0,https://github.com/rack/rack,MIT
app-usage-service(ruby),rack-test,0.5.4,https://github.com/brynary/rack-test,MIT
app-usage-service(ruby),xpath,2,https://github.com/jnicklas/xpath,MIT
app-usage-service(ruby),multi_json,1.10.1,https://github.com/intridea/multi_json,MIT
app-usage-service(ruby),clockwork,0.7.5,https://github.com/tomykaira/clockwork,MIT
app-usage-service(ruby),activesupport,4.2.0,https://rubygems.org/gems/activesupport,MIT
app-usage-service(ruby),tzinfo,1.2.2,https://github.com/tzinfo/tzinfo,MIT
app-usage-service(ruby),coderay,1.1.0,https://github.com/rubychan/coderay,MIT
app-usage-service(ruby),crack,0.4.2,https://github.com/jnunemaker/crack,MIT
app-usage-service(ruby),safe_yaml,1.0.0,https://github.com/dtao/safe_yaml,MIT
app-usage-service(ruby),daemons,1.1.9,https://github.com/thuehlinger/daemons,MIT
app-usage-service(ruby),database_cleaner,1.2.0,https://github.com/DatabaseCleaner/database_cleaner,MIT
app-usage-service(ruby),delayed_job,4.0.1,https://github.com/collectiveidea/delayed_job,MIT
app-usage-service(ruby),activesupport,3,https://rubygems.org/gems/activesupport,MIT
app-usage-service(ruby),delayed_job_active_record,4.0.1,https://github.com/collectiveidea/delayed_job_active_record,MIT
app-usage-service(ruby),activerecord,3,https://rubygems.org/gems/activerecord,MIT
app-usage-service(ruby),delayed_job,3,https://github.com/collectiveidea/delayed_job,MIT
app-usage-service(ruby),diff-lcs,1.2.5,https://github.com/halostatue/diff-lcs,MIT
app-usage-service(ruby),dotenv,0.11.1,https://github.com/bkeepers/dotenv,MIT
app-usage-service(ruby),dotenv-deployment,0.0.2,https://github.com/bkeepers/dotenv-deployment,MIT
app-usage-service(ruby),dotenv-deployment,0.0.2,https://github.com/bkeepers/dotenv-deployment,MIT
app-usage-service(ruby),dotenv-rails,0.11.1,https://github.com/bkeepers/dotenv,MIT
app-usage-service(ruby),dotenv,0.11.1,https://github.com/bkeepers/dotenv,MIT
app-usage-service(ruby),erubis,2.7.0,https://github.com/kwatch/erubis,MIT
app-usage-service(ruby),ethon,0.7.0,https://github.com/typhoeus/ethon,MIT
app-usage-service(ruby),ffi,1.3.0,https://rubygems.org/gems/ffi,BSD
app-usage-service(ruby),eventmachine,1.0.3,https://rubygems.org/gems/eventmachine,RUBY
app-usage-service(ruby),ffi,1.9.3,https://rubygems.org/gems/ffi,BSD
app-usage-service(ruby),hike,1.2.3,https://github.com/sstephenson/hike,MIT
app-usage-service(ruby),i18n,0.6.11,https://github.com/svenfuchs/i18n,MIT
app-usage-service(ruby),jbuilder,2.0.7,https://github.com/rails/jbuilder,MIT
app-usage-service(ruby),activesupport,3.0.0,https://rubygems.org/gems/activesupport,MIT
app-usage-service(ruby),multi_json,1.2,https://github.com/intridea/multi_json,MIT
