name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
bosh_common,1.2891.0,None,https://rubygems.org/gems/bosh_common/versions/1.2891.0,Apache 2.0,New in 1.5,p-mongodb,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,RUBY,No change,p-mongodb,,
bosh-template,1.2891.0,None,https://rubygems.org/gems/bosh-template/versions/1.2891.0,Apache 2.0,New in 1.5,p-mongodb,,
CFPropertyList,2.3.1,None,https://rubygems.org/gems/CFPropertyList/versions/2.3.1,MIT,New in 1.5,p-mongodb,,
aws-sdk-v1,1.60.2,None,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,New in 1.5,p-mongodb,,
bosh_common,1.2891.0,None,https://rubygems.org/gems/bosh_common/versions/1.2891.0,Apache 2.0,New in 1.5,p-mongodb,,
aws-sdk-v1,1.60.2,None,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,New in 1.5,p-mongodb,,
aws-sdk,1.60.2,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,p-mongodb,,,,,
blobstore_client,1.2891.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2891.0,Apache 2.0,New in 1.5,p-mongodb,,
fog,1.27.0,1.23.0,https://rubygems.org/gems/fog/versions/1.27.0,MIT,Version Changed,p-mongodb,,,,,
aws-sdk,1.60.2,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,p-mongodb,,,,,
ruby-atmos-pure,1.0.5,None,https://rubygems.org/gems/ruby-atmos-pure/versions/1.0.5,N/A,New in 1.5,p-mongodb,Not Found Github Url,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,RUBY,No change,p-mongodb,,
net-scp,1.1.0,1.1.0,https://github.com/net-ssh/net-scp,MIT,No change,p-mongodb,,
net-ssh-gateway,1.2.0,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT,No change,p-mongodb,,
bosh_common,1.2891.0,None,https://rubygems.org/gems/bosh_common/versions/1.2891.0,Apache 2.0,New in 1.5,p-mongodb,,
rack-test,0.6.3,0.5.4,https://rubygems.org/gems/rack-test/versions/0.6.3,N/A,Version Changed,p-mongodb,https://github.com/brynary/rack-test,https://github.com/brynary/rack-test,MIT,,
xpath,2.0.0,2.0.0,https://github.com/jnicklas/xpath,MIT,No change,p-mongodb,,
bosh-template,1.2891.0,None,https://rubygems.org/gems/bosh-template/versions/1.2891.0,Apache 2.0,New in 1.5,p-mongodb,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,p-mongodb,,
bosh_cli,1.2891.0,None,https://rubygems.org/gems/bosh_cli/versions/1.2891.0,Apache 2.0,New in 1.5,p-mongodb,,
blobstore_client,1.2891.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2891.0,Apache 2.0,New in 1.5,p-mongodb,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,p-mongodb,,
websocket-extensions,0.1.2,0.1.0,https://rubygems.org/gems/websocket-extensions/versions/0.1.2,MIT,Version Changed,p-mongodb,,,,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,p-mongodb,,
capybara,2.4.4,2.4.4,https://github.com/jnicklas/capybara,MIT,No change,p-mongodb,,
httmultiparty,0.3.16,0.3.16,https://github.com/jwagener/httmultiparty,MIT,No change,p-mongodb,,
websocket-extensions,0.1.0,0.1.0,https://github.com/faye/websocket-extensions-ruby,MIT,No change,p-mongodb,,
websocket-driver,0.5.4,0.2.0,https://rubygems.org/gems/websocket-driver/versions/0.5.4,MIT,Version Changed,p-mongodb,,,,,
capybara,2.3.0,2.4.4,https://rubygems.org/gems/capybara/versions/2.3.0,MIT,Version Changed,p-mongodb,,,,,
json,1.8.3,1.4,https://rubygems.org/gems/json,Ruby,Version Changed,p-mongodb,,,,,
capybara-webkit,1.5.1,1.3.1,https://rubygems.org/gems/capybara-webkit/versions/1.5.1,MIT,Version Changed,p-mongodb,,,,,
cf-uaa-lib,3.1.0,None,https://rubygems.org/gems/cf-uaa-lib/versions/3.1.0,Apache 2.0,New in 1.5,p-mongodb,,
multi_json,1.1.0,1.1,https://rubygems.org/gems/multi_json/versions/1.1.0,MIT,Version Changed,p-mongodb,https://github.com/intridea/multi_json/blob/master/LICENSE.md,,,mark,
multi_json,1.11.2,1.1,https://rubygems.org/gems/multi_json,MIT,Version Changed,p-mongodb,,,,,
ci_reporter,2.0.0,2.0.0,https://github.com/ci-reporter/ci_reporter,MIT,No change,p-mongodb,,
thor,0.19.1,0.19.1,https://github.com/erikhuda/thor,MIT,No change,p-mongodb,,
cliver,0.3.2,0.3.2,https://github.com/yaauie/cliver,MIT,No change,p-mongodb,,
mime-types,2.6.1,1.16,https://rubygems.org/gems/mime-types,MIT,Version Changed,p-mongodb,,,,,
diffy,3.0.7,None,https://rubygems.org/gems/diffy,MIT,New in 1.5,p-mongodb,,
open4,1.3.4,1.3.4,https://github.com/ahoward/open4,Ruby License,No change,p-mongodb,,
nokogiri,1.6.6.2,1.4.4,https://rubygems.org/gems/nokogiri,MIT,Version Changed,p-mongodb,,,,,
diff-lcs,1.2.5,1.2.5,https://github.com/halostatue/diff-lcs,MIT,No change,p-mongodb,,
diffy,3.0.7,None,https://rubygems.org/gems/diffy/versions/3.0.7,MIT,New in 1.5,p-mongodb,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,p-mongodb,,
rspec-core,3.3.2,3.1.0,https://rubygems.org/gems/rspec-core,MIT,Version Changed,p-mongodb,,,,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,p-mongodb,,
domain_name,0.5.24,None,https://rubygems.org/gems/domain_name/versions/0.5.24,BSD + MPL 1.1/GPL 2.0/LGPL 2.1,New in 1.5,p-mongodb,,
unf_ext,0.0.7.1,None,https://rubygems.org/gems/unf_ext/versions/0.0.7.1,MIT,New in 1.5,p-mongodb,,
excon,0.45.3,0.42.1,https://rubygems.org/gems/excon/versions/0.45.3,MIT,Version Changed,p-mongodb,,,,,
net-ssh,2.2.1,2.2.1,https://github.com/net-ssh/net-ssh,MIT,No change,p-mongodb,,
faraday,0.9.1,0.9.1,https://github.com/lostisland/faraday,MIT,No change,p-mongodb,,
multipart-post,1.2.0,1.2,https://rubygems.org/gems/multipart-post/versions/1.2.0,MIT,Version Changed,p-mongodb,,,,mark,
faraday_middleware,0.9.1,0.9.1,https://github.com/lostisland/faraday_middleware,MIT,No change,p-mongodb,,
thor,0.19.1,0.19.1,https://github.com/erikhuda/thor,MIT,No change,p-mongodb,,
aws-sdk,2.1.7,1.44.0,https://rubygems.org/gems/aws-sdk,Apache 2.0,Version Changed,p-mongodb,,,,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,p-mongodb,,
fog,1.27.0,1.23.0,https://rubygems.org/gems/fog/versions/1.27.0,MIT,Version Changed,p-mongodb,,,,,
fog-atmos,0.1.0,None,https://rubygems.org/gems/fog-atmos,MIT,New in 1.5,p-mongodb,,
fog-brightbox,0.4.0,0.7.1,https://rubygems.org/gems/fog-brightbox/versions/0.4.0,MIT,Version Changed,p-mongodb,,,,,
nokogiri,1.3.0,1.4.4,https://rubygems.org/gems/nokogiri/versions/1.3.0,N/A,Version Changed,p-mongodb,https://github.com/sparklemotion/nokogiri,https://github.com/sparklemotion/nokogiri,MIT,,
fog-core,1.27.3,1.23,https://rubygems.org/gems/fog-core/versions/1.27.3,MIT,Version Changed,p-mongodb,,,,,
fog-ecloud,0.3.0,None,https://rubygems.org/gems/fog-ecloud,MIT,New in 1.5,p-mongodb,,
fog-json,1.0.2,1.0.0,https://rubygems.org/gems/fog-json,MIT,Version Changed,p-mongodb,,,,,
fog-profitbricks,0.0.3,None,https://rubygems.org/gems/fog-profitbricks,MIT,New in 1.5,p-mongodb,,
fog-radosgw,0.0.2,None,https://rubygems.org/gems/fog-radosgw/versions/0.0.2,MIT,New in 1.5,p-mongodb,,
fog-sakuracloud,0.0.4,None,https://rubygems.org/gems/fog-sakuracloud/versions/0.0.4,MIT,New in 1.5,p-mongodb,,
json,1.4.0,1.4,https://rubygems.org/gems/json/versions/1.4.0,N/A,Version Changed,p-mongodb,https://flori.github.com/json/,https://github.com/flori/json,RUBY,mark,
fog-serverlove,0.1.2,None,https://rubygems.org/gems/fog-serverlove,MIT,New in 1.5,p-mongodb,,
fog-softlayer,0.4.7,0.3.30,https://rubygems.org/gems/fog-softlayer,MIT,Version Changed,p-mongodb,,,,,
fog-storm_on_demand,0.1.1,None,https://rubygems.org/gems/fog-storm_on_demand,MIT,New in 1.5,p-mongodb,,
fog-vmfusion,0.1.0,None,https://rubygems.org/gems/fog-vmfusion,MIT,New in 1.5,p-mongodb,,
fog-terremark,0.1.0,None,https://rubygems.org/gems/fog-terremark,MIT,New in 1.5,p-mongodb,,
fog-voxel,0.1.0,None,https://rubygems.org/gems/fog-voxel,MIT,New in 1.5,p-mongodb,,
fog-xml,0.1.1,None,https://rubygems.org/gems/fog-xml/versions/0.1.1,MIT,New in 1.5,p-mongodb,,
fog-aws,0.7.3,None,https://rubygems.org/gems/fog-aws,MIT,New in 1.5,p-mongodb,,
nokogiri,1.4.4,1.4.4,https://github.com/sparklemotion/nokogiri,MIT,No change,p-mongodb,,
nokogiri,1.5.11,1.5.11,https://github.com/sparklemotion/nokogiri,MIT,No change,p-mongodb,,
fog-atmos,0.1.0,None,https://rubygems.org/gems/fog-atmos/versions/0.1.0,MIT,New in 1.5,p-mongodb,,
fog-core,1.32.0,1.23,https://rubygems.org/gems/fog-core,MIT,Version Changed,p-mongodb,,,,,
unf,0.0.5,None,https://rubygems.org/gems/unf/versions/0.0.5,bsd,New in 1.5,p-mongodb,https://github.com/knu/ruby-unf/blob/master/LICENSE,
fog-xml,0.1.2,None,https://rubygems.org/gems/fog-xml,MIT,New in 1.5,p-mongodb,,
fog-aws,0.2.2,None,https://rubygems.org/gems/fog-aws/versions/0.2.2,MIT,New in 1.5,p-mongodb,,
fog-core,1.27.0,1.23,https://rubygems.org/gems/fog-core/versions/1.27.0,MIT,Version Changed,p-mongodb,,,,,
fog-json,1.0.0,1.0.0,https://github.com/fog/fog-json,MIT,No change,p-mongodb,,
fog-brightbox,0.7.1,0.7.1,https://rubygems.org/gems/fog-brightbox,MIT,No change,p-mongodb,,
fog-core,1.22.0,1.23,https://rubygems.org/gems/fog-core/versions/1.22.0,MIT,Version Changed,p-mongodb,,,,,
fog-json,1.0.2,1.0.0,https://rubygems.org/gems/fog-json,MIT,Version Changed,p-mongodb,,,,,
CFPropertyList,2.2.0,None,https://rubygems.org/gems/CFPropertyList/versions/2.2.0,MIT,New in 1.5,p-mongodb,https://github.com/ckruse/CFPropertyList/blob/master/LICENSE,
fission,0.5.0,None,https://rubygems.org/gems/fission/versions/0.5.0,MIT,New in 1.5,p-mongodb,https://github.com/thbishop/fission/blob/master/LICENSE,
