Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
p-neo4j,aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
p-neo4j,json,1.4,https://github.com/flori/json,RUBY
p-neo4j,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
p-neo4j,aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
p-neo4j,fog,1.23.0,https://github.com/fog/fog,MIT
p-neo4j,httpclient,2.4.0,https://github.com/nahi/httpclient,RUBY
p-neo4j,multi_json,1.1,https://github.com/intridea/multi_json,MIT
p-neo4j,highline,1.6.2,https://rubygems.org/gems/highline,RUBY
p-neo4j,httpclient,2.4.0,https://github.com/nahi/httpclient,RUBY
p-neo4j,json_pure,1.7,https://github.com/flori/json,Ruby License
p-neo4j,minitar,0.5.4,https://github.com/atoulme/minitar,RUBY
p-neo4j,net-scp,1.1.0,https://github.com/net-ssh/net-scp,MIT
p-neo4j,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
p-neo4j,net-ssh-gateway,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT
p-neo4j,netaddr,1.5.0,http://www.ruby-doc.org/gems/docs/n/netaddr-1.5.0/NetAddr.html,RUBY
p-neo4j,progressbar,0.9.0,https://github.com/peleteiro/progressbar,RUBY
p-neo4j,terminal-table,1.4.3,https://github.com/tj/terminal-table,MIT
p-neo4j,logging,1.8.2,https://github.com/TwP/logging,MIT
p-neo4j,builder,3.2.2,https://github.com/jimweirich/builder,MIT
p-neo4j,capybara,2.4.4,https://github.com/jnicklas/capybara,MIT
p-neo4j,mime-types,1.16,https://github.com/halostatue/mime-types/,MIT
p-neo4j,nokogiri,1.3.3,https://github.com/sparklemotion/nokogiri,MIT
p-neo4j,rack,1.0.0,https://github.com/rack/rack,MIT
p-neo4j,rack-test,0.5.4,https://github.com/brynary/rack-test,MIT
p-neo4j,xpath,2,https://github.com/jnicklas/xpath,MIT
p-neo4j,capybara-webkit,1.3.1,https://github.com/thoughtbot/capybara-webkit ,MIT
