name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,cf-cassandra-release,,
bosh-template,1.2811.0,None,https://rubygems.org/gems/bosh-template/versions/1.2811.0,Apache 2.0,New in 1.5,cf-cassandra-release,,
aws-sdk,1.44.0,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE 2.0,No change,cf-cassandra-release,,
blobstore_client,1.2811.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2811.0,Apache 2.0,New in 1.5,cf-cassandra-release,,
bosh_common,1.2811.0,None,https://rubygems.org/gems/bosh_common/versions/1.2811.0,Apache 2.0,New in 1.5,cf-cassandra-release,,
bosh_cli,1.2811.0,None,https://rubygems.org/gems/bosh_cli/versions/1.2811.0,Apache 2.0,New in 1.5,cf-cassandra-release,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,cf-cassandra-release,,
aws-sdk,1.44.0,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE 2.0,No change,cf-cassandra-release,,
blobstore_client,1.2811.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2811.0,Apache 2.0,New in 1.5,cf-cassandra-release,,
fog,1.23.0,1.23.0,https://github.com/fog/fog,MIT,No change,cf-cassandra-release,,
bosh-template,1.2811.0,None,https://rubygems.org/gems/bosh-template/versions/1.2811.0,Apache 2.0,New in 1.5,cf-cassandra-release,,
ruby-atmos-pure,1.0.5,None,https://rubygems.org/gems/ruby-atmos-pure/versions/1.0.5,N/A,New in 1.5,cf-cassandra-release,Not Found Github Url,
net-scp,1.1.0,1.1.0,https://github.com/net-ssh/net-scp,MIT,No change,cf-cassandra-release,,
net-ssh-gateway,1.2.0,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT,No change,cf-cassandra-release,,
bosh_common,1.2811.0,None,https://rubygems.org/gems/bosh_common/versions/1.2811.0,Apache 2.0,New in 1.5,cf-cassandra-release,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,cf-cassandra-release,,
