name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
bosh_common,1.2690.4.0,None,https://rubygems.org/gems/bosh_common/versions/1.2690.4.0,Apache 2.0,New in 1.5,cf-rabbitmq,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,cf-rabbitmq,,
bosh-template,1.2690.4.0,None,https://rubygems.org/gems/bosh-template/versions/1.2690.4.0,Apache 2.0,New in 1.5,cf-rabbitmq,,
bosh_common,1.2690.4.0,None,https://rubygems.org/gems/bosh_common/versions/1.2690.4.0,Apache 2.0,New in 1.5,cf-rabbitmq,,
blobstore_client,1.2690.4.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2690.4.0,Apache 2.0,New in 1.5,cf-rabbitmq,,
bosh-template,1.2690.4.0,None,https://rubygems.org/gems/bosh-template/versions/1.2690.4.0,Apache 2.0,New in 1.5,cf-rabbitmq,,
bosh_cli,1.2690.4.0,None,https://rubygems.org/gems/bosh_cli/versions/1.2690.4.0,Apache 2.0,New in 1.5,cf-rabbitmq,,
aws-sdk,1.44.0,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE 2.0,No change,cf-rabbitmq,,
aws-sdk,1.44.0,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE 2.0,No change,cf-rabbitmq,,
fog,1.14.0,1.14.0,https://github.com/fog/fog,MIT,No change,cf-rabbitmq,,
blobstore_client,1.2690.4.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2690.4.0,Apache 2.0,New in 1.5,cf-rabbitmq,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,cf-rabbitmq,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,cf-rabbitmq,,
ruby-atmos-pure,1.0.5,None,https://rubygems.org/gems/ruby-atmos-pure/versions/1.0.5,N/A,New in 1.5,cf-rabbitmq,Not Found Github Url,
net-scp,1.1.0,1.1.0,https://github.com/net-ssh/net-scp,MIT,No change,cf-rabbitmq,,
net-ssh-gateway,1.2.0,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT,No change,cf-rabbitmq,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,cf-rabbitmq,,
bosh_common,1.2690.4.0,None,https://rubygems.org/gems/bosh_common/versions/1.2690.4.0,Apache 2.0,New in 1.5,cf-rabbitmq,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,cf-rabbitmq,,
capybara,2.4.4,2.4.4,https://github.com/jnicklas/capybara,MIT,No change,cf-rabbitmq,,
nokogiri,1.3.0,1.3,https://rubygems.org/gems/nokogiri/versions/1.3.0,N/A,Version Changed,cf-rabbitmq,https://github.com/sparklemotion/nokogiri,https://github.com/sparklemotion/nokogiri
xpath,2.0.0,2.0.0,https://github.com/jnicklas/xpath,MIT,No change,cf-rabbitmq,,
httmultiparty,0.3.16,0.3.16,https://github.com/jwagener/httmultiparty,MIT,No change,cf-rabbitmq,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,cf-rabbitmq,,
capybara-webkit,1.5.2,1.3.1,https://rubygems.org/gems/capybara-webkit/versions/1.5.2,MIT,Version Changed,cf-rabbitmq,,https://github.com/thoughtbot/capybara-webkit
json,1.8.3,1.8,https://rubygems.org/gems/json,Ruby,Version Changed,cf-rabbitmq,,https://github.com/flori/json
capybara,2.3.0,2.1,https://rubygems.org/gems/capybara/versions/2.3.0,MIT,Version Changed,cf-rabbitmq,,https://github.com/jnicklas/capybara
mime-types,2.6.1,1.16,https://rubygems.org/gems/mime-types,MIT,Version Changed,cf-rabbitmq,,https://github.com/halostatue/mime-types
cf-uaa-lib,3.1.0,None,https://rubygems.org/gems/cf-uaa-lib/versions/3.1.0,Apache 2.0,New in 1.5,cf-rabbitmq,,
multi_json,1.11.2,1.1,https://rubygems.org/gems/multi_json,MIT,Version Changed,cf-rabbitmq,,https://github.com/intridea/multi_json
websocket-extensions,0.1.2,0.1.0,https://rubygems.org/gems/websocket-extensions/versions/0.1.2,MIT,Version Changed,cf-rabbitmq,,https://github.com/faye/websocket-extensions-ruby
websocket-extensions,0.1.0,0.1.0,https://github.com/faye/websocket-extensions-ruby,MIT,No change,cf-rabbitmq,,
ci_reporter,2.0.0,2.0.0,https://github.com/ci-reporter/ci_reporter,MIT,No change,cf-rabbitmq,,
websocket-driver,0.5.4,0.5.0,https://rubygems.org/gems/websocket-driver/versions/0.5.4,MIT,Version Changed,cf-rabbitmq,,https://github.com/faye/websocket-driver-ruby
multi_json,1.1.0,1.1,https://rubygems.org/gems/multi_json/versions/1.1.0,MIT,Version Changed,cf-rabbitmq,https://github.com/intridea/multi_json/blob/master/LICENSE.md,https://github.com/intridea/multi_json
thor,0.19.1,0.19.1,https://github.com/erikhuda/thor,MIT,No change,cf-rabbitmq,,
coderay,1.1.0,None,https://rubygems.org/gems/coderay/versions/1.1.0,MIT,New in 1.5,cf-rabbitmq,,
cliver,0.3.2,0.3.2,https://github.com/yaauie/cliver,MIT,No change,cf-rabbitmq,,
diffy,3.0.7,None,https://rubygems.org/gems/diffy,MIT,New in 1.5,cf-rabbitmq,,
diffy,3.0.7,None,https://rubygems.org/gems/diffy/versions/3.0.7,MIT,New in 1.5,cf-rabbitmq,,
nokogiri,1.6.6.2,1.3,https://rubygems.org/gems/nokogiri,MIT,Version Changed,cf-rabbitmq,,https://github.com/sparklemotion/nokogiri
diff-lcs,1.2.5,1.2.5,https://github.com/halostatue/diff-lcs,MIT,No change,cf-rabbitmq,,
open4,1.3.4,1.3.4,https://github.com/ahoward/open4,Ruby License,No change,cf-rabbitmq,,
faraday,0.9.1,0.7.4,https://rubygems.org/gems/faraday/versions/0.9.1,MIT,Version Changed,cf-rabbitmq,,https://github.com/lostisland/faraday
excon,0.25.3,0.25.3,https://github.com/excon/excon,MIT,No change,cf-rabbitmq,,
rspec-core,3.3.2,3.1.7,https://rubygems.org/gems/rspec-core,MIT,Version Changed,cf-rabbitmq,,https://github.com/rspec/rspec-core
multipart-post,1.2.0,2.0.0,https://rubygems.org/gems/multipart-post/versions/1.2.0,MIT,Version Changed,cf-rabbitmq,,https://github.com/nicksieger/multipart-post
faraday_middleware,0.9.1,0.9.1,https://github.com/lostisland/faraday_middleware,MIT,No change,cf-rabbitmq,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,cf-rabbitmq,,
net-ssh,2.2.1,2.2.1,https://github.com/net-ssh/net-ssh,MIT,No change,cf-rabbitmq,,
fog,1.14.0,1.14.0,https://github.com/fog/fog,MIT,No change,cf-rabbitmq,,
aws-sdk,2.1.7,1.44.0,https://rubygems.org/gems/aws-sdk,Apache 2.0,Version Changed,cf-rabbitmq,,https://github.com/aws/aws-sdk-core-ruby
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,cf-rabbitmq,,
