name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
CFPropertyList,2.3.1,None,https://rubygems.org/gems/CFPropertyList/versions/2.3.1,MIT,New in 1.5,p-cassandra,,
blobstore_client,1.2891.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2891.0,Apache 2.0,New in 1.5,p-cassandra,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,p-cassandra,,
aws-sdk-v1,1.60.2,None,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,New in 1.5,p-cassandra,,
aws-sdk-v1,1.60.2,None,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,New in 1.5,p-cassandra,,
bosh-template,1.2891.0,None,https://rubygems.org/gems/bosh-template/versions/1.2891.0,Apache 2.0,New in 1.5,p-cassandra,,
fog,1.27.0,1.23.0,https://rubygems.org/gems/fog/versions/1.27.0,MIT,Version Changed,p-cassandra,,https://github.com/fog/fog
bosh-template,1.2891.0,None,https://rubygems.org/gems/bosh-template/versions/1.2891.0,Apache 2.0,New in 1.5,p-cassandra,,
aws-sdk,1.60.2,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,p-cassandra,,https://github.com/aws/aws-sdk-core-ruby
blobstore_client,1.2891.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2891.0,Apache 2.0,New in 1.5,p-cassandra,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,RUBY,No change,p-cassandra,,
bosh_cli,1.2891.0,None,https://rubygems.org/gems/bosh_cli/versions/1.2891.0,Apache 2.0,New in 1.5,p-cassandra,,
bosh_common,1.2891.0,None,https://rubygems.org/gems/bosh_common/versions/1.2891.0,Apache 2.0,New in 1.5,p-cassandra,,
bosh_common,1.2891.0,None,https://rubygems.org/gems/bosh_common/versions/1.2891.0,Apache 2.0,New in 1.5,p-cassandra,,
aws-sdk,1.60.2,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,p-cassandra,,https://github.com/aws/aws-sdk-core-ruby
ruby-atmos-pure,1.0.5,None,https://rubygems.org/gems/ruby-atmos-pure/versions/1.0.5,N/A,New in 1.5,p-cassandra,Not Found Github Url,
