Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
p-rabbitmq,amq-protocol,1.9.2,https://github.com/ruby-amqp/amq-protocol,MIT
p-rabbitmq,aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
p-rabbitmq,json,1.4,https://github.com/flori/json,RUBY
p-rabbitmq,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
p-rabbitmq,aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
p-rabbitmq,fog,1.23.0,https://github.com/fog/fog,MIT
p-rabbitmq,httpclient,2.4.0,https://github.com/nahi/httpclient,RUBY
p-rabbitmq,multi_json,1.1,https://github.com/intridea/multi_json,MIT
p-rabbitmq,highline,1.6.2,https://rubygems.org/gems/highline,RUBY
p-rabbitmq,httpclient,2.4.0,https://github.com/nahi/httpclient,RUBY
p-rabbitmq,json_pure,1.7,https://github.com/flori/json,Ruby License
p-rabbitmq,minitar,0.5.4,https://github.com/atoulme/minitar,RUBY
p-rabbitmq,net-scp,1.1.0,https://github.com/net-ssh/net-scp,MIT
p-rabbitmq,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
p-rabbitmq,net-ssh-gateway,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT
p-rabbitmq,netaddr,1.5.0,http://www.ruby-doc.org/gems/docs/n/netaddr-1.5.0/NetAddr.html,RUBY
p-rabbitmq,progressbar,0.9.0,https://github.com/peleteiro/progressbar,RUBY
p-rabbitmq,terminal-table,1.4.3,https://github.com/tj/terminal-table,MIT
p-rabbitmq,logging,1.8.2,https://github.com/TwP/logging,MIT
p-rabbitmq,builder,3.2.2,https://github.com/jimweirich/builder,MIT
p-rabbitmq,bunny,1.6.3,https://github.com/ruby-amqp/bunny,MIT
p-rabbitmq,amq-protocol,1.9.2,https://github.com/ruby-amqp/amq-protocol,MIT
p-rabbitmq,capybara,2.4.4,https://github.com/jnicklas/capybara,MIT
p-rabbitmq,mime-types,1.16,https://github.com/halostatue/mime-types/,MIT
p-rabbitmq,nokogiri,1.3.3,https://github.com/sparklemotion/nokogiri,MIT
p-rabbitmq,rack,1.0.0,https://github.com/rack/rack,MIT
p-rabbitmq,rack-test,0.5.4,https://github.com/brynary/rack-test,MIT
p-rabbitmq,xpath,2,https://github.com/jnicklas/xpath,MIT
p-rabbitmq,capybara-webkit,1.3.1,https://github.com/thoughtbot/capybara-webkit,MIT
p-rabbitmq,capybara,2.0.2,https://github.com/jnicklas/capybara,MIT
p-rabbitmq,ci_reporter,2.0.0,https://github.com/ci-reporter/ci_reporter,MIT
p-rabbitmq,builder,2.1.2,https://github.com/jimweirich/builder,MIT
p-rabbitmq,cliver,0.3.2,https://github.com/yaauie/cliver,MIT
p-rabbitmq,coderay,1.1.0,https://github.com/rubychan/coderay,MIT
p-rabbitmq,diff-lcs,1.2.5,https://github.com/halostatue/diff-lcs,MIT
p-rabbitmq,dock_it,0.2.2,https://github.com/dockitapp/dockit,MIT
p-rabbitmq,excon,0.42.1,https://github.com/excon/excon,MIT
p-rabbitmq,faraday,0.9.0,https://github.com/lostisland/faraday,MIT
p-rabbitmq,multipart-post,1.2,https://github.com/nicksieger/multipart-post,MIT
p-rabbitmq,faraday_middleware,0.9.1,https://github.com/lostisland/faraday_middleware,MIT
p-rabbitmq,faraday,0.7.4,https://github.com/lostisland/faraday,MIT
p-rabbitmq,aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
p-rabbitmq,fog,1.23.0,https://github.com/fog/fog,MIT
p-rabbitmq,fog-core,1.23,https://github.com/fog/fog-core,MIT
p-rabbitmq,ipaddress,0.5,https://github.com/bluemonk/ipaddress,MIT
p-rabbitmq,nokogiri,1.5.11,https://github.com/sparklemotion/nokogiri,MIT
p-rabbitmq,fog-brightbox,0.7.1,https://rubygems.org/gems/fog-brightbox,MIT
p-rabbitmq,fog-core,1.22,https://github.com/fog/fog-core,MIT
p-rabbitmq,inflecto,0.0.2,https://github.com/mbj/inflecto,MIT
p-rabbitmq,fog-core,.27.1,https://github.com/fog/fog-core,MIT
p-rabbitmq,excon,0.38,https://github.com/excon/excon,MIT
p-rabbitmq,formatador,0.2,https://github.com/geemus/formatador,MIT
p-rabbitmq,net-scp,1.1,https://github.com/net-ssh/net-scp,MIT
p-rabbitmq,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
p-rabbitmq,fog-json,1.0.0,https://github.com/fog/fog-json,MIT
p-rabbitmq,multi_json,1,https://github.com/intridea/multi_json,MIT
p-rabbitmq,fog-softlayer,0.3.25,https://github.com/fog/fog-softlayer,MIT
p-rabbitmq,formatador,0.2.5,https://github.com/geemus/formatador,MIT
p-rabbitmq,highline,1.6.21,https://rubygems.org/gems/highline,RUBY
p-rabbitmq,httmultiparty,0.3.16,https://github.com/jwagener/httmultiparty,MIT
p-rabbitmq,httparty,0.7.3,https://github.com/jnunemaker/httparty,MIT
p-rabbitmq,httparty,0.13.3,https://github.com/jnunemaker/httparty,MIT
p-rabbitmq,json,1.8,https://github.com/flori/json,RUBY
p-rabbitmq,multi_xml,0.5.2,https://github.com/sferik/multi_xml,MIT
p-rabbitmq,httpclient,2.4.0,https://github.com/nahi/httpclient,RUBY
p-rabbitmq,inflecto,0.0.2,https://github.com/mbj/inflecto,MIT
p-rabbitmq,ipaddress,0.8.0,https://github.com/bluemonk/ipaddress,MIT
p-rabbitmq,json,1.8.1,https://github.com/flori/json,RUBY
p-rabbitmq,json_pure,1.8.1,https://github.com/flori/json,Ruby License
p-rabbitmq,little-plugger,1.1.3,https://github.com/TwP/little-plugger,MIT
p-rabbitmq,log4r,1.1.10,https://github.com/colbygk/log4r,BSD
p-rabbitmq,logging,1.8.2,https://github.com/TwP/logging,MIT
p-rabbitmq,little-plugger,1.1.3,https://github.com/TwP/little-plugger,MIT
p-rabbitmq,multi_json,1.8.4,https://github.com/intridea/multi_json,MIT
p-rabbitmq,method_source,0.8.2,https://github.com/banister/method_source,MIT
p-rabbitmq,mime-types,2.4.3,https://github.com/halostatue/mime-types/,MIT
p-rabbitmq,mimemagic,0.2.1,https://github.com/minad/mimemagic,MIT
p-rabbitmq,mini_portile,0.6.1,https://github.com/flavorjones/mini_portile,MIT
p-rabbitmq,minitar,0.5.4,https://github.com/atoulme/minitar,RUBY
p-rabbitmq,multi_json,1.10.1,https://github.com/intridea/multi_json,MIT
p-rabbitmq,multi_xml,0.5.5,https://github.com/sferik/multi_xml,MIT
p-rabbitmq,multipart-post,2.0.0,https://github.com/nicksieger/multipart-post,MIT
p-rabbitmq,net-scp,1.1.2,https://github.com/net-ssh/net-scp,MIT
p-rabbitmq,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
p-rabbitmq,net-ssh,2.9.1,https://github.com/net-ssh/net-ssh,MIT
p-rabbitmq,net-ssh-gateway,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT
p-rabbitmq,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
p-rabbitmq,netaddr,1.5.0,http://www.ruby-doc.org/gems/docs/n/netaddr-1.5.0/NetAddr.html,RUBY
p-rabbitmq,nokogiri,1.6.5,https://github.com/sparklemotion/nokogiri,MIT
p-rabbitmq,mini_portile,0.6.0,https://github.com/flavorjones/mini_portile,MIT
p-rabbitmq,open4,1.3.4,https://github.com/ahoward/open4,Ruby License
p-rabbitmq,pipeline,0.1.1,https://github.com/jch/html-pipeline,MIT
p-rabbitmq,prof,0.9.2,https://github.com/ruby-prof/ruby-prof,BSD
p-rabbitmq,poltergeist,1.5.1,https://github.com/teampoltergeist/poltergeist,MIT
p-rabbitmq,capybara,2.1,https://github.com/jnicklas/capybara,MIT
p-rabbitmq,cliver,0.3.1,https://github.com/yaauie/cliver,MIT
p-rabbitmq,multi_json,1,https://github.com/intridea/multi_json,MIT
p-rabbitmq,websocket-driver,0.2.0,https://github.com/faye/websocket-driver-ruby,MIT
p-rabbitmq,prof,0.17.7,https://github.com/ruby-prof/ruby-prof,BSD
p-rabbitmq,ci_reporter,2.0.0,https://github.com/ci-reporter/ci_reporter,MIT
p-rabbitmq,httmultiparty,0.3.16,https://github.com/jwagener/httmultiparty,MIT
p-rabbitmq,poltergeist,1.5.1,https://github.com/teampoltergeist/poltergeist,MIT
p-rabbitmq,rspec,3.1,https://github.com/rspec/rspec,MIT
p-rabbitmq,rspec_junit_formatter,0.2.0,https://github.com/sj26/rspec_junit_formatter,MIT
p-rabbitmq,rubyzip,1.1,https://github.com/rubyzip/rubyzip,Ruby License
p-rabbitmq,progressbar,0.9.2,https://github.com/peleteiro/progressbar,RUBY
p-rabbitmq,pry,0.10.1,https://github.com/pry/pry,MIT
p-rabbitmq,coderay,1.1.0,https://github.com/rubychan/coderay,MIT
p-rabbitmq,method_source,0.8.1,https://github.com/banister/method_source,MIT
p-rabbitmq,slop,3.4,https://github.com/leejarvis/slop,MIT
p-rabbitmq,rack,1.6.0,https://github.com/rack/rack,MIT
p-rabbitmq,rack-test,0.6.2,https://github.com/brynary/rack-test,MIT
p-rabbitmq,rack,1,https://github.com/rack/rack,MIT
p-rabbitmq,rake,10.4.2,https://github.com/ruby/rake,MIT
p-rabbitmq,rspec,3.1.0,https://github.com/rspec/rspec,MIT
p-rabbitmq,rspec-core,3.1.0,https://github.com/rspec/rspec-core,MIT
p-rabbitmq,rspec-expectations,3.1.0,https://github.com/rspec/rspec-expectations,MIT
