name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
blobstore_client,1.2891.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2891.0,Apache 2.0,New in 1.5,p-redis,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,RUBY,No change,p-redis,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,p-redis,,
bosh-template,1.2891.0,None,https://rubygems.org/gems/bosh-template/versions/1.2891.0,Apache 2.0,New in 1.5,p-redis,,
CFPropertyList,2.3.1,None,https://rubygems.org/gems/CFPropertyList/versions/2.3.1,MIT,New in 1.5,p-redis,,
aws-sdk-v1,1.60.2,None,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,New in 1.5,p-redis,,
aws-sdk,1.60.2,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,p-redis,,https://github.com/aws/aws-sdk-core-ruby
aws-sdk,1.60.2,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,p-redis,,https://github.com/aws/aws-sdk-core-ruby
bosh_common,1.2891.0,None,https://rubygems.org/gems/bosh_common/versions/1.2891.0,Apache 2.0,New in 1.5,p-redis,,
aws-sdk-v1,1.60.2,None,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,New in 1.5,p-redis,,
bosh_cli,1.2891.0,None,https://rubygems.org/gems/bosh_cli/versions/1.2891.0,Apache 2.0,New in 1.5,p-redis,,
bosh-template,1.2891.0,None,https://rubygems.org/gems/bosh-template/versions/1.2891.0,Apache 2.0,New in 1.5,p-redis,,
fog,1.27.0,1.23.0,https://rubygems.org/gems/fog/versions/1.27.0,MIT,Version Changed,p-redis,,https://github.com/fog/fog
blobstore_client,1.2891.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2891.0,Apache 2.0,New in 1.5,p-redis,,
bosh_common,1.2891.0,None,https://rubygems.org/gems/bosh_common/versions/1.2891.0,Apache 2.0,New in 1.5,p-redis,,
ruby-atmos-pure,1.0.5,None,https://rubygems.org/gems/ruby-atmos-pure/versions/1.0.5,N/A,New in 1.5,p-redis,Not Found Github Url,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,RUBY,No change,p-redis,,
net-scp,1.1.0,1.1.0,https://github.com/net-ssh/net-scp,MIT,No change,p-redis,,
net-ssh-gateway,1.2.0,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT,No change,p-redis,,
bosh_common,1.2891.0,None,https://rubygems.org/gems/bosh_common/versions/1.2891.0,Apache 2.0,New in 1.5,p-redis,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,p-redis,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,p-redis,,
nokogiri,1.3.0,1.4.4,https://rubygems.org/gems/nokogiri/versions/1.3.0,N/A,Version Changed,p-redis,https://github.com/sparklemotion/nokogiri,https://github.com/sparklemotion/nokogiri
capybara,2.4.4,2.4.4,https://github.com/jnicklas/capybara,MIT,No change,p-redis,,
xpath,2.0.0,2.0.0,https://github.com/jnicklas/xpath,MIT,No change,p-redis,,
capybara,2.3.0,2.4.4,https://rubygems.org/gems/capybara/versions/2.3.0,MIT,Version Changed,p-redis,,https://github.com/jnicklas/capybara
json,1.8.3,1.4,https://rubygems.org/gems/json,Ruby,Version Changed,p-redis,,https://github.com/flori/json
capybara-webkit,1.6.0,1.3.1,https://rubygems.org/gems/capybara-webkit/versions/1.6.0,MIT,Version Changed,p-redis,,https://github.com/thoughtbot/capybara-webkit
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,p-redis,,
websocket-extensions,0.1.0,0.1.0,https://github.com/faye/websocket-extensions-ruby,MIT,No change,p-redis,,
cf-uaa-lib,3.1.0,None,https://rubygems.org/gems/cf-uaa-lib/versions/3.1.0,Apache 2.0,New in 1.5,p-redis,,
multi_json,1.11.2,1.1,https://rubygems.org/gems/multi_json,MIT,Version Changed,p-redis,,https://github.com/intridea/multi_json
mime-types,2.6.1,1.16,https://rubygems.org/gems/mime-types,MIT,Version Changed,p-redis,,https://github.com/halostatue/mime-types/
websocket-extensions,0.1.2,0.1.0,https://rubygems.org/gems/websocket-extensions/versions/0.1.2,MIT,Version Changed,p-redis,,https://github.com/faye/websocket-extensions-ruby
websocket-driver,0.5.4,0.2.0,https://rubygems.org/gems/websocket-driver/versions/0.5.4,MIT,Version Changed,p-redis,,https://github.com/faye/websocket-driver-ruby
ci_reporter,2.0.0,2.0.0,https://github.com/ci-reporter/ci_reporter,MIT,No change,p-redis,,
open4,1.3.4,1.3.4,https://github.com/ahoward/open4,Ruby License,No change,p-redis,,
multi_json,1.1.0,1.1,https://rubygems.org/gems/multi_json/versions/1.1.0,MIT,Version Changed,p-redis,https://github.com/intridea/multi_json/blob/master/LICENSE.md,https://github.com/intridea/multi_json
httmultiparty,0.3.16,0.3.16,https://github.com/jwagener/httmultiparty,MIT,No change,p-redis,,
cliver,0.3.2,0.3.2,https://github.com/yaauie/cliver,MIT,No change,p-redis,,
coderay,1.1.0,1.1.0,https://github.com/rubychan/coderay,MIT,No change,p-redis,,
diffy,3.0.7,None,https://rubygems.org/gems/diffy,MIT,New in 1.5,p-redis,,
nokogiri,1.6.6.2,1.4.4,https://rubygems.org/gems/nokogiri,MIT,Version Changed,p-redis,,https://github.com/sparklemotion/nokogiri
diff-lcs,1.2.5,1.2.5,https://github.com/halostatue/diff-lcs,MIT,No change,p-redis,,
diffy,3.0.7,None,https://rubygems.org/gems/diffy/versions/3.0.7,MIT,New in 1.5,p-redis,,
thor,0.19.1,0.19.1,https://github.com/erikhuda/thor,MIT,No change,p-redis,,
unf_ext,0.0.7.1,None,https://rubygems.org/gems/unf_ext/versions/0.0.7.1,MIT,New in 1.5,p-redis,,
domain_name,0.5.24,None,https://rubygems.org/gems/domain_name/versions/0.5.24,BSD + MPL 1.1/GPL 2.0/LGPL 2.1,New in 1.5,p-redis,,
slop,3.4.0,3.4,https://rubygems.org/gems/slop/versions/3.4.0,MIT,Version Changed,p-redis,https://github.com/leejarvis/slop/blob/master/LICENSE,https://github.com/leejarvis/slop
excon,0.45.3,0.41.0,https://rubygems.org/gems/excon/versions/0.45.3,MIT,Version Changed,p-redis,,https://github.com/excon/excon
faraday,0.9.1,0.9.0,https://rubygems.org/gems/faraday/versions/0.9.1,MIT,Version Changed,p-redis,,https://github.com/lostisland/faraday
multipart-post,1.2.0,1.2,https://rubygems.org/gems/multipart-post/versions/1.2.0,MIT,Version Changed,p-redis,,https://github.com/nicksieger/multipart-post
net-ssh,2.2.1,2.2.1,https://github.com/net-ssh/net-ssh,MIT,No change,p-redis,,
faraday_middleware,0.9.1,0.9.1,https://github.com/lostisland/faraday_middleware,MIT,No change,p-redis,,
aws-sdk,2.1.7,1.44.0,https://rubygems.org/gems/aws-sdk,Apache 2.0,Version Changed,p-redis,,https://github.com/aws/aws-sdk-core-ruby
unf_ext,0.0.7.1,None,https://rubygems.org/gems/unf_ext,MIT,New in 1.5,p-redis,,
nokogiri,1.4.4,1.4.4,https://github.com/sparklemotion/nokogiri,MIT,No change,p-redis,,
fog,1.27.0,1.23.0,https://rubygems.org/gems/fog/versions/1.27.0,MIT,Version Changed,p-redis,,https://github.com/fog/fog
fog-atmos,0.1.0,None,https://rubygems.org/gems/fog-atmos,MIT,New in 1.5,p-redis,,
rspec-core,3.3.2,3.1.0,https://rubygems.org/gems/rspec-core,MIT,Version Changed,p-redis,,https://github.com/rspec/rspec-core
fog-brightbox,0.4.0,0.6.1,https://rubygems.org/gems/fog-brightbox/versions/0.4.0,MIT,Version Changed,p-redis,,https://rubygems.org/gems/fog-brightbox
netaddr,1.5.0,1.5.0,http://www.ruby-doc.org/gems/docs/n/netaddr-1.5.0/NetAddr.html,RUBY,No change,p-redis,,
fog-ecloud,0.3.0,None,https://rubygems.org/gems/fog-ecloud,MIT,New in 1.5,p-redis,,
fog-core,1.27.3,1.23,https://rubygems.org/gems/fog-core/versions/1.27.3,MIT,Version Changed,p-redis,,https://github.com/fog/fog-core
fog-json,1.0.2,1.0.0,https://rubygems.org/gems/fog-json,MIT,Version Changed,p-redis,,https://github.com/fog/fog-json
fog-profitbricks,0.0.3,None,https://rubygems.org/gems/fog-profitbricks,MIT,New in 1.5,p-redis,,
fog-radosgw,0.0.2,None,https://rubygems.org/gems/fog-radosgw/versions/0.0.2,MIT,New in 1.5,p-redis,,
fog-sakuracloud,0.0.4,None,https://rubygems.org/gems/fog-sakuracloud/versions/0.0.4,MIT,New in 1.5,p-redis,,
fog-serverlove,0.1.2,None,https://rubygems.org/gems/fog-serverlove,MIT,New in 1.5,p-redis,,
fog-softlayer,0.4.7,0.3.24,https://rubygems.org/gems/fog-softlayer,MIT,Version Changed,p-redis,,https://github.com/fog/fog-softlayer
fog-aws,0.7.3,None,https://rubygems.org/gems/fog-aws,MIT,New in 1.5,p-redis,,
fog-storm_on_demand,0.1.1,None,https://rubygems.org/gems/fog-storm_on_demand,MIT,New in 1.5,p-redis,,
terminal-table,1.4.5,1.4.5,https://github.com/tj/terminal-table,MIT,No change,p-redis,,
fog-terremark,0.1.0,None,https://rubygems.org/gems/fog-terremark,MIT,New in 1.5,p-redis,,
fog-vmfusion,0.1.0,None,https://rubygems.org/gems/fog-vmfusion,MIT,New in 1.5,p-redis,,
