name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
cf-message-bus,0.3.1,None,https://rubygems.org/gems/cf-message-bus/versions/0.3.1,Apache,New in 1.5,cf-release,,
json_pure,1.8.1,1.8.1,https://github.com/flori/json,Ruby License,No change,cf-release,,
nats,0.5.0.beta.16,0.5.0.beta.14,https://rubygems.org/gems/nats/versions/0.5.0.beta.16,MIT,Version Changed,cf-release,,,,,
yajl-ruby,1.2.1,1.2.1,https://github.com/brianmario/yajl-ruby,MIT,No change,cf-release,,
cf-registrar,1.0.3,None,https://rubygems.org/gems/cf-registrar/versions/1.0.3,Apache,New in 1.5,cf-release,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,cf-release,,
eventmachine,1.0.0,1.0.0,https://github.com/eventmachine/eventmachine,Ruby License,No change,cf-release,,
daemons,1.0.9,1.0.9,https://github.com/ghazel/daemons,MIT,No change,cf-release,,
json_pure,1.8.1,1.8.1,https://github.com/flori/json,Ruby License,No change,cf-release,,
thin,1.6.3,1.6.0,https://rubygems.org/gems/thin/versions/1.6.3,GPLv2+,Version Changed,cf-release,,,,,
rack,1.5.2,1.5.2,https://github.com/rack/rack,MIT,No change,cf-release,,
nats,0.5.0.beta.16,0.5.0.beta.14,https://rubygems.org/gems/nats/versions/0.5.0.beta.16,MIT,Version Changed,cf-release,,,,,
msgpack,0.5.9,0.4.4,https://rubygems.org/gems/msgpack/versions/0.5.9,Apache 2.0,Version Changed,cf-release,,,,,
cf-message-bus,0.3.3,None,https://rubygems.org/gems/cf-message-bus,Apache,New in 1.5,cf-release,,
thin,1.6.3,1.6.0,https://rubygems.org/gems/thin/versions/1.6.3,GPLv2+,Version Changed,cf-release,,,,,
yajl-ruby,1.0.0,1,https://rubygems.org/gems/yajl-ruby/versions/1.0.0,MIT,Version Changed,cf-release,https://github.com/brianmario/yajl-ruby/blob/master/LICENSE,,,,
yajl-ruby,1.2.1,1.2.1,https://github.com/brianmario/yajl-ruby,MIT,No change,cf-release,,
yajl-ruby,1.0.0,1,https://rubygems.org/gems/yajl-ruby/versions/1.0.0,MIT,Version Changed,cf-release,https://github.com/brianmario/yajl-ruby/blob/master/LICENSE,,,,
eventmachine,1.0.3,1.0.3,https://github.com/eventmachine/eventmachine,Ruby License,No change,cf-release,,
eventmachine,1.0.3,1.0.3,https://github.com/eventmachine/eventmachine,Ruby License,No change,cf-release,,
eventmachine,1.0.0,1.0.0,https://github.com/eventmachine/eventmachine,Ruby License,No change,cf-release,,
daemons,1.1.9,1.1.9,https://github.com/ghazel/daemons,MIT,No change,cf-release,,
eventmachine,1.0.0,1.0.0,https://github.com/eventmachine/eventmachine,Ruby License,No change,cf-release,,
daemons,1.1.9,1.1.9,https://github.com/ghazel/daemons,MIT,No change,cf-release,,
msgpack,0.4.4,0.4.4,https://github.com/msgpack/msgpack-ruby,Apache License2.0,No change,cf-release,,
fluent-logger,0.4.9,0.4.9,https://github.com/fluent/fluent-logger-ruby,APACHE 2.0,No change,cf-release,,
fluent-logger,0.5.0,0.4.9,https://rubygems.org/gems/fluent-logger,N/A,Version Changed,cf-release,https://github.com/fluent/fluent-logger-ruby/blob/master/COPYING,https://github.com/fluent/fluent-logger-ruby,APACHE 2.0,,
vcap-concurrency,0.1.0,None,https://rubygems.org/gems/vcap-concurrency/versions/0.1.0,N/A,New in 1.5,cf-release,Not Found Github Url,
steno,1.2.4,None,https://rubygems.org/gems/steno/versions/1.2.4,N/A,New in 1.5,cf-release,Not Found Github Url,
steno,1.2.4,None,https://rubygems.org/gems/steno,N/A,New in 1.5,cf-release,Not Found Github Url,
vcap-concurrency,0.1.0,None,https://rubygems.org/gems/vcap-concurrency,N/A,New in 1.5,cf-release,Not Found Github Url,
vcap-concurrency,0.1.0,None,https://rubygems.org/gems/vcap-concurrency,N/A,New in 1.5,cf-release,Not Found Github Url,
