name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
aws-sdk-resources,2.0.39,None,https://rubygems.org/gems/aws-sdk-resources/versions/2.0.39,Apache 2.0,New in 1.5,collector,,
aws-sdk-resources,2.0.39,None,https://rubygems.org/gems/aws-sdk-resources/versions/2.0.39,Apache 2.0,New in 1.5,collector,,
jmespath,1.0.0,None,https://rubygems.org/gems/jmespath/versions/1.0.0,Apache 2.0,New in 1.5,collector,,
addressable,2.3.5,2.3.5,https://github.com/sporkmonger/addressable,APACHE 2.0,No change,collector,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,collector,,
aws-sdk,2.0.39,1.8.3.1,https://rubygems.org/gems/aws-sdk/versions/2.0.39,Apache 2.0,Version Changed,collector,,,,,
aws-sdk-core,2.0.39,None,https://rubygems.org/gems/aws-sdk-core/versions/2.0.39,Apache 2.0,New in 1.5,collector,,
em-http-request,1.1.2,1.1.2,https://github.com/igrigorik/em-http-request,MIT,No change,collector,,
addressable,2.3.4,2.3.4,https://github.com/sporkmonger/addressable,APACHE 2.0,No change,collector,,
cookiejar,0.3.2,0.3.2,https://github.com/dwaite/cookiejar,BSD,No change,collector,,
addressable,2.2.7,2.2.7,https://github.com/sporkmonger/addressable,APACHE 2.0,No change,collector,,
aws-sdk-core,2.0.39,None,https://rubygems.org/gems/aws-sdk-core/versions/2.0.39,Apache 2.0,New in 1.5,collector,,
diff-lcs,1.2.5,1.2.5,https://github.com/halostatue/diff-lcs,MIT,No change,collector,,
codeclimate-test-reporter,0.3.0,0.3.0,https://rubygems.org/gems/codeclimate-test-reporter,MIT,No change,collector,,
safe_yaml,1.0.0,1.0.0,https://github.com/dtao/safe_yaml,MIT,No change,collector,,
docile,1.1.5,1.1.5,https://github.com/ms-ati/docile,MIT,No change,collector,,
crack,0.4.2,0.4.2,https://github.com/jnunemaker/crack,MIT,No change,collector,,
crack,0.3.2,0.3.2,https://github.com/jnunemaker/crack,MIT,No change,collector,,
uuidtools,2.1.3,2.1.3,https://github.com/sporkmonger/uuidtools,Apache License2.0,No change,collector,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,collector,,
multi_json,1.11.2,1.10.1,https://rubygems.org/gems/multi_json,MIT,Version Changed,collector,,,,,
multi_xml,0.5.2,0.5.2,https://github.com/sferik/multi_xml,MIT,No change,collector,,
grape,0.2.1.1,0.2.1.1,https://github.com/intridea/grape,MIT,No change,collector,,
daemons,1.0.9,1.0.9,https://github.com/ghazel/daemons,MIT,No change,collector,,
rack,1.6.4,1,https://rubygems.org/gems/rack,MIT,Version Changed,collector,,,,,
multi_json,1.0.0,1.10.1,https://rubygems.org/gems/multi_json/versions/1.0.0,MIT,Version Changed,collector,https://github.com/intridea/multi_json/blob/master/LICENSE.md,,,,
eventmachine,1.0.0,1.0.0.beta.4,https://rubygems.org/gems/eventmachine/versions/1.0.0,RUBY,Version Changed,collector,https://github.com/eventmachine/eventmachine/blob/master/LICENSE,,,,
multi_xml,0.5.2,0.5.2,https://github.com/sferik/multi_xml,MIT,No change,collector,,
jmespath,1.0.2,None,https://rubygems.org/gems/jmespath/versions/1.0.2,Apache 2.0,New in 1.5,collector,,
simplecov-html,0.8.0,0.8.0,https://github.com/colszowka/simplecov-html,MIT,No change,collector,,
eventmachine,1.0.3,1.0.3,https://github.com/eventmachine/eventmachine,Ruby License,No change,collector,,
eventmachine,1.0.0.beta.4,1.0.0.beta.4,https://github.com/eventmachine/eventmachine,Ruby License,No change,collector,,
json,1.7.7,1.7.7,https://github.com/flori/json,Ruby License,No change,collector,,
yajl-ruby,1.0.0,1.2.1,https://rubygems.org/gems/yajl-ruby/versions/1.0.0,MIT,Version Changed,collector,https://github.com/brianmario/yajl-ruby/blob/master/LICENSE,,,,
json_pure,1.8.1,1.8.1,https://github.com/flori/json,Ruby License,No change,collector,,
cookiejar,0.3.0,0.3.0,https://github.com/dwaite/cookiejar,BSD,No change,collector,,
daemons,1.1.9,1.1.9,https://github.com/ghazel/daemons,MIT,No change,collector,,
multi_json,1.11.0,1.10.1,https://rubygems.org/gems/multi_json/versions/1.11.0,MIT,Version Changed,collector,,,,,
simplecov-html,0.8.0,0.8.0,https://github.com/colszowka/simplecov-html,MIT,No change,collector,,
multi_xml,0.5.4,0.5.4,https://github.com/sferik/multi_xml,MIT,No change,collector,,
docile,1.1.0,1.1.0,https://github.com/ms-ati/docile,MIT,No change,collector,,
multipart-post,2.0.0,2.0.0,https://github.com/nicksieger/multipart-post,MIT,No change,collector,,
nats,0.5.0.beta.16,0.5.0.beta.16,https://github.com/derekcollison/ruby-nats,MIT,No change,collector,,
yajl-ruby,1.2.1,1.2.1,https://github.com/brianmario/yajl-ruby,MIT,No change,collector,,
eventmachine,1.0.3,1.0.3,https://github.com/eventmachine/eventmachine,Ruby License,No change,collector,,
json_pure,1.8.1,1.8.1,https://github.com/flori/json,Ruby License,No change,collector,,
yajl-ruby,1.0.0,1.2.1,https://rubygems.org/gems/yajl-ruby/versions/1.0.0,MIT,Version Changed,collector,https://github.com/brianmario/yajl-ruby/blob/master/LICENSE,,,,
thin,1.6.3,1.6.3,https://github.com/macournoyer/thin,Ruby License,No change,collector,,
hashie,1.2.0,1.2.0,https://github.com/intridea/hashie,MIT,No change,collector,,
