name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
tzinfo,0.3.26,0.3.26,https://github.com/tzinfo/tzinfo,MIT,No change,dea_ng,,
daemons,1.0.9,1.0.9,https://github.com/ghazel/daemons,MIT,No change,dea_ng,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,dea_ng,,
treetop,1.4.9,1.4.9,https://github.com/cjheath/treetop,MIT,No change,dea_ng,,
redis,2.2.0,2.2.0,https://github.com/redis/redis-rb,MIT,No change,dea_ng,,
polyglot,0.3.1,0.3.1,https://github.com/cjheath/polyglot,MIT,No change,dea_ng,,
eventmachine,0.12.6,0.12.6,https://github.com/eventmachine/eventmachine,Ruby License,No change,dea_ng,,
bundler,1.0.0,1,https://rubygems.org/gems/bundler/versions/1.0.0,MIT,Version Changed,dea_ng,https://github.com/bundler/bundler/blob/master/LICENSE.md,,,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,dea_ng,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,dea_ng,,
rack,1.2.2,1.2.2,https://github.com/rack/rack,MIT,No change,dea_ng,,
polyglot,0.3.1,0.3.1,https://github.com/cjheath/polyglot,MIT,No change,dea_ng,,
mysql2,0.3.11,0.3.11,https://github.com/brianmario/mysql2,MIT,No change,dea_ng,,
mongo,2.0.6,1.1,https://rubygems.org/gems/mongo,Apache License Version 2.0,Version Changed,dea_ng,,,,,
treetop,1.4.8,1.4.8,https://github.com/cjheath/treetop,MIT,No change,dea_ng,,
eventmachine,0.12.10,0.12.10,https://github.com/eventmachine/eventmachine,Ruby License,No change,dea_ng,,
daemons,1.1.2,1.1.2,https://github.com/ghazel/daemons,MIT,No change,dea_ng,,
carrot,0.8.1,0.8.1,https://github.com/famoseagle/carrot,MIT,No change,dea_ng,,
mime-types,2.6.1,2.1,https://rubygems.org/gems/mime-types,MIT,Version Changed,dea_ng,,,,,
mime-types,2.6.1,2.1,https://rubygems.org/gems/mime-types,MIT,Version Changed,dea_ng,,,,,
tzinfo,0.3.23,0.3.23,https://github.com/tzinfo/tzinfo,MIT,No change,dea_ng,,
tzinfo,0.3.23,0.3.23,https://github.com/tzinfo/tzinfo,MIT,No change,dea_ng,,
rack,1.2.1,1.2.1,https://github.com/rack/rack,MIT,No change,dea_ng,,
arel,2.0.2,2.0.2,https://github.com/rails/arel,MIT,No change,dea_ng,,
i18n,0.5.0,0.5.0,https://github.com/svenfuchs/i18n,MIT,No change,dea_ng,,
builder,2.1.2,2.1.2,https://github.com/jimweirich/builder,MIT,No change,dea_ng,,
abstract,1.0.0,1.0.0,https://github.com/pivotal-casebook/abstract,Ruby License,No change,dea_ng,,
erubis,2.6.6,2.6.6,https://github.com/guenter/erubis,MIT,No change,dea_ng,,
arel,2.0.9,2.0.9,https://github.com/rails/arel,MIT,No change,dea_ng,,
bson,1.2.4,1.2.4,https://github.com/mongodb/bson-ruby,Apache License2.0,No change,dea_ng,,
activesupport,2.3.6,2.3.6,https://github.com/rails/rails/tree/master/activesupport,MIT,No change,dea_ng,,
i18n,0.5.0,0.5.0,https://github.com/svenfuchs/i18n,MIT,No change,dea_ng,,
activesupport,3.0.6,3.0.6,https://github.com/rails/rails/tree/master/activesupport,MIT,No change,dea_ng,,
bson,1.2.4,1.2.4,https://github.com/mongodb/bson-ruby,Apache License2.0,No change,dea_ng,,
mongo_mapper,0.9.0,0.9.0,https://github.com/mongomapper/mongomapper,MIT,No change,dea_ng,,
mail,2.2.15,2.2.15,https://github.com/mikel/mail,MIT,No change,dea_ng,,
i18n,0.4.0,0.4.0,https://github.com/svenfuchs/i18n,MIT,No change,dea_ng,,
activemodel,3.0.0,3.0.0,https://rubygems.org/gems/activemodel,MIT,No change,dea_ng,,
activesupport,3.0.0,3.0.0,https://github.com/rails/rails/tree/master/activesupport,MIT,No change,dea_ng,,
activesupport,3.0.6,3.0.6,https://github.com/rails/rails/tree/master/activesupport,MIT,No change,dea_ng,,
activemodel,3.0.6,3.0.6,https://rubygems.org/gems/activemodel,MIT,No change,dea_ng,,
mongo,1.2.4,1.2.4,https://github.com/mongodb/mongo-ruby-driver,APACHE LICENSE 2.0,No change,dea_ng,,
pg,0.11.0,0.11.0,https://rubygems.org/gems/pg,BSD,No change,dea_ng,,
json,1.5.1,1.5.1,https://github.com/flori/json,Ruby License,No change,dea_ng,,
plucky,0.3.6,0.3.6,https://github.com/mongomapper/plucky,MIT,No change,dea_ng,,
activeresource,3.0.6,3.0.6,https://github.com/rails/activeresource,MIT,No change,dea_ng,,
activerecord,3.0.6,3.0.6,https://github.com/rails/rails/tree/master/activerecord,MIT,No change,dea_ng,,
activesupport,3.0.6,3.0.6,https://github.com/rails/rails/tree/master/activesupport,MIT,No change,dea_ng,,
plucky,0.3.7,0.3.7,https://github.com/mongomapper/plucky,MIT,No change,dea_ng,,
actionmailer,3.0.6,3.0.6,https://github.com/rails/rails/tree/master/actionmailer,MIT,No change,dea_ng,,
builder,2.1.2,2.1.2,https://github.com/jimweirich/builder,MIT,No change,dea_ng,,
actionpack,3.0.6,3.0.6,https://github.com/rails/rails/tree/master/actionpack,MIT,No change,dea_ng,,
activerecord,3.0.6,3.0.6,https://github.com/rails/rails/tree/master/activerecord,MIT,No change,dea_ng,,
activeresource,3.0.6,3.0.6,https://github.com/rails/activeresource,MIT,No change,dea_ng,,
activesupport,3.0.6,3.0.6,https://github.com/rails/rails/tree/master/activesupport,MIT,No change,dea_ng,,
rack-mount,0.6.14,0.6.14,https://github.com/josh/rack-mount,MIT,No change,dea_ng,,
mail,2.2.15,2.2.15,https://github.com/mikel/mail,MIT,No change,dea_ng,,
railties,3.0.6,3.0.6,https://github.com/rails/rails/tree/master/railties,MIT,No change,dea_ng,,
rack-test,0.5.7,0.5.7,https://github.com/brynary/rack-test,MIT,No change,dea_ng,,
rails,3.0.6,3.0.6,https://github.com/rails/rails,MIT,No change,dea_ng,,
railties,3.0.6,3.0.6,https://github.com/rails/rails/tree/master/railties,MIT,No change,dea_ng,,
actionpack,3.0.6,3.0.6,https://github.com/rails/rails/tree/master/actionpack,MIT,No change,dea_ng,,
builder,2.1.2,2.1.2,https://github.com/jimweirich/builder,MIT,No change,dea_ng,,
activesupport,3.0.6,3.0.6,https://github.com/rails/rails/tree/master/activesupport,MIT,No change,dea_ng,,
thin,1.2.11,1.2.11,https://github.com/macournoyer/thin,Ruby License,No change,dea_ng,,
rack-test,0.5.7,0.5.7,https://github.com/brynary/rack-test,MIT,No change,dea_ng,,
i18n,0.5.0,0.5.0,https://github.com/svenfuchs/i18n,MIT,No change,dea_ng,,
rake,0.8.7,0.8.7,https://github.com/ruby/rake,MIT,No change,dea_ng,,
rake,0.8.7,0.8.7,https://github.com/ruby/rake,MIT,No change,dea_ng,,
thor,0.14.4,0.14.4,https://github.com/erikhuda/thor,MIT,No change,dea_ng,,
rack-mount,0.6.14,0.6.14,https://github.com/josh/rack-mount,MIT,No change,dea_ng,,
activemodel,3.0.6,3.0.6,https://rubygems.org/gems/activemodel,MIT,No change,dea_ng,,
thor,0.14.6,0.14.6,https://github.com/erikhuda/thor,MIT,No change,dea_ng,,
actionpack,3.0.6,3.0.6,https://github.com/rails/rails/tree/master/actionpack,MIT,No change,dea_ng,,
actionpack,3.0.6,3.0.6,https://github.com/rails/rails/tree/master/actionpack,MIT,No change,dea_ng,,
actionmailer,3.0.6,3.0.6,https://github.com/rails/rails/tree/master/actionmailer,MIT,No change,dea_ng,,
activemodel,3.0.6,3.0.6,https://rubygems.org/gems/activemodel,MIT,No change,dea_ng,,
activesupport,3.0.6,3.0.6,https://github.com/rails/rails/tree/master/activesupport,MIT,No change,dea_ng,,
activemodel,3.0.6,3.0.6,https://rubygems.org/gems/activemodel,MIT,No change,dea_ng,,
erubis,2.6.6,2.6.6,https://github.com/guenter/erubis,MIT,No change,dea_ng,,
abstract,1.0.0,1.0.0,https://github.com/pivotal-casebook/abstract,Ruby License,No change,dea_ng,,
activesupport,3.0.6,3.0.6,https://github.com/rails/rails/tree/master/activesupport,MIT,No change,dea_ng,,
