name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
aws-sdk-v1,1.60.2,None,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,New in 1.5,console-release,,
aws-sdk-v1,1.60.2,None,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,New in 1.5,console-release,,
aws-sdk,1.60.2,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,console-release,,,,,
bosh_common,1.2847.0,None,https://rubygems.org/gems/bosh_common/versions/1.2847.0,Apache 2.0,New in 1.5,console-release,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,console-release,,
bosh-template,1.2847.0,None,https://rubygems.org/gems/bosh-template/versions/1.2847.0,Apache 2.0,New in 1.5,console-release,,
bosh-template,1.2847.0,None,https://rubygems.org/gems/bosh-template/versions/1.2847.0,Apache 2.0,New in 1.5,console-release,,
bosh_common,1.2847.0,None,https://rubygems.org/gems/bosh_common/versions/1.2847.0,Apache 2.0,New in 1.5,console-release,,
CFPropertyList,2.3.0,None,https://rubygems.org/gems/CFPropertyList/versions/2.3.0,MIT,New in 1.5,console-release,,
blobstore_client,1.2847.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2847.0,Apache 2.0,New in 1.5,console-release,,
bosh_cli,1.2847.0,None,https://rubygems.org/gems/bosh_cli/versions/1.2847.0,Apache 2.0,New in 1.5,console-release,,
aws-sdk,1.60.2,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,console-release,,,,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,console-release,,
fog,1.27.0,1.14.0,https://rubygems.org/gems/fog/versions/1.27.0,MIT,Version Changed,console-release,,,,,
blobstore_client,1.2847.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2847.0,Apache 2.0,New in 1.5,console-release,,
ipaddress,0.8.0,None,https://rubygems.org/gems/ipaddress/versions/0.8.0,MIT,New in 1.5,console-release,https://github.com/bluemonk/ipaddress/blob/master/LICENSE.txt,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,console-release,,
net-scp,1.1.0,1.1.0,https://github.com/net-ssh/net-scp,MIT,No change,console-release,,
net-ssh-gateway,1.2.0,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT,No change,console-release,,
bosh_common,1.2847.0,None,https://rubygems.org/gems/bosh_common/versions/1.2847.0,Apache 2.0,New in 1.5,console-release,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,console-release,,
