name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
rack,1.5.2,1.5.2,https://github.com/rack/rack,MIT,No change,console,,
actionpack,4.1.11,4.1.5,https://rubygems.org/gems/actionpack/versions/4.1.11,MIT,Version Changed,console,,,,,
i18n,0.7.0,0.7.0,https://github.com/svenfuchs/i18n,MIT,No change,console,,
actionview,4.1.11,4.1.5,https://rubygems.org/gems/actionview/versions/4.1.11,MIT,Version Changed,console,,,,,
activesupport,4.1.11,2.3.11,https://rubygems.org/gems/activesupport/versions/4.1.11,MIT,Version Changed,console,,,,,
mail,2.5.4,2.5.4,https://github.com/mikel/mail,MIT,No change,console,,
crack,0.3.2,0.3.2,https://github.com/jnunemaker/crack,MIT,No change,console,,
execjs,0.3.0,0.3.0,https://github.com/sstephenson/execjs,MIT,No change,console,,
actionview,4.1.11,4.1.5,https://rubygems.org/gems/actionview/versions/4.1.11,MIT,Version Changed,console,,,,,
actionview,4.1.11,4.1.5,https://rubygems.org/gems/actionview/versions/4.1.11,MIT,Version Changed,console,,,,,
actionpack,4.1.11,4.1.5,https://rubygems.org/gems/actionpack/versions/4.1.11,MIT,Version Changed,console,,,,,
activemodel,4.1.11,4.1.5,https://rubygems.org/gems/activemodel/versions/4.1.11,MIT,Version Changed,console,,,,,
activerecord,4.1.11,3,https://rubygems.org/gems/activerecord/versions/4.1.11,MIT,Version Changed,console,,,,,
thread_safe,0.1.0,0.1,https://rubygems.org/gems/thread_safe/versions/0.1.0,Apache,Version Changed,console,https://github.com/ruby-concurrency/thread_safe/blob/master/LICENSE,,,mark,
timers,1.1.0,1.1.0,https://github.com/celluloid/timers,MIT,No change,console,,
activemodel,4.1.11,4.1.5,https://rubygems.org/gems/activemodel/versions/4.1.11,MIT,Version Changed,console,,,,,
activesupport,4.1.11,2.3.11,https://rubygems.org/gems/activesupport/versions/4.1.11,MIT,Version Changed,console,,,,,
arel,5.0.0,5.0.0,https://github.com/rails/arel,MIT,No change,console,,
activesupport,4.1.11,2.3.11,https://rubygems.org/gems/activesupport/versions/4.1.11,MIT,Version Changed,console,,,,,
jwt,0.1.2,0.1.2,https://github.com/progrium/ruby-jwt,MIT,No change,console,,
multi_json,1.3.0,1.3.0,https://github.com/intridea/multi_json,MIT,No change,console,,
activesupport,4.1.11,2.3.11,https://rubygems.org/gems/activesupport/versions/4.1.11,MIT,Version Changed,console,,,,,
daemons,1.0.9,1.0.9,https://github.com/thuehlinger/daemons,MIT,No change,console,,
actionmailer,4.1.11,4.1.5,https://rubygems.org/gems/actionmailer/versions/4.1.11,MIT,Version Changed,console,,,,,
activesupport,4.1.11,2.3.11,https://rubygems.org/gems/activesupport/versions/4.1.11,MIT,Version Changed,console,,,,,
eventmachine,1.0.0,1.0.0,https://github.com/eventmachine/eventmachine,Ruby License,No change,console,,
minitest,5.1.0,5.1,https://rubygems.org/gems/minitest/versions/5.1.0,MIT,Version Changed,console,,,,mark,
tzinfo,1.1.0,1.1,https://rubygems.org/gems/tzinfo/versions/1.1.0,MIT,Version Changed,console,,,,mark,
money,6.6.0,6.1.1,https://rubygems.org/gems/money,MIT,Version Changed,console,,,,,
json,1.7.7,1.7.7,https://github.com/flori/json,Ruby License,No change,console,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,console,,
activemodel,4.2.3,4.1.5,https://rubygems.org/gems/activemodel,MIT,Version Changed,console,,,,,
addressable,2.3.6,2.3.6,https://github.com/sporkmonger/addressable,APACHE 2.0,No change,console,,
arel,5.0.1.20140414130214,5.0.1.20140414130214,https://github.com/rails/arel,MIT,No change,console,,
blue-shell,0.3.0,None,https://rubygems.org/gems/blue-shell/versions/0.3.0,MIT,New in 1.5,console,,
i18n,0.6.9,0.6.9,https://github.com/svenfuchs/i18n,MIT,No change,console,,
rspec,3.3.0,3.1.0,https://rubygems.org/gems/rspec,MIT,Version Changed,console,,,,,
will_paginate,3.0.5,3.0.5,https://github.com/mislav/will_paginate,MIT,No change,console,,
beefcake,0.5.0,0.5.0,https://github.com/protobuf-ruby/beefcake,MIT,No change,console,,
brakeman,2.3.1,2.3.1,https://github.com/presidentbeef/brakeman,MIT,No change,console,,
highline,1.6.20,1.6.20,https://github.com/JEG2/highline,GPL-2,No change,console,,
state_machine,1.2.0,1.2.0,https://github.com/pluginaweek/state_machine,MIT,No change,console,,
