name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
rack,1.5.2,1.5.2,https://github.com/rack/rack,MIT,No change,console,,
actionview,4.1.11,4.1.5,https://rubygems.org/gems/actionview/versions/4.1.11,MIT,Version Changed,console,,,,,
mail,2.5.4,2.5.4,https://github.com/mikel/mail,MIT,No change,console,,
actionview,4.1.11,4.1.5,https://rubygems.org/gems/actionview/versions/4.1.11,MIT,Version Changed,console,,,,,
actionmailer,4.1.11,4.1.5,https://rubygems.org/gems/actionmailer/versions/4.1.11,MIT,Version Changed,console,,,,,
i18n,0.7.0,0.7.0,https://github.com/svenfuchs/i18n,MIT,No change,console,,
activesupport,4.1.11,2.3.11,https://rubygems.org/gems/activesupport/versions/4.1.11,MIT,Version Changed,console,,,,,
activesupport,4.1.11,2.3.11,https://rubygems.org/gems/activesupport/versions/4.1.11,MIT,Version Changed,console,,,,,
actionview,4.1.11,4.1.5,https://rubygems.org/gems/actionview/versions/4.1.11,MIT,Version Changed,console,,,,,
actionpack,4.1.11,4.1.5,https://rubygems.org/gems/actionpack/versions/4.1.11,MIT,Version Changed,console,,,,,
actionpack,4.1.11,4.1.5,https://rubygems.org/gems/actionpack/versions/4.1.11,MIT,Version Changed,console,,,,,
activemerchant,1.42.3,1.42.3,https://github.com/Shopify/active_merchant,MIT,No change,console,,
libv8,3.16.14.0,3.16.14.0,https://github.com/cowboyd/libv8,MIT,No change,console,,
therubyracer,0.12.1,0.12.0,https://rubygems.org/gems/therubyracer/versions/0.12.1,MIT,Version Changed,console,,,,,
twilio-ruby,4.2.1,3.11.5,https://rubygems.org/gems/twilio-ruby,MIT,Version Changed,console,,,,,
activesupport,4.1.11,2.3.11,https://rubygems.org/gems/activesupport/versions/4.1.11,MIT,Version Changed,console,,,,,
activemodel,4.1.11,4.1.5,https://rubygems.org/gems/activemodel/versions/4.1.11,MIT,Version Changed,console,,,,,
activerecord,4.1.11,3,https://rubygems.org/gems/activerecord/versions/4.1.11,MIT,Version Changed,console,,,,,
activemodel,4.1.11,4.1.5,https://rubygems.org/gems/activemodel/versions/4.1.11,MIT,Version Changed,console,,,,,
activesupport,4.1.11,2.3.11,https://rubygems.org/gems/activesupport/versions/4.1.11,MIT,Version Changed,console,,,,,
arel,5.0.0,5.0.0,https://github.com/rails/arel,MIT,No change,console,,
