name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
mail,2.5.4,2.5.4,https://github.com/mikel/mail,MIT,No change,console,,
activerecord,4.0.5,3,https://rubygems.org/gems/activerecord/versions/4.0.5,MIT,Version Changed,console,,,,,
activesupport,4.0.5,2.3.11,https://rubygems.org/gems/activesupport/versions/4.0.5,MIT,Version Changed,console,,,,,
actionmailer,4.0.5,4.1.5,https://rubygems.org/gems/actionmailer/versions/4.0.5,MIT,Version Changed,console,,,,,
actionpack,4.0.5,4.1.5,https://rubygems.org/gems/actionpack/versions/4.0.5,MIT,Version Changed,console,,,,,
activemodel,4.0.5,4.1.5,https://rubygems.org/gems/activemodel/versions/4.0.5,MIT,Version Changed,console,,,,,
activesupport,4.0.5,2.3.11,https://rubygems.org/gems/activesupport/versions/4.0.5,MIT,Version Changed,console,,,,,
actionpack,4.0.5,4.1.5,https://rubygems.org/gems/actionpack/versions/4.0.5,MIT,Version Changed,console,,,,,
activesupport,4.0.5,2.3.11,https://rubygems.org/gems/activesupport/versions/4.0.5,MIT,Version Changed,console,,,,,
activesupport,4.0.5,2.3.11,https://rubygems.org/gems/activesupport/versions/4.0.5,MIT,Version Changed,console,,,,,
activemodel,4.0.5,4.1.5,https://rubygems.org/gems/activemodel/versions/4.0.5,MIT,Version Changed,console,,,,,
rack,1.5.2,1.5.2,https://github.com/rack/rack,MIT,No change,console,,
polyglot,0.3.1,0.3.1,https://github.com/cjheath/polyglot,MIT,No change,console,,
arel,4.0.2,5.0.0,https://rubygems.org/gems/arel/versions/4.0.2,MIT,Version Changed,console,,,,,
coderay,1.1.0,1.1.0,https://github.com/rubychan/coderay,MIT,No change,console,,
cf-uaa-lib,2.0.1,None,https://rubygems.org/gems/cf-uaa-lib/versions/2.0.1,Apache 2.0,New in 1.5,console,,
diff-lcs,1.2.5,1.2.5,https://github.com/halostatue/diff-lcs,MIT,No change,console,,
multi_json,1.11.2,1.2,https://rubygems.org/gems/multi_json,MIT,Version Changed,console,,,,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,console,,
multi_json,1.0.0,1.2,https://rubygems.org/gems/multi_json/versions/1.0.0,MIT,Version Changed,console,https://github.com/intridea/multi_json/blob/master/LICENSE.md,,,,
hike,1.2.0,1.2,https://rubygems.org/gems/hike/versions/1.2.0,MIT,Version Changed,console,https://github.com/sstephenson/hike/blob/master/LICENSE,,,mark,
sprockets-rails,2.0.0,2,https://rubygems.org/gems/sprockets-rails/versions/2.0.0,MIT,Version Changed,console,https://github.com/rails/sprockets-rails/blob/master/LICENSE,,,,
hike,1.2.3,1.2.3,https://github.com/sstephenson/hike,MIT,No change,console,,
tilt,2.0.1,2.0.1,https://github.com/rtomayko/tilt,MIT,No change,console,,
i18n,0.6.9,0.6.9,https://github.com/svenfuchs/i18n,MIT,No change,console,,
mail,2.5.4,2.5.4,https://github.com/mikel/mail,MIT,No change,console,,
i18n,0.6.9,0.6.9,https://github.com/svenfuchs/i18n,MIT,No change,console,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,console,,
tzinfo,0.3.39,1.1,https://rubygems.org/gems/tzinfo/versions/0.3.39,MIT,Version Changed,console,,,,,
mime-types,1.25.1,1.25.1,https://github.com/halostatue/mime-types,MIT,No change,console,,
multi_json,1.10.1,1.10.1,https://github.com/intridea/multi_json,MIT,No change,console,,
polyglot,0.3.5,0.3.5,https://github.com/cjheath/polyglot,MIT,No change,console,,
cf-app-utils,0.4,None,https://rubygems.org/gems/cf-app-utils,MIT,New in 1.5,console,,
polyglot,0.3.5,0.3.5,https://github.com/cjheath/polyglot,MIT,No change,console,,
rack,1.5.2,1.5.2,https://github.com/rack/rack,MIT,No change,console,,
activerecord-deprecated_finders,1.0.2,None,https://rubygems.org/gems/activerecord-deprecated_finders/versions/1.0.2,MIT,New in 1.5,console,https://github.com/rails/activerecord-deprecated_finders/blob/master/LICENSE,
rails,4.0.5,4.1.5,https://rubygems.org/gems/rails/versions/4.0.5,MIT,Version Changed,console,,,,,
actionmailer,4.0.5,4.1.5,https://rubygems.org/gems/actionmailer/versions/4.0.5,MIT,Version Changed,console,,,,,
actionpack,4.0.5,4.1.5,https://rubygems.org/gems/actionpack/versions/4.0.5,MIT,Version Changed,console,,,,,
mime-types,2.6.1,2.0.0,https://rubygems.org/gems/mime-types,MIT,Version Changed,console,,,,,
activerecord,4.0.5,3,https://rubygems.org/gems/activerecord/versions/4.0.5,MIT,Version Changed,console,,,,,
activesupport,4.0.5,2.3.11,https://rubygems.org/gems/activesupport/versions/4.0.5,MIT,Version Changed,console,,,,,
treetop,1.4.15,1.4.15,https://github.com/cjheath/treetop,MIT,No change,console,,
bundler,1.3.0,1.3.0,https://github.com/bundler/bundler,MIT,No change,console,,
timecop,0.7.1,0.7.1,https://github.com/travisjeffery/timecop,MIT,No change,console,,
tzinfo,0.3.37,1.1,https://rubygems.org/gems/tzinfo/versions/0.3.37,MIT,Version Changed,console,https://github.com/tzinfo/tzinfo/blob/master/LICENSE,,,,
multi_json,1.3.0,1.3.0,https://github.com/intridea/multi_json,MIT,No change,console,,
railties,4.0.5,3.1,https://rubygems.org/gems/railties/versions/4.0.5,MIT,Version Changed,console,,,,,
railties,4.0.5,3.1,https://rubygems.org/gems/railties/versions/4.0.5,MIT,Version Changed,console,,,,,
activesupport,4.0.5,2.3.11,https://rubygems.org/gems/activesupport/versions/4.0.5,MIT,Version Changed,console,,,,,
actionpack,4.0.5,4.1.5,https://rubygems.org/gems/actionpack/versions/4.0.5,MIT,Version Changed,console,,,,,
activerecord-deprecated_finders,1.0.3,None,https://rubygems.org/gems/activerecord-deprecated_finders/versions/1.0.3,MIT,New in 1.5,console,https://github.com/rails/activerecord-deprecated_finders/blob/master/LICENSE,
thread_safe,0.1.0,0.1,https://rubygems.org/gems/thread_safe/versions/0.1.0,Apache,Version Changed,console,https://github.com/ruby-concurrency/thread_safe/blob/master/LICENSE,,,mark,
thor,0.18.1,0.18.1,https://github.com/erikhuda/thor,MIT,No change,console,,
tilt,1.4.1,1.4.1,https://github.com/rtomayko/tilt,MIT,No change,console,,
rake,10.3.2,10.3.2,https://github.com/ruby/rake,MIT,No change,console,,
thread_safe,0.3.4,0.3.4,https://github.com/headius/thread_safe,APACHE-2.0,No change,console,,
rspec,3.0.0,3.0.0,https://github.com/rspec/rspec,MIT,No change,console,,
rspec-core,3.0.0,3.0.0,https://github.com/rspec/rspec-core,MIT,No change,console,,
treetop,1.4.8,1.4.8,https://github.com/cjheath/treetop,MIT,No change,console,,
rspec-expectations,3.0.0,3.0.0,https://github.com/rspec/rspec-expectations,MIT,No change,console,,
rspec-mocks,3.0.0,3.0.0,https://github.com/rspec/rspec-mocks,MIT,No change,console,,
rspec-core,3.0.0,3.0.0,https://github.com/rspec/rspec-core,MIT,No change,console,,
rspec-support,3.0.0,3.0.0,https://github.com/rspec/rspec-support,MIT,No change,console,,
rspec-expectations,3.0.0,3.0.0,https://github.com/rspec/rspec-expectations,MIT,No change,console,,
rspec-support,3.0.0,3.0.0,https://github.com/rspec/rspec-support,MIT,No change,console,,
rspec-mocks,3.0.1,3.0.4,https://rubygems.org/gems/rspec-mocks/versions/3.0.1,MIT,Version Changed,console,,,,,
rspec-support,3.0.0,3.0.0,https://github.com/rspec/rspec-support,MIT,No change,console,,
rspec-support,3.0.0,3.0.0,https://github.com/rspec/rspec-support,MIT,No change,console,,
slop,3.5.0,3.4,https://rubygems.org/gems/slop/versions/3.5.0,MIT,Version Changed,console,,,,,
sprockets,2.12.1,2.11.0,https://rubygems.org/gems/sprockets/versions/2.12.1,MIT,Version Changed,console,,,,,
thor,0.19.1,0.19.1,https://github.com/erikhuda/thor,MIT,No change,console,,
pry,0.9.12.6,0.9.12,https://rubygems.org/gems/pry/versions/0.9.12.6,MIT,Version Changed,console,https://github.com/pry/pry/blob/master/LICENSE,,,,
sprockets-rails,2.0.1,2,https://rubygems.org/gems/sprockets-rails/versions/2.0.1,MIT,Version Changed,console,,,,,
slop,3.4.0,3.4,https://rubygems.org/gems/slop/versions/3.4.0,MIT,Version Changed,console,https://github.com/leejarvis/slop/blob/master/LICENSE,,,mark,
diff-lcs,1.2.0,1.2.0,https://github.com/halostatue/diff-lcs,MIT,No change,console,,
rake,0.8.7,0.8.7,https://github.com/ruby/rake,MIT,No change,console,,
rack-test,0.6.2,0.6.2,https://github.com/brynary/rack-test,MIT,No change,console,,
method_source,0.8.2,0.8.2,https://github.com/banister/method_source,MIT,No change,console,,
coderay,1.0.0,1,https://rubygems.org/gems/coderay/versions/1.0.0,N/A,Version Changed,console,https://github.comhttps://github.com/rubychan/coderay/issues/25,https://github.com/rubychan/coderay,MIT,,
minitest,4.7.5,5.1,https://rubygems.org/gems/minitest/versions/4.7.5,N/A,Version Changed,console,https://github.com/seattlerb/minitest,https://github.com/seattlerb/minitest,MIT,,
method_source,0.8.2,0.8.2,https://github.com/banister/method_source,MIT,No change,console,,
actionpack,3.0.0,3.0.0,https://github.com/rails/rails/tree/master/actionpack,MIT,No change,console,,
activesupport,3.0.0,3.0.0,https://github.com/rails/rails/tree/master/activesupport,MIT,No change,console,,
sprockets,2.8.0,2.11.0,https://rubygems.org/gems/sprockets/versions/2.8.0,N/A,Version Changed,console,Not Found Github Url,https://github.com/sstephenson/sprockets,MIT,,
