Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
cf-bosh,simplecov,0.7.1,https://github.com/colszowka/simplecov/,MIT
cf-bosh,powerpack,0.0.6,https://github.com/bbatsov/powerpack,MIT
cf-bosh,rack,1.6.0,https://github.com/rack/rack,MIT
cf-bosh,json_pure,1.8.1,https://github.com/flori/json,RUBY
cf-bosh,eventmachine,0.12.9,https://github.com/eventmachine/eventmachine,Ruby License
cf-bosh,eventmachine,0.12.9,https://github.com/eventmachine/eventmachine,Ruby License
cf-bosh,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-bosh,rspec,3.0.0,https://github.com/rspec/rspec,MIT
cf-bosh,timecop,0.6.1,https://github.com/travisjeffery/timecop,MIT
cf-bosh,redis,3.0.3,https://github.com/redis/redis-rb,MIT
cf-bosh,rainbow,2.0.0,https://github.com/sickill/rainbow,MIT
cf-bosh,rack,1,https://github.com/rack/rack,MIT
cf-bosh,rack,1,https://github.com/rack/rack,MIT
cf-bosh,machinist,1.0.6,https://github.com/notahat/machinist,MIT
cf-bosh,rspec-expectations,3.0.0,https://github.com/rspec/rspec-expectations,MIT
cf-bosh,diff-lcs,1.2.5,https://github.com/halostatue/diff-lcs,MIT
cf-bosh,multi_json,1.8.4,https://github.com/intridea/multi_json,MIT
cf-bosh,parallel,1.3.3,https://github.com/grosser/parallel,MIT
cf-bosh,treetop,1.4,https://github.com/cjheath/treetop,MIT
cf-bosh,bcrypt-ruby,3.0.1,https://github.com/codahale/bcrypt-ruby,MIT
cf-bosh,polyglot,0.3,https://github.com/cjheath/polyglot,MIT
cf-bosh,mysql2,0.3.11,https://github.com/brianmario/mysql2,MIT
cf-bosh,fog-core,1.22,https://github.com/fog/fog-core,MIT
cf-bosh,mono_logger,1,https://github.com/steveklabnik/mono_logger,MIT
cf-bosh,nokogiri,1.5,https://github.com/sparklemotion/nokogiri,MIT
cf-bosh,multi_json,1.3,https://github.com/intridea/multi_json,MIT
cf-bosh,ast,2.0.0,https://github.com/whitequark/ast,MIT
cf-bosh,multi_json,1.8.4,https://github.com/intridea/multi_json,MIT
cf-bosh,nats,0.5.0.beta.12,https://github.com/derekcollison/ruby-nats,MIT
cf-bosh,fog-core,1.27.2,https://github.com/fog/fog-core,MIT
cf-bosh,redis-namespace,1.3,https://github.com/redis/redis-rb-namespace,MIT
cf-bosh,pg,0.15.1,https://rubygems.org/gems/pg,BSD
cf-bosh,slop,3.4.5,https://github.com/leejarvis/slop,MIT
cf-bosh,mime-types,1.16,https://github.com/halostatue/mime-types/,MIT
cf-bosh,multi_json,1.3,https://github.com/intridea/multi_json,MIT
cf-bosh,formatador,0.2,https://github.com/geemus/formatador,MIT
cf-bosh,log4r,1.1.10,https://github.com/colbygk/log4r,BSD
cf-bosh,rake,10.4.2,https://github.com/jimweirich/rake,MIT
cf-bosh,gherkin,2.11,https://github.com/cucumber/gherkin,MIT
cf-bosh,rspec,3.0.0,https://github.com/rspec/rspec,MIT
cf-bosh,powerpack,0.0.9,https://github.com/bbatsov/powerpack,MIT
cf-bosh,mono_logger,1,https://github.com/steveklabnik/mono_logger,MIT
cf-bosh,thor,0.18.1,https://github.com/erikhuda/thor,MIT
cf-bosh,diff-lcs,1.2.0,https://github.com/halostatue/diff-lcs,MIT
cf-bosh,treetop,1.5.3,https://github.com/cjheath/treetop,MIT
cf-bosh,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
cf-bosh,nokogiri,1.5.11,https://github.com/sparklemotion/nokogiri,MIT
cf-bosh,nokogiri,1.5,https://github.com/sparklemotion/nokogiri,MIT
cf-bosh,ruby-progressbar,1.4,https://github.com/jfelchner/ruby-progressbar,MIT
cf-bosh,beefcake,0.3.7,https://github.com/protobuf-ruby/beefcake,MIT
cf-bosh,sinatra,0.9.2,https://github.com/sinatra/sinatra,MIT
cf-bosh,thread_safe,0.3.4,https://github.com/headius/thread_safe,APACHE-2.0
cf-bosh,rugged,0.19.0,https://github.com/libgit2/rugged,MIT
cf-bosh,nokogiri,1.5.6,https://github.com/sparklemotion/nokogiri,MIT
cf-bosh,daemons,1.0.9,https://github.com/thuehlinger/daemons,MIT
cf-bosh,rack,1.5.2,https://github.com/rack/rack,MIT
cf-bosh,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
cf-bosh,addressable,2.0.0,https://github.com/sporkmonger/addressable,APACHE 2.0
cf-bosh,redis,3.0.0,https://github.com/redis/redis-rb,MIT
cf-bosh,parallel,0.9.2,https://github.com/grosser/parallel,MIT
cf-bosh,gibberish,1.2.2,https://github.com/mdp/gibberish,MIT
cf-bosh,log4r,1.1.9,https://github.com/colbygk/log4r,BSD
cf-bosh,rack,1.4,https://github.com/rack/rack,MIT
cf-bosh,docile,1.1.5,https://github.com/ms-ati/docile,MIT
cf-bosh,tilt,1.4.1,https://github.com/rtomayko/tilt,MIT
cf-bosh,tilt,1.3.4,https://github.com/rtomayko/tilt,MIT
cf-bosh,gherkin,2.12.2,https://github.com/cucumber/gherkin,MIT
cf-bosh,daemons,1.1.9,https://github.com/thuehlinger/daemons,MIT
cf-bosh,sys-filesystem,1.1.3,https://github.com/djberg96/sys-filesystem,ARTISTIC 2.0
cf-bosh,sqlite3,1.3.7,https://github.com/sparklemotion/sqlite3-ruby,BSD-3
cf-bosh,net-ssh-gateway,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT
cf-bosh,nokogiri,1.5.11,https://github.com/sparklemotion/nokogiri,MIT
cf-bosh,excon,0.39.5,https://github.com/excon/excon,MIT
cf-bosh,rack,1.5.2,https://github.com/rack/rack,MIT
cf-bosh,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
cf-bosh,resque,1.25.2,https://github.com/resque/resque,MIT
cf-bosh,escape_utils,1.0.1,https://github.com/brianmario/escape_utils,MIT
cf-bosh,sinatra,1.4.3,https://github.com/sinatra/sinatra,MIT
cf-bosh,nokogiri,1.5.11,https://github.com/sparklemotion/nokogiri,MIT
cf-bosh,em-http-request,0.3.0,https://github.com/igrigorik/em-http-request,MIT
cf-bosh,rack,1.4,https://github.com/rack/rack,MIT
cf-bosh,json,1.7.7,https://github.com/flori/json,RUBY
cf-bosh,rspec-expectations,3.0.0,https://github.com/rspec/rspec-expectations,MIT
cf-bosh,rufus-lru,1,https://github.com/jmettraux/rufus-lru,MIT
cf-bosh,little-plugger,1.1.3,https://github.com/TwP/little-plugger,MIT
cf-bosh,slop,3.4.5,https://github.com/leejarvis/slop,MIT
cf-bosh,docile,1.1.0,https://github.com/ms-ati/docile,MIT
cf-bosh,rspec-mocks,3.0.0,https://github.com/rspec/rspec-mocks,MIT
cf-bosh,eventmachine,1.0.3,https://github.com/eventmachine/eventmachine,Ruby License
cf-bosh,rack-protection,1.5.3,https://github.com/rkh/rack-protection,MIT
cf-bosh,addressable,2.2.7,https://github.com/sporkmonger/addressable,APACHE 2.0
cf-bosh,net-ssh,2.9.1,https://github.com/net-ssh/net-ssh,MIT
cf-bosh,multi_json,1.8.4,https://github.com/intridea/multi_json,MIT
cf-bosh,rubocop,0.23.0,https://github.com/bbatsov/rubocop,MIT
cf-bosh,simplecov,0.9.0,https://github.com/colszowka/simplecov/,MIT
cf-bosh,thin,1.5.1,https://github.com/macournoyer/thin,Ruby License
cf-bosh,tilt,1.3.4,https://github.com/rtomayko/tilt,MIT
cf-bosh,ast,1.1,https://github.com/whitequark/ast,MIT
cf-bosh,gherkin,2.12.2,https://github.com/cucumber/gherkin,MIT
cf-bosh,vegas,0.1.2,https://github.com/quirkey/vegas/,MIT
cf-bosh,multi_json,1,https://github.com/intridea/multi_json,MIT
cf-bosh,tzinfo,0.3.22,https://github.com/tzinfo/tzinfo,MIT
cf-bosh,terminal-table,1.4.0,https://github.com/tj/terminal-table,MIT
cf-bosh,rspec,2.13.0,https://github.com/rspec/rspec,MIT
cf-bosh,redis-namespace,1.3.1,https://github.com/redis/redis-rb-namespace,MIT
cf-bosh,eventmachine,0.12.6,https://github.com/eventmachine/eventmachine,Ruby License
cf-bosh,nokogiri,1.5.0,https://github.com/sparklemotion/nokogiri,MIT
cf-bosh,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
cf-bosh,log4r,1.1.9,https://github.com/colbygk/log4r,BSD
cf-bosh,slop,3.5.0,https://github.com/leejarvis/slop,MIT
cf-bosh,redis-namespace,1.3.1,https://github.com/redis/redis-rb-namespace,MIT
cf-bosh,rspec-its,1.0.1,https://github.com/rspec/rspec-its,MIT
cf-bosh,redis-namespace,1.3,https://github.com/redis/redis-rb-namespace,MIT
cf-bosh,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-bosh,mono_logger,1.1.0,https://github.com/steveklabnik/mono_logger,MIT
cf-bosh,ruby-progressbar,1.5.1,https://github.com/jfelchner/ruby-progressbar,MIT
cf-bosh,json_pure,1.8.0,https://github.com/flori/json,RUBY
cf-bosh,daemons,1.0.9,https://github.com/thuehlinger/daemons,MIT
cf-bosh,rake,10.3.2,https://github.com/jimweirich/rake,MIT
cf-bosh,yajl-ruby,1.1,https://github.com/brianmario/yajl-ruby,MIT
