name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
CFPropertyList,2.3.1,None,https://rubygems.org/gems/CFPropertyList/versions/2.3.1,MIT,New in 1.5,bosh,,
bosh_common,1.3016.0,None,https://rubygems.org/gems/bosh_common,Apache 2.0,New in 1.5,bosh,,
ast,2.0.0,2.0.0,https://github.com/whitequark/ast,MIT,No change,bosh,,
aws-sdk-v1,1.60.2,None,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,New in 1.5,bosh,,
addressable,2.3.7,2.0.0,https://rubygems.org/gems/addressable/versions/2.3.7,Apache License 2.0,Version Changed,bosh,,,,,
blue-shell,0.3.0,None,https://rubygems.org/gems/blue-shell/versions/0.3.0,MIT,New in 1.5,bosh,,
aws-sdk,1.60.2,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,bosh,,,,,
aws-sdk-v1,1.60.2,None,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,New in 1.5,bosh,,
bosh_cpi,1.3016.0,None,https://rubygems.org/gems/bosh_cpi,Apache 2.0,New in 1.5,bosh,,
bosh_vcloud_cpi,0.7.10,None,https://rubygems.org/gems/bosh_vcloud_cpi/versions/0.7.10,Apache 2.0,New in 1.5,bosh,,
rspec,3.3.0,3.0.0,https://rubygems.org/gems/rspec,MIT,Version Changed,bosh,,,,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,bosh,,
sqlite3,1.3.7,1.3.7,https://github.com/sparklemotion/sqlite3-ruby,BSD-3,No change,bosh,,
multi_json,1.11.2,1.8.4,https://rubygems.org/gems/multi_json,MIT,Version Changed,bosh,,,,,
codeclimate-test-reporter,0.3.0,0.3.0,https://rubygems.org/gems/codeclimate-test-reporter,MIT,No change,bosh,,
crack,0.4.2,0.3.2,https://rubygems.org/gems/crack/versions/0.4.2,MIT,Version Changed,bosh,,,,,
coderay,1.1.0,None,https://rubygems.org/gems/coderay/versions/1.1.0,MIT,New in 1.5,bosh,,
diff-lcs,1.2.5,1.2.5,https://github.com/halostatue/diff-lcs,MIT,No change,bosh,,
docile,1.1.5,1.1.5,https://github.com/ms-ati/docile,MIT,No change,bosh,,
safe_yaml,1.0.0,None,https://rubygems.org/gems/safe_yaml/versions/1.0.0,MIT,New in 1.5,bosh,,
tzinfo,0.3.22,0.3.22,https://github.com/tzinfo/tzinfo,MIT,No change,bosh,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,bosh,,
eventmachine,0.12.6,0.12.6,https://github.com/eventmachine/eventmachine,Ruby License,No change,bosh,,
dogapi,1.6.0,1.6.0,https://github.com/DataDog/dogapi-rb,BSD,No change,bosh,,
nokogiri,1.6.6.2,1.5,https://rubygems.org/gems/nokogiri,MIT,Version Changed,bosh,,,,,
escape_utils,1.1.0,1.0.1,https://rubygems.org/gems/escape_utils,MIT,Version Changed,bosh,,,,,
escape_utils,1.1.0,1.0.1,https://rubygems.org/gems/escape_utils/versions/1.1.0,MIT,Version Changed,bosh,,,,,
cf-uaa-lib,3.2.1,None,https://rubygems.org/gems/cf-uaa-lib/versions/3.2.1,Apache 2.0,New in 1.5,bosh,,
excon,0.45.3,0.39.5,https://rubygems.org/gems/excon/versions/0.45.3,MIT,Version Changed,bosh,,,,,
thread_safe,0.1.0,0.3.4,https://rubygems.org/gems/thread_safe/versions/0.1.0,Apache,Version Changed,bosh,https://github.com/ruby-concurrency/thread_safe/blob/master/LICENSE,,,,
fakefs,0.6.7,None,https://rubygems.org/gems/fakefs/versions/0.6.7,MIT,New in 1.5,bosh,,
ffi,1.9.10,1.9.6,https://rubygems.org/gems/ffi/versions/1.9.10,BSD,Version Changed,bosh,,,,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,bosh,,
fog,1.27.0,1.23.0,https://rubygems.org/gems/fog/versions/1.27.0,MIT,Version Changed,bosh,,,,,
fog-atmos,0.1.0,None,https://rubygems.org/gems/fog-atmos,MIT,New in 1.5,bosh,,
fog-brightbox,0.4.0,0.7.1,https://rubygems.org/gems/fog-brightbox/versions/0.4.0,MIT,Version Changed,bosh,,,,,
backports,2.0.0,None,https://rubygems.org/gems/backports/versions/2.0.0,MIT,New in 1.5,bosh,https://github.com/marcandre/backports/blob/master/LICENSE.txt,
fog-core,1.27.3,1.22,https://rubygems.org/gems/fog-core/versions/1.27.3,MIT,Version Changed,bosh,,,,,
fog-ecloud,0.3.0,None,https://rubygems.org/gems/fog-ecloud,MIT,New in 1.5,bosh,,
eventmachine,1.0.7,0.12.9,https://rubygems.org/gems/eventmachine,Ruby,Version Changed,bosh,,,,,
fog-json,1.0.2,1.0.0,https://rubygems.org/gems/fog-json,MIT,Version Changed,bosh,,,,,
fog-radosgw,0.0.2,None,https://rubygems.org/gems/fog-radosgw/versions/0.0.2,MIT,New in 1.5,bosh,,
fog-sakuracloud,0.0.4,None,https://rubygems.org/gems/fog-sakuracloud/versions/0.0.4,MIT,New in 1.5,bosh,,
fog-serverlove,0.1.2,None,https://rubygems.org/gems/fog-serverlove,MIT,New in 1.5,bosh,,
fog-softlayer,0.4.7,0.3.26,https://rubygems.org/gems/fog-softlayer,MIT,Version Changed,bosh,,,,,
crack,0.3.2,0.3.2,https://github.com/jnunemaker/crack,MIT,No change,bosh,,
fog-storm_on_demand,0.1.1,None,https://rubygems.org/gems/fog-storm_on_demand,MIT,New in 1.5,bosh,,
fog-profitbricks,0.0.3,None,https://rubygems.org/gems/fog-profitbricks,MIT,New in 1.5,bosh,,
fog-voxel,0.1.0,None,https://rubygems.org/gems/fog-voxel,MIT,New in 1.5,bosh,,
fog-vmfusion,0.1.0,None,https://rubygems.org/gems/fog-vmfusion,MIT,New in 1.5,bosh,,
fog-terremark,0.1.0,None,https://rubygems.org/gems/fog-terremark,MIT,New in 1.5,bosh,,
fog-aws,0.7.3,None,https://rubygems.org/gems/fog-aws,MIT,New in 1.5,bosh,,
fog-xml,0.1.1,None,https://rubygems.org/gems/fog-xml/versions/0.1.1,MIT,New in 1.5,bosh,,
nokogiri,1.5.11,1.5.11,https://github.com/sparklemotion/nokogiri,MIT,No change,bosh,,
fog-atmos,0.1.0,None,https://rubygems.org/gems/fog-atmos/versions/0.1.0,MIT,New in 1.5,bosh,,
