Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
cf-mysql-broker,simplecov,0.7.1,https://github.com/colszowka/simplecov,MIT
cf-mysql-broker,database_cleaner,1.3.0,https://github.com/DatabaseCleaner/database_cleaner,MIT
cf-mysql-broker,actionpack,4.0.0,https://github.com/rails/rails/tree/master/actionpack,MIT
cf-mysql-broker,nio4r,0.5.0,https://github.com/celluloid/nio4r,MIT
cf-mysql-broker,settingslogic,2.0.9,https://github.com/binarylogic/settingslogic,MIT
cf-mysql-broker,raindrops,0.12.0,https://github.com/tmm1/raindrops,LGPLV2.1+
cf-mysql-broker,rspec-core,2.14.0,https://github.com/rspec/rspec-core,MIT
cf-mysql-broker,bundler,1.3.0,https://github.com/bundler/bundler,MIT
cf-mysql-broker,pry,0.9.12.6,https://github.com/pry/pry,MIT
cf-mysql-broker,sprockets,2.8,https://github.com/sstephenson/sprockets,MIT
cf-mysql-broker,tzinfo,0.3.31,https://github.com/tzinfo/tzinfo,MIT
cf-mysql-broker,actionpack,3.2.11,https://github.com/rails/rails/tree/master/actionpack,MIT
cf-mysql-broker,guard,2.6.0,https://github.com/guard/guard,MIT
cf-mysql-broker,addressable,2.2.7,https://github.com/sporkmonger/addressable,APACHE 2.0
cf-mysql-broker,sprockets-rails,2.0.0,https://github.com/rails/sprockets-rails,MIT
cf-mysql-broker,sass,3.2.0,https://github.com/sass/sass,MIT
cf-mysql-broker,tzinfo,0.3.37,https://github.com/tzinfo/tzinfo,MIT
cf-mysql-broker,rspec-mocks,2.14.3,https://github.com/rspec/rspec-mocks,MIT
cf-mysql-broker,sprockets,2.10.0,https://github.com/sstephenson/sprockets,MIT
cf-mysql-broker,pry,0.9.12,https://github.com/pry/pry,MIT
cf-mysql-broker,sprockets-rails,2,https://github.com/rails/sprockets-rails,MIT
cf-mysql-broker,timers,1.1.0,https://github.com/celluloid/timers,MIT
cf-mysql-broker,json_pure,1.8.1,https://github.com/flori/json,Ruby License
cf-mysql-broker,eventmachine,1.0.0,https://github.com/eventmachine/eventmachine,Ruby License
cf-mysql-broker,listen,2.7.1,https://github.com/guard/listen,MIT
cf-mysql-broker,hashie,1.2,https://github.com/intridea/hashie,MIT
cf-mysql-broker,rack,1.5.2,https://github.com/rack/rack,MIT
cf-mysql-broker,rb-fsevent,0.9.4,https://github.com/thibaudgg/rb-fsevent,MIT
cf-mysql-broker,rspec-core,2.14.5,https://github.com/rspec/rspec-core,MIT
