name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
cf-uaa-lib,2.0.1,None,https://rubygems.org/gems/cf-uaa-lib/versions/2.0.1,Apache 2.0,New in 1.5,broker-registrar,,
atomic,1.1.15,1.1.15,https://github.com/headius/ruby-atomic,APACHE-2.0,No change,broker-registrar,,
blue-shell,0.3.0,None,https://rubygems.org/gems/blue-shell/versions/0.3.0,MIT,New in 1.5,broker-registrar,,
rspec,3.3.0,3.1.0,https://rubygems.org/gems/rspec,MIT,Version Changed,broker-registrar,,,,,
cfoundry,4.7.1,None,https://rubygems.org/gems/cfoundry/versions/4.7.1,Apache 2.0,New in 1.5,broker-registrar,,
i18n,0.6.4,0.6.4,https://github.com/svenfuchs/i18n,MIT,No change,broker-registrar,,
activesupport,4.0.3,4.0.3,https://github.com/rails/rails/tree/master/activesupport,MIT,No change,broker-registrar,,
addressable,2.3.5,2.3.5,https://github.com/sporkmonger/addressable,APACHE 2.0,No change,broker-registrar,,
multi_json,1.7.0,1.8.4,https://rubygems.org/gems/multi_json/versions/1.7.0,MIT,Version Changed,broker-registrar,,,,,
multi_json,1.11.2,1.8.4,https://rubygems.org/gems/multi_json,MIT,Version Changed,broker-registrar,,,,,
activemodel,4.0.3,4.0.3,https://rubygems.org/gems/activemodel,MIT,No change,broker-registrar,,
activesupport,4.0.3,4.0.3,https://github.com/rails/rails/tree/master/activesupport,MIT,No change,broker-registrar,,
addressable,2.2.7,2.2.7,https://github.com/sporkmonger/addressable,APACHE 2.0,No change,broker-registrar,,
crack,0.4.2,0.4.2,https://github.com/jnunemaker/crack,MIT,No change,broker-registrar,,
safe_yaml,1.0.0,1.0.0,https://github.com/dtao/safe_yaml,MIT,No change,broker-registrar,,
diff-lcs,1.2.5,1.2.5,https://github.com/halostatue/diff-lcs,MIT,No change,broker-registrar,,
json,1.8.0,1.8,https://rubygems.org/gems/json/versions/1.8.0,Ruby,Version Changed,broker-registrar,,,,mark,
multi_xml,0.5.2,0.5.2,https://github.com/sferik/multi_xml,MIT,No change,broker-registrar,,
i18n,0.6.9,0.6.9,https://github.com/svenfuchs/i18n,MIT,No change,broker-registrar,,
multi_json,1.8.4,1.8.4,https://github.com/intridea/multi_json,MIT,No change,broker-registrar,,
json,1.8.1,1.8.1,https://github.com/flori/json,RUBY,No change,broker-registrar,,
tzinfo,0.3.38,0.3.38,https://github.com/tzinfo/tzinfo,MIT,No change,broker-registrar,,
crack,0.3.2,0.3.2,https://github.com/jnunemaker/crack,MIT,No change,broker-registrar,,
cf-uaa-lib,2.0.0,None,https://rubygems.org/gems/cf-uaa-lib/versions/2.0.0,bsd,New in 1.5,broker-registrar,https://github.com/cloudfoundry/cf-uaa-lib/blob/master/LICENSE.TXT,
multi_xml,0.5.5,0.5.5,https://github.com/sferik/multi_xml,MIT,No change,broker-registrar,,
rspec-core,2.14.0,2.14.0,https://github.com/rspec/rspec-core,MIT,No change,broker-registrar,,
multipart-post,1.2.0,1.2.0,https://github.com/nicksieger/multipart-post,MIT,No change,broker-registrar,,
rspec,2.14.1,2.14.1,https://github.com/rspec/rspec,MIT,No change,broker-registrar,,
rspec-expectations,2.14.0,2.14.0,https://github.com/rspec/rspec-expectations,MIT,No change,broker-registrar,,
rspec-expectations,2.14.4,2.14.4,https://github.com/rspec/rspec-expectations,MIT,No change,broker-registrar,,
