Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
cf-neo4j,terminal-table,1.4.5,https://github.com/tj/terminal-table,MIT
cf-neo4j,pry,0.10.1,https://github.com/pry/pry,MIT
cf-neo4j,mimemagic,0.2.1,https://github.com/minad/mimemagic,MIT
cf-neo4j,builder,3.2.2,https://github.com/jimweirich/builder,MIT
cf-neo4j,fog,1.14.0,https://github.com/fog/fog,MIT
cf-neo4j,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-neo4j,net-ssh,2.9.1,https://github.com/net-ssh/net-ssh,MIT
cf-neo4j,capybara,2.1,https://github.com/jnicklas/capybara,MIT
cf-neo4j,rack,1,https://github.com/rack/rack,MIT
cf-neo4j,nokogiri,1.3,https://github.com/sparklemotion/nokogiri,MIT
cf-neo4j,rspec-expectations,3.1.2,https://github.com/rspec/rspec-expectations,MIT
cf-neo4j,httmultiparty,0.3,https://github.com/jwagener/httmultiparty,MIT
cf-neo4j,nokogiri,1.5,https://github.com/sparklemotion/nokogiri,MIT
cf-neo4j,nokogiri,1.5,https://github.com/sparklemotion/nokogiri,MIT
cf-neo4j,json_pure,1.8.1,https://github.com/flori/json,Ruby License
cf-neo4j,json,1.8,https://github.com/flori/json,Ruby License
cf-neo4j,rake,10.3.2,https://github.com/ruby/rake,MIT
cf-neo4j,open4,1.3.4,https://github.com/ahoward/open4,Ruby License
cf-neo4j,progressbar,0.9.0,https://github.com/peleteiro/progressbar,Ruby License
cf-neo4j,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
cf-neo4j,rspec-core,3.1.7,https://github.com/rspec/rspec-core,MIT
cf-neo4j,log4r,1.1.10,https://github.com/colbygk/log4r,BSD
cf-neo4j,nokogiri,1.6.3.1,https://github.com/sparklemotion/nokogiri,MIT
cf-neo4j,multi_json,1.1,https://github.com/intridea/multi_json,MIT
cf-neo4j,progressbar,0.9.0,https://github.com/peleteiro/progressbar,Ruby License
cf-neo4j,nokogiri,1.3.3,https://github.com/sparklemotion/nokogiri,MIT
cf-neo4j,rspec-expectations,3.1.0,https://github.com/rspec/rspec-expectations,MIT
