name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
fog,1.14.0,1.14.0,https://github.com/fog/fog,MIT,No change,cf-neo4j,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,cf-neo4j,,
bosh-template,1.2697.0,None,https://rubygems.org/gems/bosh-template/versions/1.2697.0,Apache 2.0,New in 1.5,cf-neo4j,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,cf-neo4j,,
aws-sdk,1.44.0,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE 2.0,No change,cf-neo4j,,
bosh_common,1.2697.0,None,https://rubygems.org/gems/bosh_common/versions/1.2697.0,Apache 2.0,New in 1.5,cf-neo4j,,
blobstore_client,1.2697.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2697.0,Apache 2.0,New in 1.5,cf-neo4j,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,cf-neo4j,,
bosh_common,1.2697.0,None,https://rubygems.org/gems/bosh_common/versions/1.2697.0,Apache 2.0,New in 1.5,cf-neo4j,,
blobstore_client,1.2697.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2697.0,Apache 2.0,New in 1.5,cf-neo4j,,
bosh-template,1.2697.0,None,https://rubygems.org/gems/bosh-template/versions/1.2697.0,Apache 2.0,New in 1.5,cf-neo4j,,
aws-sdk,1.44.0,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE 2.0,No change,cf-neo4j,,
bosh_cli,1.2697.0,None,https://rubygems.org/gems/bosh_cli/versions/1.2697.0,Apache 2.0,New in 1.5,cf-neo4j,,
ruby-atmos-pure,1.0.5,None,https://rubygems.org/gems/ruby-atmos-pure/versions/1.0.5,N/A,New in 1.5,cf-neo4j,Not Found Github Url,
net-scp,1.1.0,1.1.0,https://github.com/net-ssh/net-scp,MIT,No change,cf-neo4j,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,cf-neo4j,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,cf-neo4j,,
bosh_common,1.2697.0,None,https://rubygems.org/gems/bosh_common/versions/1.2697.0,Apache 2.0,New in 1.5,cf-neo4j,,
net-ssh-gateway,1.2.0,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT,No change,cf-neo4j,,
capybara,2.4.4,2.4.4,https://github.com/jnicklas/capybara,MIT,No change,cf-neo4j,,
minitar,0.5.4,0.5.4,https://github.com/atoulme/minitar,Ruby License,No change,cf-neo4j,,
json_pure,1.7.0,1.8.1,https://rubygems.org/gems/json_pure/versions/1.7.0,N/A,Version Changed,cf-neo4j,https://flori.github.com/json,https://github.com/flori/json,Ruby License,,
httmultiparty,0.3.16,0.3.16,https://github.com/jwagener/httmultiparty,MIT,No change,cf-neo4j,,
rspec-core,3.3.2,3.1.7,https://rubygems.org/gems/rspec-core,MIT,Version Changed,cf-neo4j,,,,,
websocket-extensions,0.1.0,None,https://rubygems.org/gems/websocket-extensions/versions/0.1.0,MIT,New in 1.5,cf-neo4j,,
diffy,3.0.7,None,https://rubygems.org/gems/diffy,MIT,New in 1.5,cf-neo4j,,
ci_reporter,2.0.0,2.0.0,https://github.com/ci-reporter/ci_reporter,MIT,No change,cf-neo4j,,
cliver,0.3.2,0.3.2,https://github.com/yaauie/cliver,MIT,No change,cf-neo4j,,
diff-lcs,1.2.5,1.2.5,https://github.com/halostatue/diff-lcs,MIT,No change,cf-neo4j,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,cf-neo4j,,
websocket-extensions,0.1.2,None,https://rubygems.org/gems/websocket-extensions/versions/0.1.2,MIT,New in 1.5,cf-neo4j,,
diffy,3.0.7,None,https://rubygems.org/gems/diffy/versions/3.0.7,MIT,New in 1.5,cf-neo4j,,
websocket-driver,0.5.4,0.2.0,https://rubygems.org/gems/websocket-driver/versions/0.5.4,MIT,Version Changed,cf-neo4j,,,,,
multi_json,1.1.0,1.1,https://rubygems.org/gems/multi_json/versions/1.1.0,MIT,Version Changed,cf-neo4j,https://github.com/intridea/multi_json/blob/master/LICENSE.md,,,mark,
nokogiri,1.6.6.2,1.3,https://rubygems.org/gems/nokogiri,MIT,Version Changed,cf-neo4j,,,,,
mime-types,2.6.1,1.16,https://rubygems.org/gems/mime-types,MIT,Version Changed,cf-neo4j,,,,,
excon,0.25.3,0.25.3,https://github.com/excon/excon,MIT,No change,cf-neo4j,,
thor,0.19.1,0.19.1,https://github.com/erikhuda/thor,MIT,No change,cf-neo4j,,
faraday,0.9.1,0.7.4,https://rubygems.org/gems/faraday/versions/0.9.1,MIT,Version Changed,cf-neo4j,,,,,
multipart-post,1.2.0,1.2,https://rubygems.org/gems/multipart-post/versions/1.2.0,MIT,Version Changed,cf-neo4j,,,,mark,
faraday_middleware,0.9.1,0.9.1,https://github.com/lostisland/faraday_middleware,MIT,No change,cf-neo4j,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,cf-neo4j,,
aws-sdk,2.1.7,1.44.0,https://rubygems.org/gems/aws-sdk,Apache 2.0,Version Changed,cf-neo4j,,,,,
open4,1.3.4,1.3.4,https://github.com/ahoward/open4,Ruby License,No change,cf-neo4j,,
fog,1.14.0,1.14.0,https://github.com/fog/fog,MIT,No change,cf-neo4j,,
net-ssh,2.2.1,2.2.1,https://github.com/net-ssh/net-ssh,MIT,No change,cf-neo4j,,
thor,0.19.1,0.19.1,https://github.com/erikhuda/thor,MIT,No change,cf-neo4j,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,cf-neo4j,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,cf-neo4j,,
mime-types,2.6.1,1.16,https://rubygems.org/gems/mime-types,MIT,Version Changed,cf-neo4j,,,,,
net-scp,1.1.0,1.1.0,https://github.com/net-ssh/net-scp,MIT,No change,cf-neo4j,,
highline,1.6.21,1.6.21,https://github.com/JEG2/highline,GPL-2,No change,cf-neo4j,,
httmultiparty,0.3.16,0.3.16,https://github.com/jwagener/httmultiparty,MIT,No change,cf-neo4j,,
mimemagic,0.3.0,0.2.1,https://rubygems.org/gems/mimemagic,MIT,Version Changed,cf-neo4j,,,,,
httparty,0.13.5,0.13.1,https://rubygems.org/gems/httparty/versions/0.13.5,MIT,Version Changed,cf-neo4j,,,,,
multipart-post,2.0.0,2.0.0,https://github.com/nicksieger/multipart-post,MIT,No change,cf-neo4j,,
json,1.8.0,1.8,https://rubygems.org/gems/json/versions/1.8.0,Ruby,Version Changed,cf-neo4j,,,,mark,
multi_xml,0.5.2,0.5.2,https://github.com/sferik/multi_xml,MIT,No change,cf-neo4j,,
nokogiri,1.4.4,1.4.4,https://github.com/sparklemotion/nokogiri,MIT,No change,cf-neo4j,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,cf-neo4j,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,cf-neo4j,,
nokogiri,1.3.0,1.3,https://rubygems.org/gems/nokogiri/versions/1.3.0,N/A,Version Changed,cf-neo4j,https://github.com/sparklemotion/nokogiri,https://github.com/sparklemotion/nokogiri,MIT,mark,
json,1.8.2,1.8,https://rubygems.org/gems/json/versions/1.8.2,Ruby,Version Changed,cf-neo4j,,,,,
rubyzip,1.1.7,1.1.6,https://rubygems.org/gems/rubyzip/versions/1.1.7,BSD 2-Clause,Version Changed,cf-neo4j,,,,,
json_pure,1.8.2,1.8.1,https://rubygems.org/gems/json_pure/versions/1.8.2,Ruby,Version Changed,cf-neo4j,,,,,
xpath,2.0.0,2.0.0,https://github.com/jnicklas/xpath,MIT,No change,cf-neo4j,,
mime-types,2.4.3,2.4.3,https://github.com/halostatue/mime-types,MIT,No change,cf-neo4j,,
mimemagic,0.3.0,0.2.1,https://rubygems.org/gems/mimemagic/versions/0.3.0,MIT,Version Changed,cf-neo4j,,,,,
mini_portile,0.6.2,0.6.0,https://rubygems.org/gems/mini_portile/versions/0.6.2,MIT,Version Changed,cf-neo4j,,,,,
faraday,0.7.4,0.7.4,https://github.com/lostisland/faraday,MIT,No change,cf-neo4j,,
formatador,0.2.0,0.2.0,https://github.com/geemus/formatador,MIT,No change,cf-neo4j,,
excon,0.25.0,0.25.0,https://github.com/excon/excon,MIT,No change,cf-neo4j,,
json,1.4.0,1.8,https://rubygems.org/gems/json/versions/1.4.0,N/A,Version Changed,cf-neo4j,https://flori.github.com/json/,https://github.com/flori/json,Ruby License,,
multi_json,1.0.0,1.1,https://rubygems.org/gems/multi_json/versions/1.0.0,MIT,Version Changed,cf-neo4j,https://github.com/intridea/multi_json/blob/master/LICENSE.md,,,,
multi_xml,0.5.5,0.5.5,https://github.com/sferik/multi_xml,MIT,No change,cf-neo4j,,
net-scp,1.1.2,1.1.2,https://github.com/net-ssh/net-scp,MIT,No change,cf-neo4j,,
net-ssh,2.6.5,2.6.5,https://github.com/net-ssh/net-ssh,MIT,No change,cf-neo4j,,
multi_json,1.11.0,1.1,https://rubygems.org/gems/multi_json/versions/1.11.0,MIT,Version Changed,cf-neo4j,,,,,
multi_json,1.0.0,1.1,https://rubygems.org/gems/multi_json/versions/1.0.0,MIT,Version Changed,cf-neo4j,https://github.com/intridea/multi_json/blob/master/LICENSE.md,,,,
net-ssh,2.9.2,2.6.5,https://rubygems.org/gems/net-ssh/versions/2.9.2,MIT,Version Changed,cf-neo4j,,,,,
multipart-post,2.0.0,2.0.0,https://github.com/nicksieger/multipart-post,MIT,No change,cf-neo4j,,
net-ssh-gateway,1.2.0,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT,No change,cf-neo4j,,
net-ssh,2.6.5,2.6.5,https://github.com/net-ssh/net-ssh,MIT,No change,cf-neo4j,,
formatador,0.2.5,0.2.5,https://github.com/geemus/formatador,MIT,No change,cf-neo4j,,
net-ssh,2.1.3,2.1.3,https://github.com/net-ssh/net-ssh,MIT,No change,cf-neo4j,,
nokogiri,1.6.6.2,1.3,https://rubygems.org/gems/nokogiri/versions/1.6.6.2,MIT,Version Changed,cf-neo4j,,,,,
mini_portile,0.6.0,0.6.0,https://github.com/flavorjones/mini_portile,MIT,No change,cf-neo4j,,
