name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
i18n,0.6.4,None,https://rubygems.org/gems/i18n/versions/0.6.4,MIT,New in 1.5,cf-neo4j,,
atomic,1.1.14,None,https://rubygems.org/gems/atomic/versions/1.1.14,Apache-2.0,New in 1.5,cf-neo4j,,
activesupport,4.0.1,None,https://rubygems.org/gems/activesupport/versions/4.0.1,MIT,New in 1.5,cf-neo4j,,
activesupport,4.0.1,None,https://rubygems.org/gems/activesupport/versions/4.0.1,MIT,New in 1.5,cf-neo4j,,
aws-sdk,1.8.5,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.8.5,Apache 2.0,Version Changed,cf-neo4j,,,,,
aws-sdk,1.8.5,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.8.5,Apache 2.0,Version Changed,cf-neo4j,,,,,
activemodel,4.0.1,None,https://rubygems.org/gems/activemodel/versions/4.0.1,MIT,New in 1.5,cf-neo4j,,
bosh_common,1.5.0.pre.1657,None,https://rubygems.org/gems/bosh_common/versions/1.5.0.pre.1657,Apache 2.0,New in 1.5,cf-neo4j,,
fog,1.14.0,1.14.0,https://github.com/fog/fog,MIT,No change,cf-neo4j,,
blobstore_client,1.5.0.pre.1657,None,https://rubygems.org/gems/blobstore_client/versions/1.5.0.pre.1657,Apache 2.0,New in 1.5,cf-neo4j,,
yajl-ruby,1.1.0,None,https://rubygems.org/gems/yajl-ruby/versions/1.1.0,MIT,New in 1.5,cf-neo4j,https://github.com/brianmario/yajl-ruby/blob/master/LICENSE,
blue-shell,0.2.2,None,https://rubygems.org/gems/blue-shell/versions/0.2.2,MIT,New in 1.5,cf-neo4j,,
bosh-registry,1.5.0.pre.1525,None,https://rubygems.org/gems/bosh-registry/versions/1.5.0.pre.1525,Apache 2.0,New in 1.5,cf-neo4j,,
rspec,3.3.0,3.1.0,https://rubygems.org/gems/rspec,MIT,Version Changed,cf-neo4j,,,,,
aws-sdk,1.8.5,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.8.5,Apache 2.0,Version Changed,cf-neo4j,,,,,
fog,1.14.0,1.14.0,https://github.com/fog/fog,MIT,No change,cf-neo4j,,
uuidtools,2.1.4,None,https://rubygems.org/gems/uuidtools/versions/2.1.4,Apache,New in 1.5,cf-neo4j,https://github.com/sporkmonger/uuidtools/blob/master/LICENSE.txt,
