name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
blobstore_client,1.2858.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2858.0,Apache 2.0,New in 1.5,cf-redis,,
bosh_cli,1.2858.0,None,https://rubygems.org/gems/bosh_cli/versions/1.2858.0,Apache 2.0,New in 1.5,cf-redis,,
aws-sdk,1.60.2,1.60.2,https://github.com/aws/aws-sdk-core-ruby,APACHE 2.0,No change,cf-redis,,
bosh_common,1.2858.0,None,https://rubygems.org/gems/bosh_common/versions/1.2858.0,Apache 2.0,New in 1.5,cf-redis,,
bosh-template,1.2858.0,None,https://rubygems.org/gems/bosh-template/versions/1.2858.0,Apache 2.0,New in 1.5,cf-redis,,
bosh-template,1.2858.0,None,https://rubygems.org/gems/bosh-template/versions/1.2858.0,Apache 2.0,New in 1.5,cf-redis,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,cf-redis,,
aws-sdk-v1,1.60.2,None,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,New in 1.5,cf-redis,,
aws-sdk-v1,1.60.2,None,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,New in 1.5,cf-redis,,
fog,1.27.0,1.23.0,https://rubygems.org/gems/fog/versions/1.27.0,MIT,Version Changed,cf-redis,,,,,
blobstore_client,1.2858.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2858.0,Apache 2.0,New in 1.5,cf-redis,,
CFPropertyList,2.3.1,None,https://rubygems.org/gems/CFPropertyList/versions/2.3.1,MIT,New in 1.5,cf-redis,,
aws-sdk,1.60.2,1.60.2,https://github.com/aws/aws-sdk-core-ruby,APACHE 2.0,No change,cf-redis,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,cf-redis,,
bosh_common,1.2858.0,None,https://rubygems.org/gems/bosh_common/versions/1.2858.0,Apache 2.0,New in 1.5,cf-redis,,
ruby-atmos-pure,1.0.5,None,https://rubygems.org/gems/ruby-atmos-pure/versions/1.0.5,N/A,New in 1.5,cf-redis,Not Found Github Url,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,cf-redis,,
net-ssh-gateway,1.2.0,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT,No change,cf-redis,,
net-scp,1.1.0,1.1.0,https://github.com/net-ssh/net-scp,MIT,No change,cf-redis,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,cf-redis,,
capybara,2.4.4,2.4.4,https://github.com/jnicklas/capybara,MIT,No change,cf-redis,,
bosh_common,1.2858.0,None,https://rubygems.org/gems/bosh_common/versions/1.2858.0,Apache 2.0,New in 1.5,cf-redis,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,cf-redis,,
json,1.4.0,1.8.1,https://rubygems.org/gems/json/versions/1.4.0,N/A,Version Changed,cf-redis,https://flori.github.com/json/,https://github.com/flori/json,Ruby License,,
nokogiri,1.4.4,1.4.4,https://github.com/sparklemotion/nokogiri,MIT,No change,cf-redis,,
httmultiparty,0.3.16,0.3.16,https://github.com/jwagener/httmultiparty,MIT,No change,cf-redis,,
capybara,2.3.0,2.4.4,https://rubygems.org/gems/capybara/versions/2.3.0,MIT,Version Changed,cf-redis,,,,,
cf-uaa-lib,3.1.0,None,https://rubygems.org/gems/cf-uaa-lib/versions/3.1.0,Apache 2.0,New in 1.5,cf-redis,,
websocket-extensions,0.1.2,None,https://rubygems.org/gems/websocket-extensions/versions/0.1.2,MIT,New in 1.5,cf-redis,,
websocket-extensions,0.1.0,None,https://rubygems.org/gems/websocket-extensions/versions/0.1.0,MIT,New in 1.5,cf-redis,,
ci_reporter,2.0.0,2.0.0,https://github.com/ci-reporter/ci_reporter,MIT,No change,cf-redis,,
websocket-driver,0.6.0,0.4.0,https://rubygems.org/gems/websocket-driver/versions/0.6.0,MIT,Version Changed,cf-redis,,,,,
thor,0.19.1,0.19.1,https://github.com/erikhuda/thor,MIT,No change,cf-redis,,
capybara-webkit,1.6.0,1.3.1,https://rubygems.org/gems/capybara-webkit/versions/1.6.0,MIT,Version Changed,cf-redis,,,,,
multi_json,1.1.0,1.8.4,https://rubygems.org/gems/multi_json/versions/1.1.0,MIT,Version Changed,cf-redis,https://github.com/intridea/multi_json/blob/master/LICENSE.md,,,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,cf-redis,,
multi_json,1.11.2,1.8.4,https://rubygems.org/gems/multi_json,MIT,Version Changed,cf-redis,,,,,
json,1.8.3,1.8.1,https://rubygems.org/gems/json,Ruby,Version Changed,cf-redis,,,,,
coderay,1.1.0,1.1.0,https://github.com/rubychan/coderay,MIT,No change,cf-redis,,
cliver,0.3.2,0.3.2,https://github.com/yaauie/cliver,MIT,No change,cf-redis,,
excon,0.45.3,0.38,https://rubygems.org/gems/excon/versions/0.45.3,MIT,Version Changed,cf-redis,,,,,
faraday,0.9.1,0.9.0,https://rubygems.org/gems/faraday/versions/0.9.1,MIT,Version Changed,cf-redis,,,,,
rspec-core,3.3.2,3.1.0,https://rubygems.org/gems/rspec-core,MIT,Version Changed,cf-redis,,,,,
multipart-post,1.2.0,1.2,https://rubygems.org/gems/multipart-post/versions/1.2.0,MIT,Version Changed,cf-redis,,,,mark,
open4,1.3.4,1.3.4,https://github.com/ahoward/open4,Ruby License,No change,cf-redis,,
faraday_middleware,0.10.0,0.9.1,https://rubygems.org/gems/faraday_middleware/versions/0.10.0,MIT,Version Changed,cf-redis,,,,,
nokogiri,1.6.6.2,1.3,https://rubygems.org/gems/nokogiri,MIT,Version Changed,cf-redis,,,,,
