Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
cf-installation,simplecov,0.7.1,https://github.com/colszowka/simplecov,MIT
cf-installation,rspec-mocks,3.1.3,https://github.com/rspec/rspec-mocks,MIT
cf-installation,trollop,2,https://rubygems.org/gems/trollop,MIT
cf-installation,terminal-table,1.4.5,https://github.com/tj/terminal-table,MIT
cf-installation,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-installation,debugger-linecache,1.2,https://github.com/cldwalker/debugger-linecache,MIT
cf-installation,json,1.8.1,https://github.com/flori/json,Ruby License
cf-installation,safe_yaml,1.0.0,https://github.com/dtao/safe_yaml,MIT
cf-installation,nokogiri,1.4.1,https://github.com/sparklemotion/nokogiri,MIT
cf-installation,railties,3.2,https://github.com/rails/rails/tree/master/railties,MIT
cf-installation,fssm,0.2.10,https://github.com/ttilley/fssm,MIT
cf-installation,mime-types,1.25.1,https://github.com/halostatue/mime-types,MIT
cf-installation,ruby-hmac,0.4.0,https://rubygems.org/downloads/ruby-hmac-0.4.0.gem,MIT
cf-installation,nokogiri,1.6.5,https://github.com/sparklemotion/nokogiri,MIT
cf-installation,haml,4.0.4,https://github.com/haml/haml,MIT
cf-installation,nokogiri,1.4.1,https://github.com/sparklemotion/nokogiri,MIT
cf-installation,codeclimate-test-reporter,0.4.3,https://rubygems.org/gems/codeclimate-test-reporter,MIT
cf-installation,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
cf-installation,nokogiri,1.5.11,https://github.com/sparklemotion/nokogiri,MIT
cf-installation,factory_girl,4.5.0,https://github.com/thoughtbot/factory_girl,MIT
cf-installation,hike,1.2.3,https://github.com/sstephenson/hike,MIT
cf-installation,json,1.7.7,https://github.com/flori/json,Ruby License
cf-installation,diff-lcs,1.2.0,https://github.com/halostatue/diff-lcs,MIT
cf-installation,slop,3.4,https://github.com/leejarvis/slop,MIT
cf-installation,phantomjs,1.9.7.1,https://github.com/colszowka/phantomjs-gem,MIT
cf-installation,activesupport,3.0.2,https://github.com/rails/rails/tree/master/activesupport,MIT
cf-installation,nokogiri,1.5.11,https://github.com/sparklemotion/nokogiri,MIT
cf-installation,railties,3.2,https://github.com/rails/rails/tree/master/railties,MIT
cf-installation,thread_safe,0.3.4,https://github.com/headius/thread_safe,APACHE-2.0
cf-installation,railties,3.0.0,https://github.com/rails/rails/tree/master/railties,MIT
cf-installation,sass,3.2.2,https://github.com/sass/sass,MIT
cf-installation,formatador,0.2,https://github.com/geemus/formatador,MIT
cf-installation,json,1.4,https://github.com/flori/json,Ruby License
cf-installation,rdoc,4.2.0,https://github.com/rdoc/rdoc,Ruby License
cf-installation,net-ssh-gateway,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT
cf-installation,sinatra,1.4.5,https://github.com/sinatra/sinatra,MIT
cf-installation,json,1.8.1,https://github.com/flori/json,Ruby License
cf-installation,activesupport,4.1.8,https://github.com/rails/rails/tree/master/activesupport,MIT
cf-installation,tilt,1.3.4,https://github.com/rtomayko/tilt,MIT
cf-installation,logging,1.8.2,https://github.com/TwP/logging,MIT
cf-installation,rake,0.8.7,https://github.com/ruby/rake,MIT
cf-installation,coffee-script,2.2.0,https://github.com/josh/ruby-coffee-script,MIT
cf-installation,sprockets-rails,2.2.2,https://github.com/rails/sprockets-rails,MIT
cf-installation,rack,1.4,https://github.com/rack/rack,MIT
cf-installation,activesupport,3,https://github.com/rails/rails/tree/master/activesupport,MIT
cf-installation,compass,0.12.2,https://github.com/Compass/compass,MIT
cf-installation,nokogiri,1.5.11,https://github.com/sparklemotion/nokogiri,MIT
cf-installation,rspec-support,3.1.2,https://github.com/rspec/rspec-support,MIT
cf-installation,tilt,1.4.1,https://github.com/rtomayko/tilt,MIT
cf-installation,nokogiri,1.3,https://github.com/sparklemotion/nokogiri,MIT
cf-installation,nokogiri,1.5.6,https://github.com/sparklemotion/nokogiri,MIT
cf-installation,fssm,0.2.7,https://github.com/ttilley/fssm,MIT
