name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
CFPropertyList,2.3.1,None,https://rubygems.org/gems/CFPropertyList/versions/2.3.1,MIT,New in 1.5,installation,,
aws-sdk,1.60.2,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,installation,,,,,
aws-sdk-v1,1.60.2,1.59.1,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,Version Changed,installation,,,,,
bosh-template,1.3008.0,None,https://rubygems.org/gems/bosh-template/versions/1.3008.0,Apache 2.0,New in 1.5,installation,,
aws-sdk,1.60.2,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,installation,,,,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,installation,,
bosh-template,1.3008.0,None,https://rubygems.org/gems/bosh-template/versions/1.3008.0,Apache 2.0,New in 1.5,installation,,
fog-aws,0.1.1,None,https://rubygems.org/gems/fog-aws/versions/0.1.1,MIT,New in 1.5,installation,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,installation,,
blobstore_client,1.3008.0,None,https://rubygems.org/gems/blobstore_client/versions/1.3008.0,Apache 2.0,New in 1.5,installation,,
bosh_cli,1.3008.0,None,https://rubygems.org/gems/bosh_cli/versions/1.3008.0,Apache 2.0,New in 1.5,installation,,
bosh_common,1.3008.0,None,https://rubygems.org/gems/bosh_common/versions/1.3008.0,Apache 2.0,New in 1.5,installation,,
fog,1.27.0,1.23.0,https://rubygems.org/gems/fog/versions/1.27.0,MIT,Version Changed,installation,,,,,
blobstore_client,1.3008.0,None,https://rubygems.org/gems/blobstore_client/versions/1.3008.0,Apache 2.0,New in 1.5,installation,,
aws-sdk-v1,1.60.2,1.59.1,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,Version Changed,installation,,,,,
bosh_common,1.3008.0,None,https://rubygems.org/gems/bosh_common/versions/1.3008.0,Apache 2.0,New in 1.5,installation,,
ipaddress,0.8.0,0.8.0,https://github.com/bluemonk/ipaddress,MIT,No change,installation,,
cf-uaa-lib,3.2.1,None,https://rubygems.org/gems/cf-uaa-lib/versions/3.2.1,Apache 2.0,New in 1.5,installation,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,installation,,
net-scp,1.1.0,1.1.0,https://github.com/net-ssh/net-scp,MIT,No change,installation,,
net-ssh-gateway,1.2.0,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT,No change,installation,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,installation,,
bosh_common,1.3008.0,None,https://rubygems.org/gems/bosh_common/versions/1.3008.0,Apache 2.0,New in 1.5,installation,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,installation,,
cf-uaa-lib,3.2.2,None,https://rubygems.org/gems/cf-uaa-lib/versions/3.2.2,Apache 2.0,New in 1.5,installation,,
inflecto,0.0.2,0.0.2,https://github.com/mbj/inflecto,MIT,No change,installation,,
multi_json,1.11.2,1.8.4,https://rubygems.org/gems/multi_json,MIT,Version Changed,installation,,,,,
