name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
astrolabe,1.3.1,1.3,https://rubygems.org/gems/astrolabe/versions/1.3.1,MIT,Version Changed,installation,,,,,
aws-sdk-v1,1.64.0,1.59.1,https://rubygems.org/gems/aws-sdk-v1/versions/1.64.0,Apache 2.0,Version Changed,installation,,,,,
chef-config,12.4.1,None,https://rubygems.org/gems/chef-config/versions/12.4.1,Apache-2.0,New in 1.5,installation,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,installation,,
ffi-yajl,2.2.0,None,https://rubygems.org/gems/ffi-yajl/versions/2.2.0,Apache-2.0,New in 1.5,installation,,
parser,2.2.0,2.2.0.pre.7,https://rubygems.org/gems/parser/versions/2.2.0,MIT,Version Changed,installation,,,,,
ast,2.0.0,2.0.0,https://github.com/whitequark/ast,MIT,No change,installation,,
chef,12.4.1,None,https://rubygems.org/gems/chef/versions/12.4.1,Apache-2.0,New in 1.5,installation,,
chef-zero,4.2.2,None,https://rubygems.org/gems/chef-zero/versions/4.2.2,Apache 2.0,New in 1.5,installation,,
plist,3.1.0,None,https://rubygems.org/gems/plist/versions/3.1.0,MIT,New in 1.5,installation,https://github.com/bleything/plist/blob/master/LICENSE,
slop,3.4.0,3.4,https://rubygems.org/gems/slop/versions/3.4.0,MIT,Version Changed,installation,https://github.com/leejarvis/slop/blob/master/LICENSE,,,mark,
ipaddress,0.8.0,0.8.0,https://github.com/bluemonk/ipaddress,MIT,No change,installation,,
ruby-progressbar,1.4.0,1.4,https://rubygems.org/gems/ruby-progressbar/versions/1.4.0,MIT,Version Changed,installation,https://github.com/jfelchner/ruby-progressbar/blob/master/LICENSE,,,mark,
uuidtools,2.1.5,2.1.5,https://github.com/sporkmonger/uuidtools,Apache License2.0,No change,installation,,
plist,3.1.0,None,https://rubygems.org/gems/plist/versions/3.1.0,MIT,New in 1.5,installation,https://github.com/bleything/plist/blob/master/LICENSE,
rspec-expectations,3.2.0,3.1.0,https://rubygems.org/gems/rspec-expectations/versions/3.2.0,MIT,Version Changed,installation,,,,,
rspec-mocks,3.2.0,3.1.3,https://rubygems.org/gems/rspec-mocks/versions/3.2.0,MIT,Version Changed,installation,,,,,
rspec_junit_formatter,0.2.0,None,https://rubygems.org/gems/rspec_junit_formatter/versions/0.2.0,MIT,New in 1.5,installation,,
rspec-core,3.2.0,3.1.7,https://rubygems.org/gems/rspec-core/versions/3.2.0,MIT,Version Changed,installation,,,,,
serverspec,2.7.0,None,https://rubygems.org/gems/serverspec/versions/2.7.0,MIT,New in 1.5,installation,,
specinfra,2.10.0,None,https://rubygems.org/gems/specinfra/versions/2.10.0,MIT,New in 1.5,installation,,
net-ssh-multi,1.2.1,None,https://rubygems.org/gems/net-ssh-multi,MIT,New in 1.5,installation,,
chef-config,12.4.1,None,https://rubygems.org/gems/chef-config/versions/12.4.1,Apache-2.0,New in 1.5,installation,,
ffi-yajl,1.1.0,None,https://rubygems.org/gems/ffi-yajl/versions/1.1.0,Apache-2.0,New in 1.5,installation,,
chef-zero,4.2.3,None,https://rubygems.org/gems/chef-zero/versions/4.2.3,Apache 2.0,New in 1.5,installation,,
hashie,2.0.0,None,https://rubygems.org/gems/hashie/versions/2.0.0,MIT,New in 1.5,installation,,
rack,1.6.4,1.4,https://rubygems.org/gems/rack,MIT,Version Changed,installation,,,,,
coderay,1.1.0,1.1.0,https://github.com/rubychan/coderay,MIT,No change,installation,,
diff-lcs,1.2.5,1.2.5,https://github.com/halostatue/diff-lcs,MIT,No change,installation,,
ipaddress,0.8.0,0.8.0,https://github.com/bluemonk/ipaddress,MIT,No change,installation,,
