name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
aws-sdk-v1,1.60.2,1.59.1,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,Version Changed,installation,,,,,
aws-sdk,1.60.2,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,installation,,,,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,installation,,
fog-aws,0.1.1,None,https://rubygems.org/gems/fog-aws/versions/0.1.1,MIT,New in 1.5,installation,,
CFPropertyList,2.3.1,None,https://rubygems.org/gems/CFPropertyList/versions/2.3.1,MIT,New in 1.5,installation,,
agent_client,1.3012.0,None,https://rubygems.org/gems/agent_client/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,installation,,
aws-sdk-v1,1.60.2,1.59.1,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,Version Changed,installation,,,,,
fog,1.27.0,1.23.0,https://rubygems.org/gems/fog/versions/1.27.0,MIT,Version Changed,installation,,,,,
blobstore_client,1.3012.0,None,https://rubygems.org/gems/blobstore_client/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
aws-sdk,1.60.2,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,installation,,,,,
bosh_common,1.3012.0,None,https://rubygems.org/gems/bosh_common/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
bosh-core,1.3012.0,None,https://rubygems.org/gems/bosh-core/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
eventmachine,0.12.6,1.0.3,https://rubygems.org/gems/eventmachine/versions/0.12.6,RUBY,Version Changed,installation,https://github.com/eventmachine/eventmachine/blob/master/LICENSE,,,,
bosh-template,1.3012.0,None,https://rubygems.org/gems/bosh-template/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
bosh_cpi,1.3012.0,None,https://rubygems.org/gems/bosh_cpi/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
fog,1.27.0,1.23.0,https://rubygems.org/gems/fog/versions/1.27.0,MIT,Version Changed,installation,,,,,
bosh_common,1.3012.0,None,https://rubygems.org/gems/bosh_common/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
bosh-director-core,1.3012.0,None,https://rubygems.org/gems/bosh-director-core/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
bosh-registry,1.3012.0,None,https://rubygems.org/gems/bosh-registry/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
aws-sdk,1.60.2,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,installation,,,,,
fog-aws,0.1.1,None,https://rubygems.org/gems/fog-aws/versions/0.1.1,MIT,New in 1.5,installation,,
bosh-stemcell,1.3012.0,None,https://rubygems.org/gems/bosh-stemcell/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
daemons,1.0.9,1.0.9,https://github.com/thuehlinger/daemons,MIT,No change,installation,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,installation,,
rack,1.4.0,1.4,https://rubygems.org/gems/rack/versions/1.4.0,MIT,Version Changed,installation,https://github.com/rack/rack/blob/master/COPYING,,,mark,
bosh-core,1.3012.0,None,https://rubygems.org/gems/bosh-core/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,installation,,
bosh-template,1.3012.0,None,https://rubygems.org/gems/bosh-template/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
bosh_aws_cpi,1.3012.0,None,https://rubygems.org/gems/bosh_aws_cpi/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
bosh_aws_cpi,1.3012.0,None,https://rubygems.org/gems/bosh_aws_cpi/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
aws-sdk,1.60.2,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,installation,,,,,
bosh_common,1.3012.0,None,https://rubygems.org/gems/bosh_common/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
bosh-registry,1.3012.0,None,https://rubygems.org/gems/bosh-registry/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,installation,,
bosh_cpi,1.3012.0,None,https://rubygems.org/gems/bosh_cpi/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
fission,0.5.0,None,https://rubygems.org/gems/fission/versions/0.5.0,MIT,New in 1.5,installation,https://github.com/thbishop/fission/blob/master/LICENSE,
bosh_cli,1.3012.0,None,https://rubygems.org/gems/bosh_cli/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
blobstore_client,1.3012.0,None,https://rubygems.org/gems/blobstore_client/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
bosh-template,1.3012.0,None,https://rubygems.org/gems/bosh-template/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
cf-uaa-lib,3.2.1,None,https://rubygems.org/gems/cf-uaa-lib/versions/3.2.1,Apache 2.0,New in 1.5,installation,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,installation,,
bosh_common,1.3012.0,None,https://rubygems.org/gems/bosh_common/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
net-ssh-gateway,1.2.0,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT,No change,installation,,
net-scp,1.1.0,1.1.0,https://github.com/net-ssh/net-scp,MIT,No change,installation,,
gibberish,1.4.0,None,https://rubygems.org/gems/gibberish/versions/1.4.0,MIT,New in 1.5,installation,https://github.com/mdp/gibberish/blob/master/LICENSE,
yajl-ruby,1.2.0,None,https://rubygems.org/gems/yajl-ruby/versions/1.2.0,MIT,New in 1.5,installation,https://github.com/brianmario/yajl-ruby/blob/master/LICENSE,
yajl-ruby,1.2.0,None,https://rubygems.org/gems/yajl-ruby/versions/1.2.0,MIT,New in 1.5,installation,https://github.com/brianmario/yajl-ruby/blob/master/LICENSE,
multi_json,1.1.0,1.8.4,https://rubygems.org/gems/multi_json/versions/1.1.0,MIT,Version Changed,installation,https://github.com/intridea/multi_json/blob/master/LICENSE.md,,,,
bosh_cli_plugin_micro,1.3012.0,None,https://rubygems.org/gems/bosh_cli_plugin_micro/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
tilt,2.0.1,2.0.1,https://github.com/rtomayko/tilt,MIT,No change,installation,,
agent_client,1.3012.0,None,https://rubygems.org/gems/agent_client/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
blobstore_client,1.3012.0,None,https://rubygems.org/gems/blobstore_client/versions/1.3012.0,Apache 2.0,New in 1.5,installation,,
