Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
p-mysql,aws-sdk,1.59.1,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
p-mysql,json,1.4,https://github.com/flori/json,RUBY
p-mysql,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
p-mysql,filesize,0.0.3,https://github.com/dominikh/filesize,MIT
p-mysql,json,1.8.1,https://github.com/flori/json,RUBY
p-mysql,mini_portile,0.6.1,https://github.com/flavorjones/mini_portile,MIT
p-mysql,nokogiri,1.6.5,https://github.com/sparklemotion/nokogiri,MIT
p-mysql,mini_portile,0.6.0,https://github.com/flavorjones/mini_portile,MIT
p-mysql,open4,1.3.4,https://github.com/ahoward/open4,Ruby License
p-mysql,thor,0.19.1,https://github.com/erikhuda/thor,MIT
