name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
addressable,2.3.7,None,https://rubygems.org/gems/addressable/versions/2.3.7,Apache License 2.0,New in 1.5,p-mysql,,
json,1.7.7,1.4,https://rubygems.org/gems/json/versions/1.7.7,Ruby,Version Changed,p-mysql,,,,,
activesupport,4.1.10,None,https://rubygems.org/gems/activesupport/versions/4.1.10,MIT,New in 1.5,p-mysql,,
aws-sdk,1.60.2,1.59.1,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,p-mysql,,,,,
aws-sdk,1.60.2,1.59.1,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,p-mysql,,,,,
minitest,5.1.0,None,https://rubygems.org/gems/minitest/versions/5.1.0,MIT,New in 1.5,p-mysql,,
httpclient,2.4.0,None,https://rubygems.org/gems/httpclient/versions/2.4.0,ruby,New in 1.5,p-mysql,,
i18n,0.6.9,None,https://rubygems.org/gems/i18n/versions/0.6.9,MIT,New in 1.5,p-mysql,,
aws-sdk-v1,1.60.2,None,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,New in 1.5,p-mysql,,
bosh_common,1.2818.0,None,https://rubygems.org/gems/bosh_common/versions/1.2818.0,Apache 2.0,New in 1.5,p-mysql,,
tzinfo,1.1.0,None,https://rubygems.org/gems/tzinfo/versions/1.1.0,MIT,New in 1.5,p-mysql,,
bosh-template,1.2818.0,None,https://rubygems.org/gems/bosh-template/versions/1.2818.0,Apache 2.0,New in 1.5,p-mysql,,
aws-sdk-v1,1.60.2,None,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,New in 1.5,p-mysql,,
fog,1.23.0,None,https://rubygems.org/gems/fog/versions/1.23.0,MIT,New in 1.5,p-mysql,,
blobstore_client,1.2818.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2818.0,Apache 2.0,New in 1.5,p-mysql,,
thread_safe,0.1.0,None,https://rubygems.org/gems/thread_safe/versions/0.1.0,Apache,New in 1.5,p-mysql,https://github.com/ruby-concurrency/thread_safe/blob/master/LICENSE,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,p-mysql,,
bosh_cli,1.2818.0,None,https://rubygems.org/gems/bosh_cli/versions/1.2818.0,Apache 2.0,New in 1.5,p-mysql,,
blobstore_client,1.2818.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2818.0,Apache 2.0,New in 1.5,p-mysql,,
bosh-template,1.2818.0,None,https://rubygems.org/gems/bosh-template/versions/1.2818.0,Apache 2.0,New in 1.5,p-mysql,,
bosh_common,1.2818.0,None,https://rubygems.org/gems/bosh_common/versions/1.2818.0,Apache 2.0,New in 1.5,p-mysql,,
net-ssh-gateway,1.2.0,None,https://rubygems.org/gems/net-ssh-gateway/versions/1.2.0,MIT,New in 1.5,p-mysql,,
