name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
bosh_common,1.2818.0,None,https://rubygems.org/gems/bosh_common/versions/1.2818.0,Apache 2.0,New in 1.5,p-riak-cs,,
json,1.7.7,None,https://rubygems.org/gems/json/versions/1.7.7,Ruby,New in 1.5,p-riak-cs,,
minitest,5.1.0,None,https://rubygems.org/gems/minitest/versions/5.1.0,MIT,New in 1.5,p-riak-cs,,
addressable,2.3.7,None,https://rubygems.org/gems/addressable/versions/2.3.7,Apache License 2.0,New in 1.5,p-riak-cs,,
i18n,0.6.9,None,https://rubygems.org/gems/i18n/versions/0.6.9,MIT,New in 1.5,p-riak-cs,,
tzinfo,1.1.0,None,https://rubygems.org/gems/tzinfo/versions/1.1.0,MIT,New in 1.5,p-riak-cs,,
activesupport,4.1.10,None,https://rubygems.org/gems/activesupport/versions/4.1.10,MIT,New in 1.5,p-riak-cs,,
blobstore_client,1.2818.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2818.0,Apache 2.0,New in 1.5,p-riak-cs,,
aws-sdk,1.60.2,None,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,New in 1.5,p-riak-cs,,
httpclient,2.4.0,None,https://rubygems.org/gems/httpclient/versions/2.4.0,ruby,New in 1.5,p-riak-cs,,
aws-sdk-v1,1.60.2,None,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,New in 1.5,p-riak-cs,,
bosh-template,1.2818.0,None,https://rubygems.org/gems/bosh-template/versions/1.2818.0,Apache 2.0,New in 1.5,p-riak-cs,,
aws-sdk,1.60.2,None,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,New in 1.5,p-riak-cs,,
aws-sdk-v1,1.60.2,None,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,New in 1.5,p-riak-cs,,
fog,1.23.0,None,https://rubygems.org/gems/fog/versions/1.23.0,MIT,New in 1.5,p-riak-cs,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,p-riak-cs,,
bosh-template,1.2818.0,None,https://rubygems.org/gems/bosh-template/versions/1.2818.0,Apache 2.0,New in 1.5,p-riak-cs,,
crack,0.3.2,None,https://rubygems.org/gems/crack/versions/0.3.2,MIT,New in 1.5,p-riak-cs,https://github.com/jnunemaker/crack/blob/master/LICENSE,
bosh_common,1.2818.0,None,https://rubygems.org/gems/bosh_common/versions/1.2818.0,Apache 2.0,New in 1.5,p-riak-cs,,
httpclient,2.4.0,None,https://rubygems.org/gems/httpclient/versions/2.4.0,ruby,New in 1.5,p-riak-cs,,
bosh_cli,1.2818.0,None,https://rubygems.org/gems/bosh_cli/versions/1.2818.0,Apache 2.0,New in 1.5,p-riak-cs,,
blobstore_client,1.2818.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2818.0,Apache 2.0,New in 1.5,p-riak-cs,,
thread_safe,0.1.0,None,https://rubygems.org/gems/thread_safe/versions/0.1.0,Apache,New in 1.5,p-riak-cs,https://github.com/ruby-concurrency/thread_safe/blob/master/LICENSE,
net-scp,1.1.0,None,https://rubygems.org/gems/net-scp/versions/1.1.0,MIT,New in 1.5,p-riak-cs,,
net-ssh-gateway,1.2.0,None,https://rubygems.org/gems/net-ssh-gateway/versions/1.2.0,MIT,New in 1.5,p-riak-cs,,
bosh_common,1.2818.0,None,https://rubygems.org/gems/bosh_common/versions/1.2818.0,Apache 2.0,New in 1.5,p-riak-cs,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,p-riak-cs,,
builder,3.2.2,None,https://rubygems.org/gems/builder/versions/3.2.2,MIT,New in 1.5,p-riak-cs,,
byebug,4.0.3,None,https://rubygems.org/gems/byebug/versions/4.0.3,BSD,New in 1.5,p-riak-cs,,
rack,1.4.0,None,https://rubygems.org/gems/rack/versions/1.4.0,MIT,New in 1.5,p-riak-cs,https://github.com/rack/rack/blob/master/COPYING,
columnize,0.9.0,None,https://rubygems.org/gems/columnize/versions/0.9.0,Ruby,New in 1.5,p-riak-cs,,
columnize,0.9.0,None,https://rubygems.org/gems/columnize/versions/0.9.0,Ruby,New in 1.5,p-riak-cs,,
webmock,1.20.4,None,https://rubygems.org/gems/webmock/versions/1.20.4,MIT,New in 1.5,p-riak-cs,,
crack,0.4.2,None,https://rubygems.org/gems/crack/versions/0.4.2,MIT,New in 1.5,p-riak-cs,,
safe_yaml,1.0.0,None,https://rubygems.org/gems/safe_yaml/versions/1.0.0,MIT,New in 1.5,p-riak-cs,,
diff-lcs,1.2.5,None,https://rubygems.org/gems/diff-lcs/versions/1.2.5,MIT,New in 1.5,p-riak-cs,,
tilt,2.0.1,None,https://rubygems.org/gems/tilt,MIT,New in 1.5,p-riak-cs,,
rbvmomi,1.6.0,None,https://rubygems.org/gems/rbvmomi/versions/1.6.0,MIT,New in 1.5,p-riak-cs,https://github.com/vmware/rbvmomi/blob/master/LICENSE,
multi_json,1.1.0,None,https://rubygems.org/gems/multi_json/versions/1.1.0,MIT,New in 1.5,p-riak-cs,https://github.com/intridea/multi_json/blob/master/LICENSE.md,
excon,0.44.4,None,https://rubygems.org/gems/excon/versions/0.44.4,MIT,New in 1.5,p-riak-cs,,
fog-brightbox,0.8.0,None,https://rubygems.org/gems/fog-brightbox,MIT,New in 1.5,p-riak-cs,,
fog-core,1.23.0,None,https://rubygems.org/gems/fog-core/versions/1.23.0,MIT,New in 1.5,p-riak-cs,,
addressable,2.3.6,None,https://rubygems.org/gems/addressable/versions/2.3.6,Apache License 2.0,New in 1.5,p-riak-cs,,
fog-softlayer,0.4.7,None,https://rubygems.org/gems/fog-softlayer,MIT,New in 1.5,p-riak-cs,,
nokogiri,1.5.11,None,https://rubygems.org/gems/nokogiri/versions/1.5.11,MIT,New in 1.5,p-riak-cs,,
thread_safe,0.1.0,None,https://rubygems.org/gems/thread_safe/versions/0.1.0,Apache,New in 1.5,p-riak-cs,https://github.com/ruby-concurrency/thread_safe/blob/master/LICENSE,
fog-brightbox,0.7.1,None,https://rubygems.org/gems/fog-brightbox/versions/0.7.1,MIT,New in 1.5,p-riak-cs,,
fog-core,1.22.0,None,https://rubygems.org/gems/fog-core/versions/1.22.0,MIT,New in 1.5,p-riak-cs,,
fog-json,1.0.2,None,https://rubygems.org/gems/fog-json,MIT,New in 1.5,p-riak-cs,,
fog,1.23.0,None,https://rubygems.org/gems/fog/versions/1.23.0,MIT,New in 1.5,p-riak-cs,,
fog-json,1.0.2,None,https://rubygems.org/gems/fog-json,MIT,New in 1.5,p-riak-cs,,
tzinfo,1.2.2,None,https://rubygems.org/gems/tzinfo/versions/1.2.2,MIT,New in 1.5,p-riak-cs,,
builder,3.2.2,None,https://rubygems.org/gems/builder,MIT,New in 1.5,p-riak-cs,,
fog-core,1.29.0,None,https://rubygems.org/gems/fog-core/versions/1.29.0,MIT,New in 1.5,p-riak-cs,,
mime-types,2.6.1,None,https://rubygems.org/gems/mime-types,MIT,New in 1.5,p-riak-cs,,
net-scp,1.1.0,None,https://rubygems.org/gems/net-scp/versions/1.1.0,MIT,New in 1.5,p-riak-cs,,
excon,0.38.0,None,https://rubygems.org/gems/excon/versions/0.38.0,MIT,New in 1.5,p-riak-cs,,
fog-json,1.0.0,None,https://rubygems.org/gems/fog-json/versions/1.0.0,MIT,New in 1.5,p-riak-cs,,
fog-softlayer,0.4.1,None,https://rubygems.org/gems/fog-softlayer/versions/0.4.1,MIT,New in 1.5,p-riak-cs,,
fog-json,1.0.2,None,https://rubygems.org/gems/fog-json,MIT,New in 1.5,p-riak-cs,,
fog-core,1.32.0,None,https://rubygems.org/gems/fog-core,MIT,New in 1.5,p-riak-cs,,
net-ssh,2.2.1,None,https://rubygems.org/gems/net-ssh/versions/2.2.1,MIT,New in 1.5,p-riak-cs,https://github.com/net-ssh/net-ssh/blob/master/LICENSE.txt,
ipaddress,0.8.0,None,https://rubygems.org/gems/ipaddress/versions/0.8.0,MIT,New in 1.5,p-riak-cs,https://github.com/bluemonk/ipaddress/blob/master/LICENSE.txt,
highline,1.6.21,None,https://rubygems.org/gems/highline/versions/1.6.21,Ruby,New in 1.5,p-riak-cs,,
i18n,0.7.0,None,https://rubygems.org/gems/i18n/versions/0.7.0,MIT,New in 1.5,p-riak-cs,,
httpclient,2.4.0,None,https://rubygems.org/gems/httpclient/versions/2.4.0,ruby,New in 1.5,p-riak-cs,,
json,1.8.2,None,https://rubygems.org/gems/json/versions/1.8.2,Ruby,New in 1.5,p-riak-cs,,
json_pure,1.8.2,None,https://rubygems.org/gems/json_pure/versions/1.8.2,Ruby,New in 1.5,p-riak-cs,,
multi_json,1.8.4,None,https://rubygems.org/gems/multi_json/versions/1.8.4,MIT,New in 1.5,p-riak-cs,,
filesize,0.0.4,None,https://rubygems.org/gems/filesize/versions/0.0.4,MIT,New in 1.5,p-riak-cs,https://github.com/dominikh/filesize/blob/master/LICENSE,
mime-types,2.4.3,None,https://rubygems.org/gems/mime-types/versions/2.4.3,MIT,New in 1.5,p-riak-cs,,
mini_portile,0.6.2,None,https://rubygems.org/gems/mini_portile/versions/0.6.2,MIT,New in 1.5,p-riak-cs,,
trollop,2.1.2,None,https://rubygems.org/gems/trollop/versions/2.1.2,MIT,New in 1.5,p-riak-cs,,
tilt,2.0.1,None,https://rubygems.org/gems/tilt/versions/2.0.1,MIT,New in 1.5,p-riak-cs,,
minitest,5.5.1,None,https://rubygems.org/gems/minitest/versions/5.5.1,MIT,New in 1.5,p-riak-cs,,
multi_json,1.11.0,None,https://rubygems.org/gems/multi_json/versions/1.11.0,MIT,New in 1.5,p-riak-cs,,
ipaddress,0.5.0,None,https://rubygems.org/gems/ipaddress/versions/0.5.0,MIT,New in 1.5,p-riak-cs,https://github.com/bluemonk/ipaddress/blob/master/LICENSE.txt,
thread_safe,0.3.5,None,https://rubygems.org/gems/thread_safe/versions/0.3.5,Apache-2.0,New in 1.5,p-riak-cs,,
multipart-post,2.0.0,None,https://rubygems.org/gems/multipart-post/versions/2.0.0,MIT,New in 1.5,p-riak-cs,,
thor,0.19.1,None,https://rubygems.org/gems/thor/versions/0.19.1,MIT,New in 1.5,p-riak-cs,,
net-scp,1.1.2,None,https://rubygems.org/gems/net-scp/versions/1.1.2,MIT,New in 1.5,p-riak-cs,,
sinatra,1.4.6,None,https://rubygems.org/gems/sinatra/versions/1.4.6,MIT,New in 1.5,p-riak-cs,,
net-ssh,2.6.5,None,https://rubygems.org/gems/net-ssh/versions/2.6.5,MIT,New in 1.5,p-riak-cs,,
net-ssh,2.9.2,None,https://rubygems.org/gems/net-ssh/versions/2.9.2,MIT,New in 1.5,p-riak-cs,,
net-ssh-gateway,1.2.0,None,https://rubygems.org/gems/net-ssh-gateway/versions/1.2.0,MIT,New in 1.5,p-riak-cs,,
net-ssh,2.6.5,None,https://rubygems.org/gems/net-ssh/versions/2.6.5,MIT,New in 1.5,p-riak-cs,,
inflecto,0.0.2,None,https://rubygems.org/gems/inflecto/versions/0.0.2,MIT,New in 1.5,p-riak-cs,https://github.com/mbj/inflecto/blob/master/LICENSE,
safe_yaml,1.0.4,None,https://rubygems.org/gems/safe_yaml/versions/1.0.4,MIT,New in 1.5,p-riak-cs,,
nokogiri,1.6.6.2,None,https://rubygems.org/gems/nokogiri/versions/1.6.6.2,MIT,New in 1.5,p-riak-cs,,
multi_json,1.0.0,None,https://rubygems.org/gems/multi_json/versions/1.0.0,MIT,New in 1.5,p-riak-cs,https://github.com/intridea/multi_json/blob/master/LICENSE.md,
mini_portile,0.6.0,None,https://rubygems.org/gems/mini_portile/versions/0.6.0,MIT,New in 1.5,p-riak-cs,,
formatador,0.2.0,None,https://rubygems.org/gems/formatador/versions/0.2.0,MIT,New in 1.5,p-riak-cs,https://github.com/geemus/formatador/blob/master/LICENSE.md,
rack,1.6.0,None,https://rubygems.org/gems/rack/versions/1.6.0,MIT,New in 1.5,p-riak-cs,,
open4,1.3.4,None,https://rubygems.org/gems/open4/versions/1.3.4,Ruby,New in 1.5,p-riak-cs,,
net-ssh,2.1.3,None,https://rubygems.org/gems/net-ssh/versions/2.1.3,MIT,New in 1.5,p-riak-cs,https://github.com/net-ssh/net-ssh/blob/master/LICENSE.txt,
