Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
pivotal-ui-release(ruby),aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
pivotal-ui-release(ruby),json,1.4,https://github.com/flori/json,RUBY
pivotal-ui-release(ruby),nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
pivotal-ui-release(ruby),aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
pivotal-ui-release(ruby),fog,1.23.0,https://github.com/fog/fog,MIT
pivotal-ui-release(ruby),httpclient,2.4.0,https://github.com/nahi/httpclient,RUBY
pivotal-ui-release(ruby),multi_json,1.1,https://github.com/intridea/multi_json,MIT
pivotal-ui-release(ruby),highline,1.6.2,https://rubygems.org/gems/highline,RUBY
pivotal-ui-release(ruby),httpclient,2.4.0,https://github.com/nahi/httpclient,RUBY
pivotal-ui-release(ruby),json_pure,1.7,https://github.com/flori/json,RUBY
pivotal-ui-release(ruby),minitar,0.5.4,https://github.com/atoulme/minitar,Ruby License
pivotal-ui-release(ruby),net-scp,1.1.0,https://github.com/net-ssh/net-scp,MIT
pivotal-ui-release(ruby),net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
pivotal-ui-release(ruby),net-ssh-gateway,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT
pivotal-ui-release(ruby),netaddr,1.5.0,http://www.ruby-doc.org/gems/docs/n/netaddr-1.5.0/NetAddr.html,RUBY
pivotal-ui-release(ruby),progressbar,0.9.0,https://github.com/peleteiro/progressbar,RUBY
pivotal-ui-release(ruby),terminal-table,1.4.3,https://github.com/tj/terminal-table,MIT
pivotal-ui-release(ruby),builder,3.2.2,https://github.com/jimweirich/builder,MIT
pivotal-ui-release(ruby),excon,0.40.0,https://github.com/excon/excon,MIT
pivotal-ui-release(ruby),fog,1.23.0,https://github.com/fog/fog,MIT
pivotal-ui-release(ruby),fog-brightbox,0.7.1,https://rubygems.org/gems/fog-brightbox,MIT
pivotal-ui-release(ruby),fog-core,1.23,https://github.com/fog/fog-core,MIT
pivotal-ui-release(ruby),fog-json,1.0.0,https://github.com/fog/fog-json,MIT
pivotal-ui-release(ruby),fog-softlayer,0.3.28,https://github.com/fog/fog-softlayer,MIT
pivotal-ui-release(ruby),ipaddress,0.5,https://github.com/bluemonk/ipaddress,MIT
pivotal-ui-release(ruby),nokogiri,1.5.11,https://github.com/sparklemotion/nokogiri,MIT
pivotal-ui-release(ruby),fog-brightbox,0.6.1,https://rubygems.org/gems/fog-brightbox,MIT
pivotal-ui-release(ruby),fog-core,1.22,https://github.com/fog/fog-core,MIT
pivotal-ui-release(ruby),fog-json,1.0.0,https://github.com/fog/fog-json,MIT
pivotal-ui-release(ruby),inflecto,0.0.2,https://github.com/mbj/inflecto,MIT
pivotal-ui-release(ruby),fog-core,1.24.0,https://github.com/fog/fog-core,MIT
pivotal-ui-release(ruby),builder,3.2.2,https://github.com/jimweirich/builder,MIT
pivotal-ui-release(ruby),excon,0.38,https://github.com/excon/excon,MIT
pivotal-ui-release(ruby),formatador,0.2,https://github.com/geemus/formatador,MIT
pivotal-ui-release(ruby),mime-types,2.4.3,https://github.com/halostatue/mime-types/,MIT
pivotal-ui-release(ruby),net-scp,1.1,https://github.com/net-ssh/net-scp,MIT
pivotal-ui-release(ruby),net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
pivotal-ui-release(ruby),fog-json,1.0.0,https://github.com/fog/fog-json,MIT
pivotal-ui-release(ruby),multi_json,1,https://github.com/intridea/multi_json,MIT
pivotal-ui-release(ruby),fog-softlayer,0.3.23,https://github.com/fog/fog-softlayer,MIT
pivotal-ui-release(ruby),fog-core,1.27.3,https://github.com/fog/fog-core,MIT
pivotal-ui-release(ruby),fog-json,1.0.0,https://github.com/fog/fog-json,MIT
pivotal-ui-release(ruby),formatador,0.2.5,https://github.com/geemus/formatador,MIT
pivotal-ui-release(ruby),highline,1.6.21,https://rubygems.org/gems/highline,RUBY
pivotal-ui-release(ruby),httpclient,2.4.0,https://github.com/nahi/httpclient,RUBY
pivotal-ui-release(ruby),inflecto,0.0.2,https://github.com/mbj/inflecto,MIT
pivotal-ui-release(ruby),ipaddress,0.8.0,https://github.com/bluemonk/ipaddress,MIT
pivotal-ui-release(ruby),json,1.8.1,https://github.com/flori/json,RUBY
pivotal-ui-release(ruby),json_pure,1.8.1,https://github.com/flori/json,RUBY
pivotal-ui-release(ruby),log4r,1.1.10,https://github.com/colbygk/log4r,BSD
pivotal-ui-release(ruby),mime-types,2.4.3,https://github.com/halostatue/mime-types/,MIT
pivotal-ui-release(ruby),mini_portile,0.6.0,https://github.com/flavorjones/mini_portile,MIT
pivotal-ui-release(ruby),minitar,0.5.4,https://github.com/atoulme/minitar,Ruby License
pivotal-ui-release(ruby),multi_json,1.10.1,https://github.com/intridea/multi_json,MIT
pivotal-ui-release(ruby),net-scp,1.1.2,https://github.com/net-ssh/net-scp,MIT
pivotal-ui-release(ruby),net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
pivotal-ui-release(ruby),net-ssh,2.9.1,https://github.com/net-ssh/net-ssh,MIT
pivotal-ui-release(ruby),net-ssh-gateway,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT
pivotal-ui-release(ruby),net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
pivotal-ui-release(ruby),netaddr,1.5.0,http://www.ruby-doc.org/gems/docs/n/netaddr-1.5.0/NetAddr.html,RUBY
pivotal-ui-release(ruby),nokogiri,1.6.3.1,https://github.com/sparklemotion/nokogiri,MIT
pivotal-ui-release(ruby),mini_portile,0.6.0,https://github.com/flavorjones/mini_portile,MIT
pivotal-ui-release(ruby),progressbar,0.9.2,https://github.com/peleteiro/progressbar,RUBY
pivotal-ui-release(ruby),log4r,1.1.9,https://github.com/colbygk/log4r,BSD
pivotal-ui-release(ruby),ruby-hmac,0.4.0,https://rubygems.org/downloads/ruby-hmac-0.4.0.gem,MIT
pivotal-ui-release(ruby),terminal-table,1.4.5,https://github.com/tj/terminal-table,MIT
pivotal-ui-release(ruby),hologram,1.3.0,https://rubygems.org/gems/hologram/versions/1.3.0,MIT
pivotal-ui-release(ruby),haml,4.0.6,https://github.com/haml/haml,MIT
pivotal-ui-release(ruby),sass,3.4.10,https://github.com/sass/sass,MIT
pivotal-ui-release(ruby),compass,1.0.1,https://github.com/Compass/compass,MIT
pivotal-ui-release(ruby),pry,0.10.1,https://github.com/pry/pry,MIT
pivotal-ui-release(ruby),rspec,3.1.0,https://github.com/rspec/rspec,MIT
pivotal-ui-release(ruby),capybara,2.4.4,https://github.com/jnicklas/capybara,MIT
pivotal-ui-release(ruby),selenium-webdriver,2.44.0,https://github.com/vertis/selenium-webdriver,Apache License2.0
