name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
aws-sdk,1.44.0,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0,No change,pivotal-ui-release,,
blobstore_client,1.2751.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2751.0,Apache 2.0,New in 1.5,pivotal-ui-release,,
bosh_common,1.2751.0,None,https://rubygems.org/gems/bosh_common/versions/1.2751.0,Apache 2.0,New in 1.5,pivotal-ui-release,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,RUBY,No change,pivotal-ui-release,,
fog,1.23.0,1.23.0,https://github.com/fog/fog,MIT,No change,pivotal-ui-release,,
aws-sdk,1.44.0,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0,No change,pivotal-ui-release,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,pivotal-ui-release,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,RUBY,No change,pivotal-ui-release,,
blobstore_client,1.2751.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2751.0,Apache 2.0,New in 1.5,pivotal-ui-release,,
bosh_common,1.2751.0,None,https://rubygems.org/gems/bosh_common/versions/1.2751.0,Apache 2.0,New in 1.5,pivotal-ui-release,,
bosh_cli,1.2751.0,None,https://rubygems.org/gems/bosh_cli/versions/1.2751.0,Apache 2.0,New in 1.5,pivotal-ui-release,,
bosh-template,1.2751.0,None,https://rubygems.org/gems/bosh-template/versions/1.2751.0,Apache 2.0,New in 1.5,pivotal-ui-release,,
bosh-template,1.2751.0,None,https://rubygems.org/gems/bosh-template/versions/1.2751.0,Apache 2.0,New in 1.5,pivotal-ui-release,,
formatador,0.2.0,0.2,https://rubygems.org/gems/formatador/versions/0.2.0,MIT,Version Changed,pivotal-ui-release,https://github.com/geemus/formatador/blob/master/LICENSE.md,,,mark,
net-scp,1.1.0,1.1.0,https://github.com/net-ssh/net-scp,MIT,No change,pivotal-ui-release,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,pivotal-ui-release,,
net-ssh-gateway,1.2.0,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT,No change,pivotal-ui-release,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,pivotal-ui-release,,
bosh_common,1.2751.0,None,https://rubygems.org/gems/bosh_common/versions/1.2751.0,Apache 2.0,New in 1.5,pivotal-ui-release,,
excon,0.40.0,0.40.0,https://github.com/excon/excon,MIT,No change,pivotal-ui-release,,
fog,1.23.0,1.23.0,https://github.com/fog/fog,MIT,No change,pivotal-ui-release,,
fog-core,1.23.0,1.23,https://rubygems.org/gems/fog-core/versions/1.23.0,MIT,Version Changed,pivotal-ui-release,,,,mark,
