Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
Pivotal-UI,capybara,2.4.4,https://github.com/jnicklas/capybara,MIT
Pivotal-UI,mime-types,1.16,https://github.com/halostatue/mime-types,MIT
Pivotal-UI,nokogiri,1.3.3,https://github.com/sparklemotion/nokogiri,MIT
Pivotal-UI,rack,1.0.0,https://github.com/rack/rack,MIT
Pivotal-UI,rack-test,0.5.4,https://github.com/brynary/rack-test,MIT
Pivotal-UI,xpath,2,https://github.com/jnicklas/xpath,MIT
Pivotal-UI,childprocess,0.5.5,https://github.com/jarib/childprocess,MIT
Pivotal-UI,ffi,1.0.11,https://github.com/ffi/ffi,BSD
Pivotal-UI,chunky_png,1.3.1,https://github.com/wvanbergen/chunky_png,MIT
Pivotal-UI,coderay,1.1.0,https://github.com/rubychan/coderay,MIT
Pivotal-UI,compass,1.0.1,https://github.com/Compass/compass,MIT
Pivotal-UI,chunky_png,1.2,https://github.com/wvanbergen/chunky_png,MIT
Pivotal-UI,compass-core,1.0.1,https://rubygems.org/gems/compass-core/versions/1.0.1,MIT
Pivotal-UI,compass-import-once,1.0.5,https://github.com/Compass/compass/tree/master/import-once,MIT
Pivotal-UI,rb-fsevent,0.9.3,https://github.com/thibaudgg/rb-fsevent,MIT
Pivotal-UI,rb-inotify,0.9,https://github.com/nex3/rb-inotify,MIT
Pivotal-UI,sass,3.3.13,https://github.com/sass/sass,MIT
Pivotal-UI,multi_json,1,https://github.com/intridea/multi_json,MIT
Pivotal-UI,sass,3.3.0,https://github.com/sass/sass,MIT
Pivotal-UI,sass,3.2,https://github.com/sass/sass,MIT
Pivotal-UI,diff-lcs,1.2.5,https://github.com/halostatue/diff-lcs,MIT
Pivotal-UI,ffi,1.9.5,https://github.com/ffi/ffi,BSD
Pivotal-UI,haml,4.0.5,https://github.com/haml/haml,MIT
Pivotal-UI,tilt,2.0.1,https://github.com/rtomayko/tilt,MIT
Pivotal-UI,method_source,0.8.2,https://github.com/banister/method_source,MIT
Pivotal-UI,mime-types,2.4.3,https://github.com/halostatue/mime-types,MIT
Pivotal-UI,mini_portile,0.6.0,https://github.com/flavorjones/mini_portile,MIT
Pivotal-UI,multi_json,1.10.1,https://github.com/intridea/multi_json,MIT
Pivotal-UI,nokogiri,1.6.3.1,https://github.com/sparklemotion/nokogiri,MIT
Pivotal-UI,mini_portile,0.6.0,https://github.com/flavorjones/mini_portile,MIT
Pivotal-UI,pry,0.10.1,https://github.com/pry/pry,MIT
Pivotal-UI,coderay,1.1.0,https://github.com/rubychan/coderay,MIT
Pivotal-UI,method_source,0.8.1,https://github.com/banister/method_source,MIT
Pivotal-UI,slop,3.4,https://github.com/leejarvis/slop,MIT
Pivotal-UI,rack,1.5.2,https://github.com/rack/rack,MIT
Pivotal-UI,rack-test,0.6.2,https://github.com/brynary/rack-test,MIT
Pivotal-UI,rack,1,https://github.com/rack/rack,MIT
Pivotal-UI,rb-fsevent,0.9.4,https://github.com/thibaudgg/rb-fsevent,MIT
Pivotal-UI,rb-inotify,0.9.5,https://github.com/nex3/rb-inotify,MIT
Pivotal-UI,ffi,0.5.0,https://github.com/ffi/ffi,BSD
Pivotal-UI,redcarpet,3.2.2,https://github.com/vmg/redcarpet,MIT
Pivotal-UI,rouge,1.7.4,https://github.com/jneen/rouge,MIT
Pivotal-UI,rspec,2.99.0,https://github.com/rspec/rspec,MIT
Pivotal-UI,rspec-core,2.99.0,https://github.com/rspec/rspec-core,MIT
Pivotal-UI,rspec-expectations,2.99.0,https://github.com/rspec/rspec-expectations,MIT
Pivotal-UI,rspec-mocks,2.99.0,https://github.com/rspec/rspec-mocks,MIT
Pivotal-UI,rspec-core,2.99.2,https://github.com/rspec/rspec-core,MIT
Pivotal-UI,rspec-expectations,2.99.2,https://github.com/rspec/rspec-expectations,MIT
Pivotal-UI,diff-lcs,1.1.3,https://github.com/halostatue/diff-lcs,MIT
Pivotal-UI,rspec-mocks,2.99.2,https://github.com/rspec/rspec-mocks,MIT
Pivotal-UI,rubyzip,1.1.6,https://github.com/rubyzip/rubyzip,Ruby License
Pivotal-UI,sass,3.4.5,https://github.com/sass/sass,MIT
Pivotal-UI,selenium-webdriver,2.43.0,https://github.com/vertis/selenium-webdriver,Apache License2.0
Pivotal-UI,childprocess,0.5,https://github.com/jarib/childprocess,MIT
Pivotal-UI,multi_json,1,https://github.com/intridea/multi_json,MIT
Pivotal-UI,rubyzip,1,https://github.com/rubyzip/rubyzip,Ruby License
Pivotal-UI,websocket,1,https://github.com/imanel/websocket-ruby,MIT
Pivotal-UI,slop,3.6.0,https://github.com/leejarvis/slop,MIT
Pivotal-UI,tilt,2.0.1,https://github.com/rtomayko/tilt,MIT
Pivotal-UI,websocket,1.2.1,https://github.com/imanel/websocket-ruby,MIT
Pivotal-UI,xpath,2.0.0,https://github.com/jnicklas/xpath,MIT
Pivotal-UI,nokogiri,1.3,https://github.com/sparklemotion/nokogiri,MIT
Pivotal-UI,bootstrap-sass,3.3.1,https://github.com/twbs/bootstrap-sass,MIT
Pivotal-UI,envify,1.2.1,https://www.versioneye.com/nodejs/envify/1.2.1,MIT
Pivotal-UI,font-awesome,4.2.0,https://github.com/FortAwesome/Font-Awesome,OFL 1.1
Pivotal-UI,jquery,2.1.1,https://github.com/jquery/jquery-license,MIT
Pivotal-UI,lodash,2.4.1,https://github.com/lodash/lodash,MIT
Pivotal-UI,react,0.12.1,https://github.com/facebook/react,BSD
Pivotal-UI,react-bootstrap,0.13.0,https://github.com/react-bootstrap/react-bootstrap,MIT
Pivotal-UI,reactify,0.17.1,https://www.npmjs.com/package/reactify,MIT
Pivotal-UI,stream-to-promise,1.0.4,https://www.npmjs.com/package/stream-to-promise,MIT
Pivotal-UI,zeroclipboard,2.1.6,https://github.com/zeroclipboard/zeroclipboard,MIT
