name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
capybara,2.4.4,2.4.4,https://github.com/jnicklas/capybara,MIT,No change,pivotal-ui,,
childprocess,0.5.5,0.5.5,https://github.com/jarib/childprocess,MIT,No change,pivotal-ui,,
mime-types,2.4.3,2.4.3,https://github.com/halostatue/mime-types,MIT,No change,pivotal-ui,,
rouge,1.5.0,1.7.4,https://rubygems.org/gems/rouge/versions/1.5.0,MIT (see LICENSE file),Version Changed,pivotal-ui,,,,,
multi_json,1.11.0,1,https://rubygems.org/gems/multi_json/versions/1.11.0,MIT,Version Changed,pivotal-ui,,,,,
hologram,1.3.1,None,https://rubygems.org/gems/hologram/versions/1.3.1,MIT,New in 1.5,pivotal-ui,,
coderay,1.1.0,1.1.0,https://github.com/rubychan/coderay,MIT,No change,pivotal-ui,,
diff-lcs,1.2.5,1.2.5,https://github.com/halostatue/diff-lcs,MIT,No change,pivotal-ui,,
ffi,1.9.8,1.0.11,https://rubygems.org/gems/ffi/versions/1.9.8,BSD,Version Changed,pivotal-ui,,,,,
mini_portile,0.6.0,0.6.0,https://github.com/flavorjones/mini_portile,MIT,No change,pivotal-ui,,
nokogiri,1.6.3.1,1.6.3.1,https://github.com/sparklemotion/nokogiri,MIT,No change,pivotal-ui,,
mini_portile,0.6.0,0.6.0,https://github.com/flavorjones/mini_portile,MIT,No change,pivotal-ui,,
multi_json,1.0.0,1,https://rubygems.org/gems/multi_json/versions/1.0.0,MIT,Version Changed,pivotal-ui,https://github.com/intridea/multi_json/blob/master/LICENSE.md,,,,
pry,0.10.1,0.10.1,https://github.com/pry/pry,MIT,No change,pivotal-ui,,
rack,1.5.2,1.5.2,https://github.com/rack/rack,MIT,No change,pivotal-ui,,
coderay,1.1.0,1.1.0,https://github.com/rubychan/coderay,MIT,No change,pivotal-ui,,
redcarpet,3.3.2,3.2.2,https://rubygems.org/gems/redcarpet/versions/3.3.2,MIT,Version Changed,pivotal-ui,,,,,
mime-types,2.6.1,1.16,https://rubygems.org/gems/mime-types,MIT,Version Changed,pivotal-ui,,,,,
rspec,2.99.0,2.99.0,https://github.com/rspec/rspec,MIT,No change,pivotal-ui,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,pivotal-ui,,
rouge,1.9.0,1.7.4,https://rubygems.org/gems/rouge/versions/1.9.0,MIT (see LICENSE file),Version Changed,pivotal-ui,,,,,
rspec-expectations,2.99.0,2.99.0,https://github.com/rspec/rspec-expectations,MIT,No change,pivotal-ui,,
rspec-core,2.99.0,2.99.0,https://github.com/rspec/rspec-core,MIT,No change,pivotal-ui,,
slop,3.4.0,3.4,https://rubygems.org/gems/slop/versions/3.4.0,MIT,Version Changed,pivotal-ui,https://github.com/leejarvis/slop/blob/master/LICENSE,,,mark,
redcarpet,2.2.0,3.2.2,https://rubygems.org/gems/redcarpet/versions/2.2.0,MIT,Version Changed,pivotal-ui,https://github.com/vmg/redcarpet/blob/master/COPYING,,,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,pivotal-ui,,
slop,3.6.0,3.6.0,https://github.com/leejarvis/slop,MIT,No change,pivotal-ui,,
rspec-mocks,2.99.0,2.99.0,https://github.com/rspec/rspec-mocks,MIT,No change,pivotal-ui,,
rspec-core,2.99.2,2.99.2,https://github.com/rspec/rspec-core,MIT,No change,pivotal-ui,,
rspec-expectations,2.99.2,2.99.2,https://github.com/rspec/rspec-expectations,MIT,No change,pivotal-ui,,
rspec-mocks,2.99.2,2.99.2,https://github.com/rspec/rspec-mocks,MIT,No change,pivotal-ui,,
childprocess,0.5.0,0.5.5,https://rubygems.org/gems/childprocess/versions/0.5.0,MIT,Version Changed,pivotal-ui,,,,,
selenium-webdriver,2.45.0,2.43.0,https://rubygems.org/gems/selenium-webdriver/versions/2.45.0,Apache,Version Changed,pivotal-ui,,,,,
rubyzip,1.1.7,1.1.6,https://rubygems.org/gems/rubyzip/versions/1.1.7,BSD 2-Clause,Version Changed,pivotal-ui,,,,,
method_source,0.8.1,0.8.1,https://github.com/banister/method_source,MIT,No change,pivotal-ui,,
rack-test,0.6.2,0.6.2,https://github.com/brynary/rack-test,MIT,No change,pivotal-ui,,
diff-lcs,1.1.3,1.1.3,https://github.com/halostatue/diff-lcs,MIT,No change,pivotal-ui,,
xpath,2.0.0,2.0.0,https://github.com/jnicklas/xpath,MIT,No change,pivotal-ui,,
rubyzip,1.0.0,1.1.6,https://rubygems.org/gems/rubyzip/versions/1.0.0,N/A,Version Changed,pivotal-ui,https://github.com/rubyzip/rubyzip,https://github.com/rubyzip/rubyzip,Ruby License,,
websocket,1.0.0,1,https://rubygems.org/gems/websocket/versions/1.0.0,N/A,Version Changed,pivotal-ui,https://github.com/imanel/websocket-ruby,https://github.com/imanel/websocket-ruby,MIT,,
websocket,1.2.1,1.2.1,https://github.com/imanel/websocket-ruby,MIT,No change,pivotal-ui,,
xpath,2.0.0,2.0.0,https://github.com/jnicklas/xpath,MIT,No change,pivotal-ui,,
ffi,1.0.11,1.0.11,https://github.com/ffi/ffi,BSD,No change,pivotal-ui,,
nokogiri,1.3.3,1.3.3,https://github.com/sparklemotion/nokogiri,MIT,No change,pivotal-ui,,
nokogiri,1.3.0,1.3.3,https://rubygems.org/gems/nokogiri/versions/1.3.0,N/A,Version Changed,pivotal-ui,https://github.com/sparklemotion/nokogiri,https://github.com/sparklemotion/nokogiri,MIT,,
rack-test,0.5.4,0.5.4,https://github.com/brynary/rack-test,MIT,No change,pivotal-ui,,
method_source,0.8.2,0.8.2,https://github.com/banister/method_source,MIT,No change,pivotal-ui,,
