Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
cf-release,daemons,1.1.9,https://github.com/ghazel/daemons,MIT
cf-release,eventmachine,1.0.0,https://github.com/eventmachine/eventmachine,Ruby License
cf-release,yajl-ruby,1,https://github.com/brianmario/yajl-ruby,MIT
cf-release,nats,0.5.0.beta.14,https://github.com/derekcollison/ruby-nats,MIT
cf-release,rspec,3,https://github.com/rspec/rspec,MIT
cf-release,rack,1.0.0,https://github.com/rack/rack,MIT
cf-release,msgpack,0.4.4,https://github.com/msgpack/msgpack-ruby,Apache License2.0
cf-release,msgpack,0.5.8,https://github.com/msgpack/msgpack-ruby,Apache License2.0
cf-release,rack,1.5.2,https://github.com/rack/rack,MIT
cf-release,eventmachine,1.0.3,https://github.com/eventmachine/eventmachine,Ruby License
cf-release,thin,1.6.0,https://github.com/macournoyer/thin,Ruby License
cf-release,nats,0.5.0.beta.0,https://github.com/derekcollison/ruby-nats/versions/0.5.0.beta.1,MIT
cf-release,json_pure,1.8.1,https://github.com/flori/json,Ruby License
cf-release,yajl-ruby,1.2.1,https://github.com/brianmario/yajl-ruby,MIT
cf-release,daemons,1.0.9,https://github.com/ghazel/daemons,MIT
cf-release,nats,0.5.0.beta.12,https://github.com/derekcollison/ruby-nats,MIT
cf-release,fluent-logger,0.4.9,https://github.com/fluent/fluent-logger-ruby,APACHE 2.0
cf-release,thin,1.6.2,https://github.com/macournoyer/thin,Ruby License
cf-release,fluent-logger,0.4.8,https://github.com/fluent/fluent-logger-ruby,APACHE 2.0
cf-release,apache-tomcat-7.0.37.tar.gz,7.0.37,https://archive.apache.org/dist/tomcat/tomcat-7/v7.0.37/bin/apache-tomcat-7.0.37.tar.gz,Apache2.0
cf-release,apache-tomcat-7.0.40.tar.gz,7.0.40,https://archive.apache.org/dist/tomcat/tomcat-7/v7.0.40/bin/apache-tomcat-7.0.40.tar.gz,Apache2.0
cf-release,apache-tomcat-7.0.41.tar.gz,7.0.41,https://archive.apache.org/dist/tomcat/tomcat-7/v7.0.41/bin/apache-tomcat-7.0.41.tar.gz,Apache2.0
cf-release,apache-tomcat-7.0.55.tar.gz,7.0.55,http://archive.apache.org/dist/tomcat/tomcat-7/v7.0.55/bin/apache-tomcat-7.0.55.tar.gz,Apache2.1
cf-release,auto-reconfiguration-0.6.6.jar,0.6.6,http://repo.spring.io/milestone/org/cloudfoundry/auto-reconfiguration/0.6.6/auto-reconfiguration-0.6.6.jar,unknown
cf-release,auto-reconfiguration-0.6.7.jar,0.6.7,http://repo.spring.io/milestone/org/cloudfoundry/auto-reconfiguration/0.6.7/auto-reconfiguration-0.6.7.jar,unknown
cf-release,auto-reconfiguration-0.6.8.jar,0.6.8,http://repo.spring.io/milestone/org/cloudfoundry/auto-reconfiguration/0.6.8/auto-reconfiguration-0.6.8.jar,unknown
cf-release,bundler-1.2.1.gem,1.2.1,https://rubygems.org/downloads/bundler-1.2.1.gem,MIT
cf-release,bundler-1.3.0.pre.5.tgz,1.3.0.pre.5,https://rubygems.org/downloads/bundler-1.3.0.pre.5.gem,MIT
cf-release,bundler-1.3.1.tgz,1.3.1,https://rubygems.org/downloads/bundler-1.3.1.gem,MIT
cf-release,bundler-1.3.2.tgz,1.3.2,https://rubygems.org/downloads/bundler-1.3.2.gem,MIT
cf-release,bundler-1.7.4.gem,1.7.4,https://rubygems.org/downloads/bundler-1.7.4.gem,MIT
cf-release,cf-darwin-amd64.tgz,cf v6.0.1,https://github.com/cloudfoundry/cli/releases/download/v6.0.1/cf-darwin-amd64.tgz,Apache License 2.0
cf-release,client-5.1.62-rel13.3-435-Linux-x86_64.tar.gz,5.1.62-rel13.3-435-Linux-x86_64,http://olex.openlogic.com/packages/mysql/5.1.62,GPL2.0
cf-release,cloudfoundry-identity-varz-1.0.2.war,1.0.2,https://github.com/cloudfoundry/uaa,Apache License 2.0
cf-release,go_buildpack-offline-v1.1.1.zip,v1.1.1,https://github.com/cloudfoundry/go-buildpack/releases/download/v1.1.1/go_buildpack-offline-v1.1.1.zip,MIT
cf-release,go1.2.1.linux-amd64.tar.gz,1.2.1,https://go.googlecode.com/files/go1.2.1.linux-amd64.tar.gz,BSD
cf-release,go1.3.1.linux-amd64.tar.gz,1.3.1,https://storage.googleapis.com/golang/go1.3.1.linux-amd64.tar.gz,BSD
cf-release,haproxy-1.5.10.tar.gz,1.5.10,http://www.haproxy.org/download/1.5/src/haproxy-1.5.10.tar.gz,GPL
cf-release,headers-more-v0.25.tgz,0.25,https://github.com/openresty/headers-more-nginx-module/archive/v0.25.tar.gz,BSD
