Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
dea_ng,simplecov,0.7.1,https://github.com/colszowka/simplecov,MIT
dea_ng,eventmachine,1.0.0.beta.1,https://github.com/eventmachine/eventmachine,Ruby License
dea_ng,carrot,0.8.1,https://github.com/famoseagle/carrot,MIT
dea_ng,multi_xml,0.5.2,https://github.com/sferik/multi_xml,MIT
dea_ng,rack,1.6.0,https://github.com/rack/rack,MIT
dea_ng,rack,1.2.1,https://github.com/rack/rack,MIT
dea_ng,rspec-core,2.14.0,https://github.com/rspec/rspec-core,MIT
dea_ng,mongo_mapper,0.13.1,https://github.com/mongomapper/mongomapper,MIT
dea_ng,rack-test,0.6.1,https://github.com/brynary/rack-test,MIT
dea_ng,debugger-ruby_core_source,1.3.5,https://github.com/cldwalker/debugger-ruby_core_source,MIT
dea_ng,addressable,2.3.5,https://github.com/sporkmonger/addressable,APACHE 2.0
dea_ng,rspec-mocks,2.14.4,https://github.com/rspec/rspec-mocks,MIT
dea_ng,rails,3.0.6,https://github.com/rails/rails,MIT
dea_ng,rack,1,https://github.com/rack/rack,MIT
dea_ng,addressable,2.2.7,https://github.com/sporkmonger/addressable,APACHE 2.0
dea_ng,eventmachine,1.0.0.beta.4,https://github.com/eventmachine/eventmachine,Ruby License
dea_ng,eventmachine,1.0.0.beta.1,https://github.com/eventmachine/eventmachine,Ruby License
dea_ng,treetop,1.4.8,https://github.com/cjheath/treetop,MIT
dea_ng,activeresource,3.0.6,https://github.com/rails/activeresource,MIT
dea_ng,treetop,1.4.9,https://github.com/cjheath/treetop,MIT
dea_ng,rspec-expectations,2.14.0,https://github.com/rspec/rspec-expectations,MIT
dea_ng,activesupport,3.2.13,https://github.com/rails/rails/tree/master/activesupport,MIT
dea_ng,addressable,2.3.5,https://github.com/sporkmonger/addressable,APACHE 2.0
dea_ng,docile,1.1.5,https://github.com/ms-ati/docile,MIT
dea_ng,json_pure,1.8.1,https://github.com/flori/json,Ruby License
dea_ng,rack,1.2.2,https://github.com/rack/rack,MIT
dea_ng,docile,1.1.0,https://github.com/ms-ati/docile,MIT
dea_ng,em-http-request,1,https://github.com/igrigorik/em-http-request,MIT
dea_ng,thin,1.6.3,https://github.com/macournoyer/thin,Ruby License
dea_ng,vmstat,2,https://github.com/threez/ruby-vmstat,MIT
dea_ng,safe_yaml,0.9.0,https://github.com/dtao/safe_yaml,MIT
dea_ng,httpclient,2.5.3.3,https://github.com/nahi/httpclient,Ruby License
dea_ng,tilt,1.3.3,https://github.com/rtomayko/tilt,MIT
dea_ng,descendants_tracker,0.0.1,https://github.com/dkubb/descendants_tracker,MIT
dea_ng,columnize,0.3.1,https://github.com/rocky/columnize,Ruby License
dea_ng,rspec-core,2.14.7,https://github.com/rspec/rspec-core,MIT
dea_ng,loggregator_emitter,3.0.0,https://github.com/cloudfoundry/loggregator_emitter,APACHE-2.0
dea_ng,activesupport,4.2.0,https://github.com/rails/rails/tree/master/activesupport,MIT
dea_ng,redis,2.2.0,https://github.com/redis/redis-rb,MIT
dea_ng,docile,1.1.0,https://github.com/ms-ati/docile,MIT
dea_ng,rack-mount,0.8.3,https://github.com/josh/rack-mount,MIT
dea_ng,eventmachine,1,https://github.com/eventmachine/eventmachine,Ruby License
dea_ng,rack-protection,1.3,https://github.com/rkh/rack-protection,MIT
dea_ng,uuidtools,2.1.3,https://github.com/sporkmonger/uuidtools,Apache License2.0
dea_ng,simplecov,0.9.0,https://github.com/colszowka/simplecov,MIT
dea_ng,rack,1.0.0,https://github.com/rack/rack,MIT
dea_ng,activesupport,2.3.6,https://github.com/rails/rails/tree/master/activesupport,MIT
dea_ng,mime-types,2.1,https://github.com/halostatue/mime-types,MIT
dea_ng,rack,0.4,https://github.com/rack/rack,MIT
dea_ng,beefcake,0.3.7,https://github.com/protobuf-ruby/beefcake,MIT
dea_ng,multi_json,1.3.2,https://github.com/intridea/multi_json,MIT
dea_ng,bson,1.2.4,https://github.com/mongodb/bson-ruby,Apache License2.0
dea_ng,grape,0.10.0,https://github.com/intridea/grape,MIT
dea_ng,daemons,1.0.9,https://github.com/ghazel/daemons,MIT
dea_ng,rack,1.5.2,https://github.com/rack/rack,MIT
dea_ng,mail,2.2.15,https://github.com/mikel/mail,MIT
dea_ng,nats,0.5.0.beta.12,https://github.com/derekcollison/ruby-nats,MIT
dea_ng,squash_ruby,1.4.0,https://github.com/SquareSquash/ruby,Apache License2.0
