name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
thread_safe,0.3.1,None,https://rubygems.org/gems/thread_safe/versions/0.3.1,Apache-2.0,New in 1.5,dea_ng,,
tzinfo,1.1.0,0.3.26,https://rubygems.org/gems/tzinfo/versions/1.1.0,MIT,Version Changed,dea_ng,,,,,
ice_nine,0.11.0,None,https://rubygems.org/gems/ice_nine/versions/0.11.0,MIT,New in 1.5,dea_ng,,
coercible,1.0.0,None,https://rubygems.org/gems/coercible/versions/1.0.0,MIT,New in 1.5,dea_ng,,
thread_safe,0.3.4,None,https://rubygems.org/gems/thread_safe/versions/0.3.4,Apache-2.0,New in 1.5,dea_ng,,
activesupport,4.2.0,4.2.0,https://github.com/rails/rails/tree/master/activesupport,MIT,No change,dea_ng,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,dea_ng,,
axiom-types,0.1.1,None,https://rubygems.org/gems/axiom-types/versions/0.1.1,MIT,New in 1.5,dea_ng,,
codeclimate-test-reporter,0.3.0,0.3.0,https://github.com/codeclimate/ruby-test-reporter,MIT,No change,dea_ng,,
addressable,2.3.5,2.3.5,https://github.com/sporkmonger/addressable,APACHE 2.0,No change,dea_ng,,
minitest,5.1.0,None,https://rubygems.org/gems/minitest/versions/5.1.0,MIT,New in 1.5,dea_ng,,
json,1.7.7,1.5.1,https://rubygems.org/gems/json/versions/1.7.7,Ruby,Version Changed,dea_ng,,,,,
descendants_tracker,0.0.4,0.0.1,https://rubygems.org/gems/descendants_tracker/versions/0.0.4,MIT,Version Changed,dea_ng,,,,,
i18n,0.7.0,0.6.1,https://rubygems.org/gems/i18n/versions/0.7.0,MIT,Version Changed,dea_ng,,,,,
crack,0.4.1,0.4.1,https://github.com/jnunemaker/crack,MIT,No change,dea_ng,,
safe_yaml,0.9.0,0.9.0,https://github.com/dtao/safe_yaml,MIT,No change,dea_ng,,
descendants_tracker,0.0.4,0.0.1,https://rubygems.org/gems/descendants_tracker/versions/0.0.4,MIT,Version Changed,dea_ng,,,,,
thread_safe,0.3.1,None,https://rubygems.org/gems/thread_safe/versions/0.3.1,Apache-2.0,New in 1.5,dea_ng,,
docile,1.1.5,1.1.5,https://github.com/ms-ati/docile,MIT,No change,dea_ng,,
cookiejar,0.3.2,0.3.2,https://github.com/dwaite/cookiejar,BSD,No change,dea_ng,,
addressable,2.2.7,2.2.7,https://github.com/sporkmonger/addressable,APACHE 2.0,No change,dea_ng,,
crack,0.3.2,0.3.2,https://github.com/jnunemaker/crack,MIT,No change,dea_ng,,
descendants_tracker,0.0.3,0.0.1,https://rubygems.org/gems/descendants_tracker/versions/0.0.3,MIT,Version Changed,dea_ng,https://github.com/dkubb/descendants_tracker/blob/master/LICENSE,,,,
uuidtools,2.1.5,2.1.5,https://github.com/sporkmonger/uuidtools,Apache License2.0,No change,dea_ng,,
equalizer,0.0.9,None,https://rubygems.org/gems/equalizer/versions/0.0.9,MIT,New in 1.5,dea_ng,,
vcap_common,4.0.2,None,https://rubygems.org/gems/vcap_common/versions/4.0.2,bsd,New in 1.5,dea_ng,https://github.com/cloudfoundry/vcap-common/blob/master/LICENSE,
cookiejar,0.3.0,0.3.0,https://github.com/dwaite/cookiejar,BSD,No change,dea_ng,,
