name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
aws-sdk,1.44.0,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0,No change,cf-jenkins-release,,
aws-sdk,1.44.0,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0,No change,cf-jenkins-release,,
fog,1.23.0,1.23.0,https://github.com/fog/fog,MIT,No change,cf-jenkins-release,,
blobstore_client,1.2768.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2768.0,Apache 2.0,New in 1.5,cf-jenkins-release,,
bosh-template,1.2768.0,None,https://rubygems.org/gems/bosh-template/versions/1.2768.0,Apache 2.0,New in 1.5,cf-jenkins-release,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,cf-jenkins-release,,
bosh_common,1.2768.0,None,https://rubygems.org/gems/bosh_common/versions/1.2768.0,Apache 2.0,New in 1.5,cf-jenkins-release,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,RUBY,No change,cf-jenkins-release,,
bosh_common,1.2768.0,None,https://rubygems.org/gems/bosh_common/versions/1.2768.0,Apache 2.0,New in 1.5,cf-jenkins-release,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,RUBY,No change,cf-jenkins-release,,
bosh_cli,1.2768.0,None,https://rubygems.org/gems/bosh_cli/versions/1.2768.0,Apache 2.0,New in 1.5,cf-jenkins-release,,
blobstore_client,1.2768.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2768.0,Apache 2.0,New in 1.5,cf-jenkins-release,,
bosh-template,1.2768.0,None,https://rubygems.org/gems/bosh-template/versions/1.2768.0,Apache 2.0,New in 1.5,cf-jenkins-release,,
multi_json,1.0.0,1.1,https://rubygems.org/gems/multi_json/versions/1.0.0,MIT,Version Changed,cf-jenkins-release,https://github.com/intridea/multi_json/blob/master/LICENSE.md,,,,
net-scp,1.1.0,1.1.0,https://github.com/net-ssh/net-scp,MIT,No change,cf-jenkins-release,,
net-ssh-gateway,1.2.0,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT,No change,cf-jenkins-release,,
bosh_common,1.2768.0,None,https://rubygems.org/gems/bosh_common/versions/1.2768.0,Apache 2.0,New in 1.5,cf-jenkins-release,,
capybara,2.4.4,2.4.4,https://github.com/jnicklas/capybara,MIT,No change,cf-jenkins-release,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,cf-jenkins-release,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,cf-jenkins-release,,
ruby-atmos-pure,1.0.5,None,https://rubygems.org/gems/ruby-atmos-pure/versions/1.0.5,N/A,New in 1.5,cf-jenkins-release,Not Found Github Url,
nokogiri,1.4.4,1.4.4,https://github.com/sparklemotion/nokogiri,MIT,No change,cf-jenkins-release,,
httmultiparty,0.3.16,0.3.16,https://github.com/jwagener/httmultiparty,MIT,No change,cf-jenkins-release,,
cf-uaa-lib,3.1.0,None,https://rubygems.org/gems/cf-uaa-lib/versions/3.1.0,Apache 2.0,New in 1.5,cf-jenkins-release,,
multi_json,1.11.2,1.1,https://rubygems.org/gems/multi_json,MIT,Version Changed,cf-jenkins-release,,,,,
childprocess,0.5.5,0.5.5,https://github.com/jarib/childprocess,MIT,No change,cf-jenkins-release,,
mime-types,2.6.1,1.16,https://rubygems.org/gems/mime-types,MIT,Version Changed,cf-jenkins-release,,,,,
websocket-driver,0.4.0,0.4.0,https://github.com/faye/websocket-driver-ruby,MIT,No change,cf-jenkins-release,,
ci_reporter,2.0.0,2.0.0,https://github.com/ci-reporter/ci_reporter,MIT,No change,cf-jenkins-release,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,cf-jenkins-release,,
