name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
ffi,1.9.3,1.0.11,https://rubygems.org/gems/ffi/versions/1.9.3,BSD,Version Changed,cf-jenkins-release,,,,,
guard,2.1.0,None,https://rubygems.org/gems/guard/versions/2.1.0,MIT,New in 1.5,cf-jenkins-release,,
crack,0.4.2,None,https://rubygems.org/gems/crack/versions/0.4.2,MIT,New in 1.5,cf-jenkins-release,,
rspec,2.14.0,3.1,https://rubygems.org/gems/rspec/versions/2.14.0,MIT,Version Changed,cf-jenkins-release,,,,,
coderay,1.1.0,None,https://rubygems.org/gems/coderay/versions/1.1.0,MIT,New in 1.5,cf-jenkins-release,,
thor,0.18.1,0.19.1,https://rubygems.org/gems/thor/versions/0.18.1,MIT,Version Changed,cf-jenkins-release,,,,,
listen,2.7.0,None,https://rubygems.org/gems/listen/versions/2.7.0,MIT,New in 1.5,cf-jenkins-release,,
guard,2.6.1,None,https://rubygems.org/gems/guard/versions/2.6.1,MIT,New in 1.5,cf-jenkins-release,,
diff-lcs,1.2.5,1.2.5,https://github.com/halostatue/diff-lcs,MIT,No change,cf-jenkins-release,,
addressable,2.3.6,None,https://rubygems.org/gems/addressable/versions/2.3.6,Apache License 2.0,New in 1.5,cf-jenkins-release,,
guard-rspec,4.2.10,None,https://rubygems.org/gems/guard-rspec/versions/4.2.10,MIT,New in 1.5,cf-jenkins-release,,
celluloid,0.15.2,None,https://rubygems.org/gems/celluloid/versions/0.15.2,MIT,New in 1.5,cf-jenkins-release,,
safe_yaml,1.0.0,None,https://rubygems.org/gems/safe_yaml/versions/1.0.0,MIT,New in 1.5,cf-jenkins-release,,
listen,2.7.8,None,https://rubygems.org/gems/listen/versions/2.7.8,MIT,New in 1.5,cf-jenkins-release,,
celluloid,0.15.2,None,https://rubygems.org/gems/celluloid/versions/0.15.2,MIT,New in 1.5,cf-jenkins-release,,
lumberjack,1.0.6,None,https://rubygems.org/gems/lumberjack/versions/1.0.6,MIT,New in 1.5,cf-jenkins-release,,
pry,0.10.1,None,https://rubygems.org/gems/pry/versions/0.10.1,MIT,New in 1.5,cf-jenkins-release,,
coderay,1.1.0,None,https://rubygems.org/gems/coderay/versions/1.1.0,MIT,New in 1.5,cf-jenkins-release,,
rb-fsevent,0.9.4,None,https://rubygems.org/gems/rb-fsevent/versions/0.9.4,MIT,New in 1.5,cf-jenkins-release,,
rspec,3.0.0,3.1,https://rubygems.org/gems/rspec/versions/3.0.0,MIT,Version Changed,cf-jenkins-release,,,,,
rspec-core,3.0.0,3.1.0,https://rubygems.org/gems/rspec-core/versions/3.0.0,MIT,Version Changed,cf-jenkins-release,,,,,
crack,0.3.2,None,https://rubygems.org/gems/crack/versions/0.3.2,MIT,New in 1.5,cf-jenkins-release,https://github.com/jnunemaker/crack/blob/master/LICENSE,
timers,1.1.0,None,https://rubygems.org/gems/timers/versions/1.1.0,MIT,New in 1.5,cf-jenkins-release,https://github.com/celluloid/timers/blob/master/LICENSE,
safe_yaml,1.0.3,None,https://rubygems.org/gems/safe_yaml/versions/1.0.3,MIT,New in 1.5,cf-jenkins-release,,
rspec-mocks,3.0.0,3.1.0,https://rubygems.org/gems/rspec-mocks/versions/3.0.0,MIT,Version Changed,cf-jenkins-release,,,,,
rspec-core,3.0.4,3.1.0,https://rubygems.org/gems/rspec-core/versions/3.0.4,MIT,Version Changed,cf-jenkins-release,,,,,
rspec-expectations,3.0.0,3.1.0,https://rubygems.org/gems/rspec-expectations/versions/3.0.0,MIT,Version Changed,cf-jenkins-release,,,,,
rspec-support,3.0.0,3.1.0,https://rubygems.org/gems/rspec-support/versions/3.0.0,MIT,Version Changed,cf-jenkins-release,,,,,
rspec-expectations,3.0.4,3.1.0,https://rubygems.org/gems/rspec-expectations/versions/3.0.4,MIT,Version Changed,cf-jenkins-release,,,,,
rspec-support,3.0.0,3.1.0,https://rubygems.org/gems/rspec-support/versions/3.0.0,MIT,Version Changed,cf-jenkins-release,,,,,
rspec-mocks,3.0.4,3.1.0,https://rubygems.org/gems/rspec-mocks/versions/3.0.4,MIT,Version Changed,cf-jenkins-release,,,,,
