name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
coderay,1.1.0,None,https://rubygems.org/gems/coderay/versions/1.1.0,MIT,New in 1.5,cf-jenkins-release,,
multi_json,1.11.2,1.1,https://rubygems.org/gems/multi_json,MIT,Version Changed,cf-jenkins-release,,,,,
diff-lcs,1.2.5,1.2.5,https://github.com/halostatue/diff-lcs,MIT,No change,cf-jenkins-release,,
rspec-mocks,3.1.0,3.1.0,https://github.com/rspec/rspec-mocks,MIT,No change,cf-jenkins-release,,
rspec,3.1.0,3.1.0,https://github.com/rspec/rspec,MIT,No change,cf-jenkins-release,,
cf-uaa-lib,3.1.0,None,https://rubygems.org/gems/cf-uaa-lib/versions/3.1.0,Apache 2.0,New in 1.5,cf-jenkins-release,,
multi_json,1.10.1,1.10.1,https://github.com/intridea/multi_json,MIT,No change,cf-jenkins-release,,
coderay,1.1.0,None,https://rubygems.org/gems/coderay/versions/1.1.0,MIT,New in 1.5,cf-jenkins-release,,
rspec-core,3.1.0,3.1.0,https://github.com/rspec/rspec-core,MIT,No change,cf-jenkins-release,,
rspec-expectations,3.1.0,3.1.0,https://github.com/rspec/rspec-expectations,MIT,No change,cf-jenkins-release,,
rspec-support,3.1.0,3.1.0,https://github.com/rspec/rspec-support,MIT,No change,cf-jenkins-release,,
rspec-support,3.1.0,3.1.0,https://github.com/rspec/rspec-support,MIT,No change,cf-jenkins-release,,
pry,0.10.1,None,https://rubygems.org/gems/pry/versions/0.10.1,MIT,New in 1.5,cf-jenkins-release,,
rspec-core,3.1.2,3.1.0,https://rubygems.org/gems/rspec-core/versions/3.1.2,MIT,Version Changed,cf-jenkins-release,,,,,
rspec-expectations,3.1.0,3.1.0,https://github.com/rspec/rspec-expectations,MIT,No change,cf-jenkins-release,,
slop,3.4.0,None,https://rubygems.org/gems/slop/versions/3.4.0,MIT,New in 1.5,cf-jenkins-release,https://github.com/leejarvis/slop/blob/master/LICENSE,
method_source,0.8.2,None,https://rubygems.org/gems/method_source/versions/0.8.2,N/A,New in 1.5,cf-jenkins-release,Not Found Github Url,
slop,3.6.0,None,https://rubygems.org/gems/slop/versions/3.6.0,MIT,New in 1.5,cf-jenkins-release,,
rspec-mocks,3.1.0,3.1.0,https://github.com/rspec/rspec-mocks,MIT,No change,cf-jenkins-release,,
rspec-support,3.1.0,3.1.0,https://github.com/rspec/rspec-support,MIT,No change,cf-jenkins-release,,
rspec-support,3.1.0,3.1.0,https://github.com/rspec/rspec-support,MIT,No change,cf-jenkins-release,,
method_source,0.8.1,None,https://rubygems.org/gems/method_source/versions/0.8.1,N/A,New in 1.5,cf-jenkins-release,Not Found Github Url,
diff-lcs,1.2.0,1.2.0,https://github.com/halostatue/diff-lcs,MIT,No change,cf-jenkins-release,,
hula,0.1.3,None,Page not found,,New in 1.5,cf-jenkins-release,,
