Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
cf-console-release,terminal-table,1.4.5,https://github.com/tj/terminal-table,MIT
cf-console-release,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-console-release,net-ssh,2.9.1,https://github.com/net-ssh/net-ssh,MIT
cf-console-release,nokogiri,1.6.3.1,https://github.com/sparklemotion/nokogiri,MIT
cf-console-release,multi_json,1,https://github.com/intridea/multi_json,MIT
cf-console-release,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-console-release,nokogiri,1.5,https://github.com/sparklemotion/nokogiri,MIT
cf-console-release,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
cf-console-release,json_pure,1.7,https://github.com/flori/json,Ruby License
cf-console-release,mime-types,2.3,https://github.com/halostatue/mime-types,MIT
cf-console-release,progressbar,0.9.0,https://github.com/peleteiro/progressbar,Ruby License
cf-console-release,log4r,1.1.10,https://github.com/colbygk/log4r,BSD
cf-console-release,nokogiri,1.6.3.1,https://github.com/sparklemotion/nokogiri,MIT
cf-console-release,multi_json,1.1,https://github.com/intridea/multi_json,MIT
cf-console-release,progressbar,0.9.0,https://github.com/peleteiro/progressbar,Ruby License
cf-console-release,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
cf-console-release,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
cf-console-release,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
cf-console-release,terminal-table,1.4.5,https://github.com/tj/terminal-table,MIT
cf-console-release,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
cf-console-release,json,1.4,https://github.com/flori/json,Ruby License
cf-console-release,json_pure,1.8.1,https://github.com/flori/json,Ruby License
cf-console-release,net-scp,1.1.0,https://github.com/net-ssh/net-scp,MIT
cf-console-release,excon,0.25.3,https://github.com/excon/excon,MIT
cf-console-release,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-console-release,json,1.8.1,https://github.com/flori/json,Ruby License
cf-console-release,multi_json,1,https://github.com/intridea/multi_json,MIT
cf-console-release,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
cf-console-release,mini_portile,0.6.0,https://github.com/flavorjones/mini_portile,MIT
cf-console-release,terminal-table,1.4.3,https://github.com/tj/terminal-table,MIT
cf-console-release,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
cf-console-release,excon,0.25.0,https://github.com/excon/excon,MIT
cf-console-release,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-console-release,terminal-table,1.4.3,https://github.com/tj/terminal-table,MIT
cf-console-release,multi_json,1.10.1,https://github.com/intridea/multi_json,MIT
cf-console-release,multi_json,1.10.1,https://github.com/intridea/multi_json,MIT
cf-console-release,formatador,0.2.0,https://github.com/geemus/formatador,MIT
cf-console-release,ruby-hmac,0.4.0,https://rubygems.org/downloads/ruby-hmac-0.4.0.gem,MIT
cf-console-release,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
cf-console-release,netaddr,1.5.0,http://www.ruby-doc.org/gems/docs/n/netaddr-1.5.0/NetAddr.html,RUBY
cf-console-release,formatador,0.2.5,https://github.com/geemus/formatador,MIT
cf-console-release,formatador,0.2.0,https://github.com/geemus/formatador,MIT
cf-console-release,progressbar,0.9.2,https://github.com/peleteiro/progressbar,Ruby License
cf-console-release,fog,1.14.0,https://github.com/fog/fog,MIT
cf-console-release,nokogiri,1.6.3.1,https://github.com/sparklemotion/nokogiri,MIT
cf-console-release,builder,3.2.2,https://github.com/jimweirich/builder,MIT
cf-console-release,progressbar,0.9.2,https://github.com/peleteiro/progressbar,Ruby License
cf-console-release,log4r,1.1.10,https://github.com/colbygk/log4r,BSD
cf-console-release,json_pure,1.7,https://github.com/flori/json,Ruby License
cf-console-release,formatador,0.2.5,https://github.com/geemus/formatador,MIT
cf-console-release,net-scp,1.1.0,https://github.com/net-ssh/net-scp,MIT
cf-console-release,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
cf-console-release,nokogiri,1.5,https://github.com/sparklemotion/nokogiri,MIT
cf-console-release,net-scp,1.1.0,https://github.com/net-ssh/net-scp,MIT
cf-console-release,aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE 2.0
cf-console-release,log4r,1.1.9,https://github.com/colbygk/log4r,BSD
cf-console-release,highline,1.6.2,https://github.com/JEG2/highline,GPL-2
cf-console-release,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
cf-console-release,json,1.8.1,https://github.com/flori/json,Ruby License
cf-console-release,log4r,1.1.9,https://github.com/colbygk/log4r,BSD
cf-console-release,highline,1.6.21,https://github.com/JEG2/highline,GPL-2
cf-console-release,multi_json,1.1,https://github.com/intridea/multi_json,MIT
cf-console-release,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
cf-console-release,json,1.4,https://github.com/flori/json,Ruby License
cf-console-release,excon,0.25.3,https://github.com/excon/excon,MIT
cf-console-release,net-scp,1.1.2,https://github.com/net-ssh/net-scp,MIT
cf-console-release,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
cf-console-release,nokogiri,1.5,https://github.com/sparklemotion/nokogiri,MIT
cf-console-release,net-scp,1.1,https://github.com/net-ssh/net-scp,MIT
cf-console-release,net-scp,1.1.2,https://github.com/net-ssh/net-scp,MIT
cf-console-release,net-scp,1.1,https://github.com/net-ssh/net-scp,MIT
cf-console-release,net-scp,1.1.2,https://github.com/net-ssh/net-scp,MIT
cf-console-release,net-ssh,2.9.1,https://github.com/net-ssh/net-ssh,MIT
cf-console-release,net-scp,1.1,https://github.com/net-ssh/net-scp,MIT
cf-console-release,net-ssh,2.9.1,https://github.com/net-ssh/net-ssh,MIT
cf-console-release,net-ssh,2.9.1,https://github.com/net-ssh/net-ssh,MIT
cf-console-release,mime-types,2.4.3,https://github.com/halostatue/mime-types,MIT
cf-console-release,nokogiri,1.6.3.1,https://github.com/sparklemotion/nokogiri,MIT
cf-console-release,multi_json,1,https://github.com/intridea/multi_json,MIT
cf-console-release,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-console-release,nokogiri,1.5,https://github.com/sparklemotion/nokogiri,MIT
cf-console-release,json_pure,1.8.1,https://github.com/flori/json,Ruby License
cf-console-release,highline,1.6.21,https://github.com/JEG2/highline,GPL-2
cf-console-release,net-ssh-gateway,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT
cf-console-release,highline,1.6.2,https://github.com/JEG2/highline,GPL-2
cf-console-release,excon,0.25.0,https://github.com/excon/excon,MIT
cf-console-release,httpclient,2.4.0,https://github.com/nahi/httpclient,Ruby License
cf-console-release,net-ssh,2.9.1,https://github.com/net-ssh/net-ssh,MIT
cf-console-release,multi_json,1.1,https://github.com/intridea/multi_json,MIT
cf-console-release,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
cf-console-release,mime-types,2.3,https://github.com/halostatue/mime-types,MIT
cf-console-release,minitar,0.5.4,https://github.com/atoulme/minitar,Ruby License
cf-console-release,multi_json,1.10.1,https://github.com/intridea/multi_json,MIT
cf-console-release,mime-types,2.4.3,https://github.com/halostatue/mime-types,MIT
cf-console-release,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
