Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
cf-console,simplecov,0.7.1,https://github.com/colszowka/simplecov/,MIT
cf-console,json,1.7,https://github.com/flori/json,RUBY
cf-console,rspec-core,3.0.4,https://github.com/rspec/rspec-core,MIT
cf-console,railties,3.1,https://github.com/rails/rails/tree/master/railties,MIT
cf-console,happymapper,0.4.1,https://github.com/jnunemaker/happymapper,MIT
cf-console,sass,3,https://github.com/sass/sass,MIT
cf-console,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-console,mime-types,2.0.0,https://github.com/halostatue/mime-types,MIT
cf-console,rspec-support,3.0.4,https://github.com/rspec/rspec-support,MIT
cf-console,countries,0.9.3,https://github.com/hexorx/countries,MIT
cf-console,excon,0.38,https://github.com/excon/excon,MIT
cf-console,activemodel,4.1.5,https://rubygems.org/gems/activemodel,MIT
cf-console,activesupport,2.3.11,https://github.com/rails/rails/tree/master/activesupport,MIT
cf-console,railties,3.2,https://github.com/rails/rails/tree/master/railties,MIT
cf-console,activesupport,4.2.0,https://github.com/rails/rails/tree/master/activesupport,MIT
cf-console,kaminari,0.16.1,https://github.com/amatsuda/kaminari,MIT
cf-console,rack,1.6.0,https://github.com/rack/rack,MIT
cf-console,mime-types,1.25.1,https://github.com/halostatue/mime-types,MIT
cf-console,activerecord,3,https://github.com/rails/rails/tree/master/activerecord,MIT
cf-console,pry-nav,0.2.3,https://github.com/nixme/pry-nav,MIT
cf-console,multi_json,1.2,https://github.com/intridea/multi_json,MIT
cf-console,nokogiri,1.5,https://github.com/sparklemotion/nokogiri,MIT
cf-console,activesupport,3,https://github.com/rails/rails/tree/master/activesupport,MIT
cf-console,railties,3.0.0,https://github.com/rails/rails/tree/master/railties,MIT
cf-console,nokogiri,1.4.0,https://github.com/sparklemotion/nokogiri,MIT
cf-console,rspec-core,3.0.4,https://github.com/rspec/rspec-core,MIT
cf-console,faraday,0.8.8,https://github.com/lostisland/faraday,MIT
cf-console,hike,1.2,https://github.com/sstephenson/hike,MIT
cf-console,ruby2ruby,2.0.5,https://github.com/seattlerb/ruby2ruby,MIT
cf-console,simplecov-html,0.7.1,https://github.com/colszowka/simplecov-html,MIT
cf-console,rb-inotify,0.9.3,https://github.com/nex3/rb-inotify,MIT
cf-console,hike,1.2.3,https://github.com/sstephenson/hike,MIT
cf-console,diff-lcs,1.2.0,https://github.com/halostatue/diff-lcs,MIT
cf-console,rack,1.5.2,https://github.com/rack/rack,MIT
cf-console,nokogiri,1.4,https://github.com/sparklemotion/nokogiri,MIT
cf-console,nokogiri,1.4,https://github.com/sparklemotion/nokogiri,MIT
cf-console,phantomjs,1.9.7.1,https://github.com/colszowka/phantomjs-gem,MIT
cf-console,nokogiri,1.5.11,https://github.com/sparklemotion/nokogiri,MIT
cf-console,rspec,3.1.0,https://github.com/rspec/rspec,MIT
cf-console,railties,3.0.0,https://github.com/rails/rails/tree/master/railties,MIT
cf-console,railties,3.0.0,https://github.com/rails/rails/tree/master/railties,MIT
cf-console,rspec-expectations,3.0.0,https://github.com/rspec/rspec-expectations,MIT
cf-console,sexp_processor,4.1,https://github.com/seattlerb/sexp_processor,MIT
cf-console,sass,3.2.0,https://github.com/sass/sass,MIT
cf-console,rspec_junit_formatter,0.2.0,https://github.com/sj26/rspec_junit_formatter,MIT
cf-console,json,1.4,https://github.com/flori/json,Ruby License
cf-console,multi_json,1.8,https://github.com/intridea/multi_json,MIT
cf-console,railties,4.1.5,https://github.com/rails/rails/tree/master/railties,MIT
cf-console,capybara,2.3.0,https://github.com/jnicklas/capybara,MIT
cf-console,multi_xml,0.5.5,https://github.com/sferik/multi_xml,MIT
cf-console,multi_json,1.5,https://github.com/intridea/multi_json,MIT
cf-console,libv8,3.16.14.0,https://github.com/cowboyd/libv8,MIT
cf-console,activesupport,2.3.14,https://github.com/rails/rails/tree/master/activesupport,MIT
cf-console,sprockets-rails,2,https://github.com/rails/sprockets-rails,MIT
cf-console,activerecord,4.1.5,https://github.com/rails/rails/tree/master/activerecord,MIT
cf-console,rspec-support,3.0.0,https://github.com/rspec/rspec-support,MIT
cf-console,json,1.8.0,https://github.com/flori/json,Ruby License
cf-console,tzinfo,1.1,https://github.com/tzinfo/tzinfo,MIT
cf-console,rouge,1.7.4,https://github.com/jneen/rouge,MIT
cf-console,rack,1.4,https://github.com/rack/rack,MIT
cf-console,activesupport,3,https://github.com/rails/rails/tree/master/activesupport,MIT
cf-console,crack,0.3.2,https://github.com/jnunemaker/crack,MIT
cf-console,pry,0.9.12,https://github.com/pry/pry,MIT
cf-console,compass,0.12.2,https://github.com/Compass/compass,MIT
cf-console,multi_json,1.7,https://github.com/intridea/multi_json,MIT
cf-console,activesupport,4.2.0,https://github.com/rails/rails/tree/master/activesupport,MIT
cf-console,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-console,haml,3,https://github.com/haml/haml,MIT
cf-console,tilt,1.4.1,https://github.com/rtomayko/tilt,MIT
cf-console,nokogiri,1.3.3,https://github.com/sparklemotion/nokogiri,MIT
cf-console,addressable,2.3,https://github.com/sporkmonger/addressable,APACHE 2.0
cf-console,rubyzip,0.9.9,https://github.com/rubyzip/rubyzip,Ruby License
cf-console,multi_json,1,https://github.com/intridea/multi_json,MIT
cf-console,htmlentities,4.3.1,https://github.com/threedaymonk/htmlentities,MIT
cf-console,multi_json,1.8,https://github.com/intridea/multi_json,MIT
cf-console,activesupport,3.0.0,https://github.com/rails/rails/tree/master/activesupport,MIT
cf-console,guard,2,https://github.com/guard/guard,MIT
