Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
p-mongodb,aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
p-mongodb,json,1.4,https://github.com/flori/json,RUBY
p-mongodb,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
p-mongodb,aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
p-mongodb,fog,1.23.0,https://github.com/fog/fog,MIT
p-mongodb,httpclient,2.4.0,https://github.com/nahi/httpclient,RUBY
p-mongodb,multi_json,1.1,https://github.com/intridea/multi_json,MIT
p-mongodb,highline,1.6.2,https://rubygems.org/gems/highline,RUBY
p-mongodb,httpclient,2.4.0,https://github.com/nahi/httpclient,RUBY
p-mongodb,json_pure,1.7,https://github.com/flori/json,Ruby License
p-mongodb,minitar,0.5.4,https://github.com/atoulme/minitar,RUBY
p-mongodb,net-scp,1.1.0,https://github.com/net-ssh/net-scp,MIT
p-mongodb,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
p-mongodb,net-ssh-gateway,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT
p-mongodb,netaddr,1.5.0,http://www.ruby-doc.org/gems/docs/n/netaddr-1.5.0/NetAddr.html,RUBY
p-mongodb,progressbar,0.9.0,https://github.com/peleteiro/progressbar,RUBY
p-mongodb,terminal-table,1.4.3,https://github.com/tj/terminal-table,MIT
p-mongodb,logging,1.8.2,https://github.com/TwP/logging,MIT
p-mongodb,builder,3.2.2,https://github.com/jimweirich/builder,MIT
p-mongodb,capybara,2.4.4,https://github.com/jnicklas/capybara,MIT
p-mongodb,mime-types,1.16,https://github.com/halostatue/mime-types/,MIT
p-mongodb,nokogiri,1.3.3,https://github.com/sparklemotion/nokogiri,MIT
p-mongodb,rack,1.0.0,https://github.com/rack/rack,MIT
p-mongodb,rack-test,0.5.4,https://github.com/brynary/rack-test,MIT
p-mongodb,xpath,2,https://github.com/jnicklas/xpath,MIT
p-mongodb,capybara-webkit,1.3.1,https://github.com/thoughtbot/capybara-webkit ,MIT
p-mongodb,capybara,2.0.2,https://github.com/jnicklas/capybara,MIT
p-mongodb,ci_reporter,2.0.0,https://github.com/ci-reporter/ci_reporter,MIT
p-mongodb,builder,2.1.2,https://github.com/jimweirich/builder,MIT
p-mongodb,cliver,0.3.2,https://github.com/yaauie/cliver,MIT
p-mongodb,diff-lcs,1.2.5,https://github.com/halostatue/diff-lcs,MIT
p-mongodb,dock_it,0.2.2,https://github.com/dockitapp/dockit,MIT
p-mongodb,excon,0.42.1,https://github.com/excon/excon,MIT
p-mongodb,faraday,0.9.0,https://github.com/lostisland/faraday,MIT
p-mongodb,multipart-post,1.2,https://github.com/nicksieger/multipart-post,MIT
p-mongodb,faraday_middleware,0.9.1,https://github.com/lostisland/faraday_middleware,MIT
p-mongodb,faraday,0.7.4,https://github.com/lostisland/faraday,MIT
p-mongodb,aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
p-mongodb,fog,1.23.0,https://github.com/fog/fog,MIT
p-mongodb,fog-brightbox,0.7.1,https://rubygems.org/gems/fog-brightbox,MIT
p-mongodb,fog-core,1.23,https://github.com/fog/fog-core,MIT
p-mongodb,fog-json,1.0.0,https://github.com/fog/fog-json,MIT
p-mongodb,fog-softlayer,0.3.30,https://github.com/fog/fog-softlayer,MIT
p-mongodb,ipaddress,0.5,https://github.com/bluemonk/ipaddress,MIT
p-mongodb,nokogiri,1.5.11,https://github.com/sparklemotion/nokogiri,MIT
p-mongodb,fog-brightbox,0.7.1,https://rubygems.org/gems/fog-brightbox,MIT
p-mongodb,fog-core,1.22,https://github.com/fog/fog-core,MIT
p-mongodb,inflecto,0.0.2,https://github.com/mbj/inflecto,MIT
p-mongodb,fog-core,1.27.1,https://github.com/fog/fog-core,MIT
p-mongodb,builder,3.2.2,https://github.com/jimweirich/builder,MIT
p-mongodb,excon,0.38,https://github.com/excon/excon,MIT
p-mongodb,formatador,0.2,https://github.com/geemus/formatador,MIT
p-mongodb,mime-types,2.4.3,https://github.com/halostatue/mime-types/,MIT
p-mongodb,net-scp,1.1,https://github.com/net-ssh/net-scp,MIT
p-mongodb,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
p-mongodb,fog-json,1.0.0,https://github.com/fog/fog-json,MIT
p-mongodb,multi_json,1,https://github.com/intridea/multi_json,MIT
p-mongodb,fog-softlayer,0.3.25,https://github.com/fog/fog-softlayer,MIT
p-mongodb,formatador,0.2.5,https://github.com/geemus/formatador,MIT
p-mongodb,highline,1.6.21,https://rubygems.org/gems/highline,RUBY
p-mongodb,httmultiparty,0.3.16,https://github.com/jwagener/httmultiparty,MIT
p-mongodb,httparty,0.7.3,https://github.com/jnunemaker/httparty,MIT
p-mongodb,mimemagic,0.2.1,https://github.com/minad/mimemagic,MIT
p-mongodb,multipart-post,2.0.0,https://github.com/nicksieger/multipart-post,MIT
p-mongodb,httparty,0.13.3,https://github.com/jnunemaker/httparty,MIT
p-mongodb,json,1.8,https://github.com/flori/json,RUBY
p-mongodb,multi_xml,0.5.2,https://github.com/sferik/multi_xml,MIT
p-mongodb,httpclient,2.4.0,https://github.com/nahi/httpclient,RUBY
p-mongodb,inflecto,0.0.2,https://github.com/mbj/inflecto,MIT
