name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,RUBY,No change,p-neo4j,,
blobstore_client,1.2891.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2891.0,Apache 2.0,New in 1.5,p-neo4j,,
CFPropertyList,2.3.1,None,https://rubygems.org/gems/CFPropertyList/versions/2.3.1,MIT,New in 1.5,p-neo4j,,
aws-sdk,1.60.2,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,p-neo4j,,,,,
fog,1.27.0,1.23.0,https://rubygems.org/gems/fog/versions/1.27.0,MIT,Version Changed,p-neo4j,,,,,
bosh-template,1.2891.0,None,https://rubygems.org/gems/bosh-template/versions/1.2891.0,Apache 2.0,New in 1.5,p-neo4j,,
bosh_cli,1.2891.0,None,https://rubygems.org/gems/bosh_cli/versions/1.2891.0,Apache 2.0,New in 1.5,p-neo4j,,
bosh-template,1.2891.0,None,https://rubygems.org/gems/bosh-template/versions/1.2891.0,Apache 2.0,New in 1.5,p-neo4j,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,p-neo4j,,
bosh_common,1.2891.0,None,https://rubygems.org/gems/bosh_common/versions/1.2891.0,Apache 2.0,New in 1.5,p-neo4j,,
aws-sdk-v1,1.60.2,None,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,New in 1.5,p-neo4j,,
aws-sdk,1.60.2,1.44.0,https://rubygems.org/gems/aws-sdk/versions/1.60.2,Apache 2.0,Version Changed,p-neo4j,,,,,
blobstore_client,1.2891.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2891.0,Apache 2.0,New in 1.5,p-neo4j,,
aws-sdk-v1,1.60.2,None,https://rubygems.org/gems/aws-sdk-v1/versions/1.60.2,Apache 2.0,New in 1.5,p-neo4j,,
multipart-post,2.0.0,2.0.0,https://github.com/nicksieger/multipart-post,MIT,No change,p-neo4j,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,RUBY,No change,p-neo4j,,
net-scp,1.1.0,1.1.0,https://github.com/net-ssh/net-scp,MIT,No change,p-neo4j,,
net-ssh-gateway,1.2.0,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT,No change,p-neo4j,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,p-neo4j,,
bosh_common,1.2891.0,None,https://rubygems.org/gems/bosh_common/versions/1.2891.0,Apache 2.0,New in 1.5,p-neo4j,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,p-neo4j,,
capybara,2.4.4,2.4.4,https://github.com/jnicklas/capybara,MIT,No change,p-neo4j,,
ruby-atmos-pure,1.0.5,None,https://rubygems.org/gems/ruby-atmos-pure/versions/1.0.5,N/A,New in 1.5,p-neo4j,Not Found Github Url,
json,1.4.0,1.4,https://rubygems.org/gems/json/versions/1.4.0,N/A,Version Changed,p-neo4j,https://flori.github.com/json/,https://github.com/flori/json,RUBY,mark,
bosh_common,1.2891.0,None,https://rubygems.org/gems/bosh_common/versions/1.2891.0,Apache 2.0,New in 1.5,p-neo4j,,
websocket-extensions,0.1.2,0.1.0,https://rubygems.org/gems/websocket-extensions/versions/0.1.2,MIT,Version Changed,p-neo4j,,,,,
capybara-webkit,1.5.2,1.3.1,https://rubygems.org/gems/capybara-webkit/versions/1.5.2,MIT,Version Changed,p-neo4j,,,,,
capybara,2.3.0,2.4.4,https://rubygems.org/gems/capybara/versions/2.3.0,MIT,Version Changed,p-neo4j,,,,,
json,1.8.3,1.4,https://rubygems.org/gems/json,Ruby,Version Changed,p-neo4j,,,,,
nokogiri,1.3.0,1.4.4,https://rubygems.org/gems/nokogiri/versions/1.3.0,N/A,Version Changed,p-neo4j,https://github.com/sparklemotion/nokogiri,https://github.com/sparklemotion/nokogiri,MIT,,
websocket-extensions,0.1.0,0.1.0,https://github.com/faye/websocket-extensions-ruby,MIT,No change,p-neo4j,,
cf-uaa-lib,3.1.0,None,https://rubygems.org/gems/cf-uaa-lib/versions/3.1.0,Apache 2.0,New in 1.5,p-neo4j,,
multi_json,1.11.2,1.1,https://rubygems.org/gems/multi_json,MIT,Version Changed,p-neo4j,,,,,
httmultiparty,0.3.16,0.3.16,https://github.com/jwagener/httmultiparty,MIT,No change,p-neo4j,,
websocket-driver,0.5.4,0.2.0,https://rubygems.org/gems/websocket-driver/versions/0.5.4,MIT,Version Changed,p-neo4j,,,,,
ci_reporter,2.0.0,2.0.0,https://github.com/ci-reporter/ci_reporter,MIT,No change,p-neo4j,,
