Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
cf-phd,terminal-table,1.4.5,https://github.com/tj/terminal-table,MIT
cf-phd,builder,3.2.2,https://github.com/jimweirich/builder,MIT
cf-phd,activesupport,4.1.1,https://github.com/rails/rails/tree/master/activesupport,MIT
cf-phd,rspec-core,2.14.0,https://github.com/rspec/rspec-core,MIT
cf-phd,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-phd,multi_json,1.8.4,https://github.com/intridea/multi_json,MIT
cf-phd,json,1.8.1,https://github.com/flori/json,Ruby License
cf-phd,diff-lcs,1.1.3,https://github.com/halostatue/diff-lcs,MIT
cf-phd,rspec-mocks,2.14.6,https://github.com/rspec/rspec-mocks,MIT
cf-phd,fog-core,1.22,https://github.com/fog/fog-core,MIT
cf-phd,diff-lcs,1.2.5,https://github.com/halostatue/diff-lcs,MIT
cf-phd,json_pure,1.7,https://github.com/flori/json,Ruby License
cf-phd,multi_json,1.8.4,https://github.com/intridea/multi_json,MIT
cf-phd,progressbar,0.9.0,https://github.com/peleteiro/progressbar,Ruby License
cf-phd,formatador,0.2,https://github.com/geemus/formatador,MIT
cf-phd,log4r,1.1.10,https://github.com/colbygk/log4r,BSD
cf-phd,progressbar,0.9.2,https://github.com/peleteiro/progressbar,Ruby License
cf-phd,multi_json,1.1,https://github.com/intridea/multi_json,MIT
cf-phd,excon,0.42.1,https://github.com/excon/excon,MIT
cf-phd,json,1.7.7,https://github.com/flori/json,Ruby License
cf-phd,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
cf-phd,progressbar,0.9.0,https://github.com/peleteiro/progressbar,Ruby License
cf-phd,rspec-mocks,2.14.6,https://github.com/rspec/rspec-mocks,MIT
cf-phd,i18n,0.6.9,https://github.com/svenfuchs/i18n,MIT
cf-phd,terminal-table,1.4.5,https://github.com/tj/terminal-table,MIT
cf-phd,thread_safe,0.3.4,https://github.com/headius/thread_safe,APACHE-2.0
cf-phd,fog-core,1.27.2,https://github.com/fog/fog-core,MIT
cf-phd,json,1.4,https://github.com/flori/json,Ruby License
cf-phd,json_pure,1.8.1,https://github.com/flori/json,Ruby License
cf-phd,rspec-mocks,2.14.0,https://github.com/rspec/rspec-mocks,MIT
cf-phd,logging,1.8.2,https://github.com/TwP/logging,MIT
cf-phd,diff-lcs,1.1.3,https://github.com/halostatue/diff-lcs,MIT
cf-phd,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-phd,tzinfo,1.1,https://github.com/tzinfo/tzinfo,MIT
cf-phd,bosher,0.2.0,https://rubygems.org/gems/bosher/versions/0.2.0,MIT
cf-phd,nokogiri,1.5.11,https://github.com/sparklemotion/nokogiri,MIT
cf-phd,json,1.7.7,https://github.com/flori/json,Ruby License
cf-phd,minitest,5.1,https://github.com/seattlerb/minitest,MIT
cf-phd,rspec-expectations,2.14.0,https://github.com/rspec/rspec-expectations,MIT
cf-phd,json,1.8.1,https://github.com/flori/json,Ruby License
cf-phd,rspec-mocks,2.14.0,https://github.com/rspec/rspec-mocks,MIT
cf-phd,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
cf-phd,multi_json,1,https://github.com/intridea/multi_json,MIT
cf-phd,rspec-expectations,2.14.5,https://github.com/rspec/rspec-expectations,MIT
cf-phd,thread_safe,0.1,https://github.com/headius/thread_safe,APACHE-2.0
cf-phd,activesupport,4.2.0,https://github.com/rails/rails/tree/master/activesupport,MIT
cf-phd,tzinfo,1.1,https://github.com/tzinfo/tzinfo,MIT
cf-phd,rspec,2.14.1,https://github.com/rspec/rspec,MIT
cf-phd,tzinfo,1.2.1,https://github.com/tzinfo/tzinfo,MIT
cf-phd,terminal-table,1.4.3,https://github.com/tj/terminal-table,MIT
cf-phd,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
cf-phd,minitest,5.3.5,https://github.com/seattlerb/minitest,MIT
cf-phd,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-phd,rake,10.3.2,https://github.com/ruby/rake,MIT
cf-phd,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
cf-phd,nokogiri,1.6.5,https://github.com/sparklemotion/nokogiri,MIT
cf-phd,rspec-core,2.14.8,https://github.com/rspec/rspec-core,MIT
cf-phd,multipart-post,2.0.0,https://github.com/nicksieger/multipart-post,MIT
cf-phd,thread_safe,0.1,https://github.com/headius/thread_safe,APACHE-2.0
cf-phd,terminal-table,1.4.3,https://github.com/tj/terminal-table,MIT
cf-phd,multi_json,1.10.1,https://github.com/intridea/multi_json,MIT
cf-phd,ruby-hmac,0.4.0,https://rubygems.org/downloads/ruby-hmac-0.4.0.gem,MIT
cf-phd,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
cf-phd,mini_portile,0.6.0,https://github.com/flavorjones/mini_portile,MIT
cf-phd,inflecto,0.0.2,https://github.com/mbj/inflecto,MIT
cf-phd,net-ssh,2.9.1,https://github.com/net-ssh/net-ssh,MIT
cf-phd,progressbar,0.9.2,https://github.com/peleteiro/progressbar,Ruby License
cf-phd,mime-types,2.4.3,https://github.com/halostatue/mime-types,MIT
cf-phd,diff-lcs,1.2.5,https://github.com/halostatue/diff-lcs,MIT
cf-phd,rspec-core,2.14.8,https://github.com/rspec/rspec-core,MIT
cf-phd,multi_json,1,https://github.com/intridea/multi_json,MIT
cf-phd,log4r,1.1.10,https://github.com/colbygk/log4r,BSD
cf-phd,json_pure,1.7,https://github.com/flori/json,Ruby License
cf-phd,formatador,0.2.5,https://github.com/geemus/formatador,MIT
cf-phd,net-ssh-gateway,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT
cf-phd,multi_json,1.8.4,https://github.com/intridea/multi_json,MIT
cf-phd,net-scp,1.1.0,https://github.com/net-ssh/net-scp,MIT
cf-phd,excon,0.38,https://github.com/excon/excon,MIT
cf-phd,json,1.4,https://github.com/flori/json,Ruby License
cf-phd,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
cf-phd,thread_safe,0.3.4,https://github.com/headius/thread_safe,APACHE-2.0
cf-phd,fog-core,1.23,https://github.com/fog/fog-core,MIT
cf-phd,net-scp,1.1.0,https://github.com/net-ssh/net-scp,MIT
cf-phd,json,1.7.7,https://github.com/flori/json,Ruby License
cf-phd,formatador,0.2,https://github.com/geemus/formatador,MIT
cf-phd,aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE 2.0
cf-phd,excon,0.38,https://github.com/excon/excon,MIT
cf-phd,highline,1.6.2,https://github.com/JEG2/highline,GPL-2
cf-phd,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
cf-phd,fog-core,1.27.1,https://github.com/fog/fog-core,MIT
cf-phd,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
cf-phd,json,1.8.1,https://github.com/flori/json,Ruby License
cf-phd,log4r,1.1.9,https://github.com/colbygk/log4r,BSD
cf-phd,highline,1.6.21,https://github.com/JEG2/highline,GPL-2
cf-phd,multi_json,1.1,https://github.com/intridea/multi_json,MIT
cf-phd,excon,0.42.1,https://github.com/excon/excon,MIT
cf-phd,minitest,5.1,https://github.com/seattlerb/minitest,MIT
cf-phd,nokogiri,1.6.5,https://github.com/sparklemotion/nokogiri,MIT
cf-phd,json,1.4,https://github.com/flori/json,Ruby License
cf-phd,little-plugger,1.1.3,https://github.com/TwP/little-plugger,MIT
cf-phd,ipaddress,0.8.0,https://github.com/bluemonk/ipaddress,MIT
cf-phd,net-scp,1.1.2,https://github.com/net-ssh/net-scp,MIT
cf-phd,open4,1.3.4,https://github.com/ahoward/open4,Ruby License
cf-phd,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
cf-phd,multi_json,1.1,https://github.com/intridea/multi_json,MIT
cf-phd,fog-softlayer,0.3.25,https://github.com/fog/fog-softlayer,MIT
cf-phd,tzinfo,1.2.1,https://github.com/tzinfo/tzinfo,MIT
cf-phd,net-scp,1.1,https://github.com/net-ssh/net-scp,MIT
cf-phd,fog-softlayer,0.3.26,https://github.com/fog/fog-softlayer,MIT
cf-phd,nokogiri,1.5.11,https://github.com/sparklemotion/nokogiri,MIT
cf-phd,net-scp,1.1.2,https://github.com/net-ssh/net-scp,MIT
cf-phd,rspec-expectations,2.14.0,https://github.com/rspec/rspec-expectations,MIT
cf-phd,net-scp,1.1,https://github.com/net-ssh/net-scp,MIT
cf-phd,net-scp,1.1.2,https://github.com/net-ssh/net-scp,MIT
cf-phd,net-ssh,2.9.1,https://github.com/net-ssh/net-ssh,MIT
cf-phd,rspec-expectations,2.14.5,https://github.com/rspec/rspec-expectations,MIT
cf-phd,net-scp,1.1,https://github.com/net-ssh/net-scp,MIT
cf-phd,net-ssh,2.9.1,https://github.com/net-ssh/net-ssh,MIT
cf-phd,net-scp,1.1.0,https://github.com/net-ssh/net-scp,MIT
cf-phd,multi_json,1,https://github.com/intridea/multi_json,MIT
cf-phd,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
cf-phd,json_pure,1.8.1,https://github.com/flori/json,Ruby License
cf-phd,highline,1.6.21,https://github.com/JEG2/highline,GPL-2
cf-phd,netaddr,1.5.0,http://www.ruby-doc.org/gems/docs/n/netaddr-1.5.0/NetAddr.html,RUBY
cf-phd,highline,1.6.2,https://github.com/JEG2/highline,GPL-2
cf-phd,httpclient,2.4.0,https://github.com/nahi/httpclient,Ruby License
cf-phd,net-ssh,2.9.1,https://github.com/net-ssh/net-ssh,MIT
cf-phd,multi_json,1.10.1,https://github.com/intridea/multi_json,MIT
cf-phd,mini_portile,0.6.1,https://github.com/flavorjones/mini_portile,MIT
cf-phd,ipaddress,0.5,https://github.com/bluemonk/ipaddress,MIT
cf-phd,rspec-core,2.14.0,https://github.com/rspec/rspec-core,MIT
cf-phd,fog-brightbox,0.7.1,https://rubygems.org/gems/fog-brightbox,MIT
cf-phd,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
cf-phd,minitar,0.5.4,https://github.com/atoulme/minitar,Ruby License
cf-phd,multi_json,1.10.1,https://github.com/intridea/multi_json,MIT
cf-phd,nokogiri,1.6.5,https://github.com/sparklemotion/nokogiri,MIT
cf-phd,fog-json,1.0.0,https://github.com/fog/fog-json,MIT
cf-phd,formatador,0.2.5,https://github.com/geemus/formatador,MIT
cf-phd,log4r,1.1.9,https://github.com/colbygk/log4r,BSD
cf-phd,minitest,5.3.5,https://github.com/seattlerb/minitest,MIT
cf-phd,fog,1.23.0,https://github.com/fog/fog,MIT
cf-phd,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
cf-phd,nokogiri,1.5.11,https://github.com/sparklemotion/nokogiri,MIT
