name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
bosh-template,1.2682.0,None,https://rubygems.org/gems/bosh-template/versions/1.2682.0,Apache 2.0,New in 1.5,phd-cf,,
blobstore_client,1.2682.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2682.0,Apache 2.0,New in 1.5,phd-cf,,
bosh_common,1.2682.0,None,https://rubygems.org/gems/bosh_common/versions/1.2682.0,Apache 2.0,New in 1.5,phd-cf,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,phd-cf,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,phd-cf,,
aws-sdk,1.44.0,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE 2.0,No change,phd-cf,,
blobstore_client,1.2682.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2682.0,Apache 2.0,New in 1.5,phd-cf,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,phd-cf,,
addressable,2.3.6,None,https://rubygems.org/gems/addressable/versions/2.3.6,Apache License 2.0,New in 1.5,phd-cf,,
fog,1.14.0,1.23.0,https://rubygems.org/gems/fog/versions/1.14.0,MIT,Version Changed,phd-cf,,,,,
bosh_common,1.2682.0,None,https://rubygems.org/gems/bosh_common/versions/1.2682.0,Apache 2.0,New in 1.5,phd-cf,,
bosh-template,1.2682.0,None,https://rubygems.org/gems/bosh-template/versions/1.2682.0,Apache 2.0,New in 1.5,phd-cf,,
bosh_cli,1.2682.0,None,https://rubygems.org/gems/bosh_cli/versions/1.2682.0,Apache 2.0,New in 1.5,phd-cf,,
aws-sdk,1.44.0,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE 2.0,No change,phd-cf,,
crack,0.3.2,None,https://rubygems.org/gems/crack/versions/0.3.2,MIT,New in 1.5,phd-cf,https://github.com/jnunemaker/crack/blob/master/LICENSE,
net-scp,1.1.0,1.1.0,https://github.com/net-ssh/net-scp,MIT,No change,phd-cf,,
net-ssh-gateway,1.2.0,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT,No change,phd-cf,,
crack,0.4.2,None,https://rubygems.org/gems/crack/versions/0.4.2,MIT,New in 1.5,phd-cf,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,phd-cf,,
safe_yaml,1.0.0,None,https://rubygems.org/gems/safe_yaml/versions/1.0.0,MIT,New in 1.5,phd-cf,,
excon,0.25.3,0.42.1,https://rubygems.org/gems/excon/versions/0.25.3,MIT,Version Changed,phd-cf,,,,,
diff-lcs,1.2.5,1.2.5,https://github.com/halostatue/diff-lcs,MIT,No change,phd-cf,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,phd-cf,,
bosh_common,1.2682.0,None,https://rubygems.org/gems/bosh_common/versions/1.2682.0,Apache 2.0,New in 1.5,phd-cf,,
addressable,2.3.6,None,https://rubygems.org/gems/addressable/versions/2.3.6,Apache License 2.0,New in 1.5,phd-cf,,
fog,1.14.0,1.23.0,https://rubygems.org/gems/fog/versions/1.14.0,MIT,Version Changed,phd-cf,,,,,
webmock,1.18.0,None,https://rubygems.org/gems/webmock/versions/1.18.0,MIT,New in 1.5,phd-cf,,
safe_yaml,1.0.3,None,https://rubygems.org/gems/safe_yaml/versions/1.0.3,MIT,New in 1.5,phd-cf,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,phd-cf,,
builder,3.2.2,3.2.2,https://github.com/jimweirich/builder,MIT,No change,phd-cf,,
rspec-support,3.0.3,None,https://rubygems.org/gems/rspec-support/versions/3.0.3,MIT,New in 1.5,phd-cf,,
mime-types,2.6.1,2.4.3,https://rubygems.org/gems/mime-types,MIT,Version Changed,phd-cf,,,,,
formatador,0.2.5,0.2.5,https://github.com/geemus/formatador,MIT,No change,phd-cf,,
net-scp,1.1.0,1.1.0,https://github.com/net-ssh/net-scp,MIT,No change,phd-cf,,
highline,1.6.21,1.6.21,https://github.com/JEG2/highline,GPL-2,No change,phd-cf,,
httpclient,2.4.0,2.4.0,https://github.com/nahi/httpclient,Ruby License,No change,phd-cf,,
json,1.8.1,1.8.1,https://github.com/flori/json,Ruby License,No change,phd-cf,,
json_pure,1.8.1,1.8.1,https://github.com/flori/json,Ruby License,No change,phd-cf,,
mini_portile,0.6.0,0.6.0,https://github.com/flavorjones/mini_portile,MIT,No change,phd-cf,,
multi_json,1.1.0,1.8.4,https://rubygems.org/gems/multi_json/versions/1.1.0,MIT,Version Changed,phd-cf,https://github.com/intridea/multi_json/blob/master/LICENSE.md,,,,
multi_json,1.10.1,1.10.1,https://github.com/intridea/multi_json,MIT,No change,phd-cf,,
rspec-mocks,3.0.3,2.14.6,https://rubygems.org/gems/rspec-mocks/versions/3.0.3,MIT,Version Changed,phd-cf,,,,,
rspec-support,3.0.0,None,https://rubygems.org/gems/rspec-support/versions/3.0.0,MIT,New in 1.5,phd-cf,,
net-scp,1.1.2,1.1.2,https://github.com/net-ssh/net-scp,MIT,No change,phd-cf,,
net-ssh,2.6.5,2.6.5,https://github.com/net-ssh/net-ssh,MIT,No change,phd-cf,,
rspec-support,3.0.0,None,https://rubygems.org/gems/rspec-support/versions/3.0.0,MIT,New in 1.5,phd-cf,,
net-ssh,2.9.1,2.9.1,https://github.com/net-ssh/net-ssh,MIT,No change,phd-cf,,
net-ssh,2.2.1,2.2.1,https://github.com/net-ssh/net-ssh,MIT,No change,phd-cf,,
net-ssh-gateway,1.2.0,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT,No change,phd-cf,,
net-ssh,2.1.3,2.1.3,https://github.com/net-ssh/net-ssh,MIT,No change,phd-cf,,
mime-types,2.6.1,2.4.3,https://rubygems.org/gems/mime-types,MIT,Version Changed,phd-cf,,,,,
net-ssh,2.6.5,2.6.5,https://github.com/net-ssh/net-ssh,MIT,No change,phd-cf,,
rspec-expectations,3.0.3,2.14.0,https://rubygems.org/gems/rspec-expectations/versions/3.0.3,MIT,Version Changed,phd-cf,,,,,
nokogiri,1.6.3.1,1.5.11,https://rubygems.org/gems/nokogiri/versions/1.6.3.1,MIT,Version Changed,phd-cf,,,,,
mini_portile,0.6.0,0.6.0,https://github.com/flavorjones/mini_portile,MIT,No change,phd-cf,,
rake,10.3.2,10.3.2,https://github.com/ruby/rake,MIT,No change,phd-cf,,
multi_json,1.0.0,1.8.4,https://rubygems.org/gems/multi_json/versions/1.0.0,MIT,Version Changed,phd-cf,https://github.com/intridea/multi_json/blob/master/LICENSE.md,,,,
formatador,0.2.0,0.2,https://rubygems.org/gems/formatador/versions/0.2.0,MIT,Version Changed,phd-cf,https://github.com/geemus/formatador/blob/master/LICENSE.md,,,mark,
rspec,3.0.0,2.14.1,https://rubygems.org/gems/rspec/versions/3.0.0,MIT,Version Changed,phd-cf,,,,,
rspec-core,3.0.0,2.14.0,https://rubygems.org/gems/rspec-core/versions/3.0.0,MIT,Version Changed,phd-cf,,,,,
rspec-expectations,3.0.0,2.14.0,https://rubygems.org/gems/rspec-expectations/versions/3.0.0,MIT,Version Changed,phd-cf,,,,,
