Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
rabbit-labrat,amq-protocol,1.9.2,https://github.com/ruby-amqp/amq-protocol,MIT
rabbit-labrat,backports,3.6.4,https://github.com/marcandre/backports,MIT
rabbit-labrat,bunny,1.6.3,https://github.com/ruby-amqp/bunny,MIT
rabbit-labrat,amq-protocol,1.9.2,https://github.com/ruby-amqp/amq-protocol,MIT
rabbit-labrat,diff-lcs,1.2.5,https://github.com/halostatue/diff-lcs,MIT
rabbit-labrat,effin_utf8,1,https://github.com/michaelklishin/effin_utf8,Apache License2.0
rabbit-labrat,erubis,2.7.0,https://github.com/kwatch/erubis,MIT
rabbit-labrat,faraday,0.9.0,https://github.com/lostisland/faraday,MIT
rabbit-labrat,multipart-post,1.2,https://github.com/nicksieger/multipart-post,MIT
rabbit-labrat,faraday_middleware,0.9.1,https://github.com/lostisland/faraday_middleware,MIT
rabbit-labrat,faraday,0.7.4,https://github.com/lostisland/faraday,MIT
rabbit-labrat,hashie,2.0.5,https://github.com/intridea/hashie,MIT
rabbit-labrat,mqtt,0.1.0,https://github.com/njh/ruby-mqtt,MIT
rabbit-labrat,multi_json,1.8.4,https://github.com/intridea/multi_json,MIT
rabbit-labrat,multipart-post,2.0.0,https://github.com/nicksieger/multipart-post,MIT
rabbit-labrat,puma,2.10.2,https://github.com/puma/puma,BSD-3-CLAUSE
rabbit-labrat,rack,1.1,https://github.com/rack/rack,MIT
rabbit-labrat,rabbitmq_http_api_client,1.3.0,https://github.com/ruby-amqp/rabbitmq_http_api_client,MIT
rabbit-labrat,effin_utf8,1.0.0,https://github.com/michaelklishin/effin_utf8,Apache License2.0
rabbit-labrat,faraday,0.9.0,https://github.com/lostisland/faraday,MIT
rabbit-labrat,faraday_middleware,0.9.0,https://github.com/lostisland/faraday_middleware,MIT
rabbit-labrat,hashie,2.0.5,https://github.com/intridea/hashie,MIT
rabbit-labrat,multi_json,1.8.4,https://github.com/intridea/multi_json,MIT
rabbit-labrat,rack,1.5.2,https://github.com/rack/rack,MIT
rabbit-labrat,rack-protection,1.5.3,https://github.com/rack/rack-protection,MIT
rabbit-labrat,rack-test,0.6.2,https://github.com/brynary/rack-test,MIT
rabbit-labrat,rack,1,https://github.com/rack/rack,MIT
rabbit-labrat,rspec,3.1.0,https://github.com/rspec/rspec,MIT
rabbit-labrat,rspec-core,3.1.0,https://github.com/rspec/rspec-core,MIT
rabbit-labrat,rspec-expectations,3.1.0,https://github.com/rspec/rspec-expectations,MIT
rabbit-labrat,rspec-mocks,3.1.0,https://github.com/rspec/rspec-mocks,MIT
rabbit-labrat,rspec-core,3.1.7,https://github.com/rspec/rspec-core,MIT
rabbit-labrat,rspec-support,3.1.0,https://github.com/rspec/rspec-support,MIT
rabbit-labrat,rspec-expectations,3.1.2,https://github.com/rspec/rspec-expectations,MIT
rabbit-labrat,diff-lcs,1.2.0,https://github.com/halostatue/diff-lcs,MIT
rabbit-labrat,rspec-support,3.1.0,https://github.com/rspec/rspec-support,MIT
rabbit-labrat,rspec-mocks,3.1.3,https://github.com/rspec/rspec-mocks,MIT
rabbit-labrat,rspec-support,3.1.0,https://github.com/rspec/rspec-support,MIT
rabbit-labrat,rspec-support,3.1.2,https://github.com/rspec/rspec-support,MIT
rabbit-labrat,sinatra,1.4.5,https://github.com/sinatra/sinatra,MIT
rabbit-labrat,rack,1.4,https://github.com/rack/rack,MIT
rabbit-labrat,rack-protection,1.4,https://github.com/rack/rack-protection,MIT
rabbit-labrat,tilt,1.3.4,https://github.com/rtomayko/tilt,MIT
rabbit-labrat,sinatra-contrib,1.4.2,https://github.com/sinatra/sinatra-contrib,MIT
rabbit-labrat,backports,2,https://github.com/marcandre/backports,MIT
rabbit-labrat,multi_json,1.10.1,https://github.com/intridea/multi_json,MIT
rabbit-labrat,rack-protection,1.5.3,https://github.com/rack/rack-protection,MIT
rabbit-labrat,rack-test,0.6.3,https://github.com/brynary/rack-test,MIT
rabbit-labrat,sinatra,1.4.0,https://github.com/sinatra/sinatra,MIT
rabbit-labrat,tilt,1.3,https://github.com/rtomayko/tilt,MIT
rabbit-labrat,stomp,1.3.4,https://github.com/stompgem/stomp,APACHE 2.0
rabbit-labrat,tilt,1.4.1,https://github.com/rtomayko/tilt,MIT
rabbit-labrat,yajl-ruby,1.2.1,https://github.com/brianmario/yajl-ruby,MIT
