name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
rack,1.5.2,1.5.2,https://github.com/rack/rack,MIT,No change,app-usage-service,,
activemodel,4.1.11,4.1.1,https://rubygems.org/gems/activemodel/versions/4.1.11,MIT,Version Changed,app-usage-service,,,,,
activesupport,4.1.11,4.1.1,https://rubygems.org/gems/activesupport/versions/4.1.11,MIT,Version Changed,app-usage-service,,,,,
activesupport,4.1.11,4.1.1,https://rubygems.org/gems/activesupport/versions/4.1.11,MIT,Version Changed,app-usage-service,,,,,
actionview,4.1.11,4.1.1,https://rubygems.org/gems/actionview/versions/4.1.11,MIT,Version Changed,app-usage-service,,,,,
actionpack,4.1.11,4.1.1,https://rubygems.org/gems/actionpack/versions/4.1.11,MIT,Version Changed,app-usage-service,,,,,
mail,2.5.4,2.5.4,https://github.com/mikel/mail,MIT,No change,app-usage-service,,
actionmailer,4.1.11,4.1.1,https://rubygems.org/gems/actionmailer/versions/4.1.11,MIT,Version Changed,app-usage-service,,,,,
arel,5.0.0,5.0.0,https://github.com/rails/arel,MIT,No change,app-usage-service,,
activemodel,4.1.11,4.1.1,https://rubygems.org/gems/activemodel/versions/4.1.11,MIT,Version Changed,app-usage-service,,,,,
activerecord,4.1.11,4.1.1,https://rubygems.org/gems/activerecord/versions/4.1.11,MIT,Version Changed,app-usage-service,,,,,
actionview,4.1.11,4.1.1,https://rubygems.org/gems/actionview/versions/4.1.11,MIT,Version Changed,app-usage-service,,,,,
actionpack,4.1.11,4.1.1,https://rubygems.org/gems/actionpack/versions/4.1.11,MIT,Version Changed,app-usage-service,,,,,
activesupport,4.1.11,4.1.1,https://rubygems.org/gems/activesupport/versions/4.1.11,MIT,Version Changed,app-usage-service,,,,,
activesupport,4.1.11,4.1.1,https://rubygems.org/gems/activesupport/versions/4.1.11,MIT,Version Changed,app-usage-service,,,,,
actionview,4.1.11,4.1.1,https://rubygems.org/gems/actionview/versions/4.1.11,MIT,Version Changed,app-usage-service,,,,,
crack,0.3.2,0.3.2,https://github.com/jnunemaker/crack,MIT,No change,app-usage-service,,
i18n,0.6.9,0.6.9,https://github.com/svenfuchs/i18n,MIT,No change,app-usage-service,,
minitest,5.1.0,5.1,https://rubygems.org/gems/minitest/versions/5.1.0,MIT,Version Changed,app-usage-service,,,,mark,
activesupport,4.1.11,4.1.1,https://rubygems.org/gems/activesupport/versions/4.1.11,MIT,Version Changed,app-usage-service,,,,,
json,1.7.7,1.7.7,https://github.com/flori/json,RUBY,No change,app-usage-service,,
addressable,2.3.8,2.3.6,https://rubygems.org/gems/addressable/versions/2.3.8,Apache License 2.0,Version Changed,app-usage-service,,,,,
