Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
cf-jenkins-release,aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
cf-jenkins-release,json,1.4,https://github.com/flori/json,RUBY
cf-jenkins-release,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
cf-jenkins-release,aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
cf-jenkins-release,fog,1.23.0,https://github.com/fog/fog,MIT
cf-jenkins-release,httpclient,2.4.0,https://github.com/nahi/httpclient,RUBY
cf-jenkins-release,multi_json,1.1,https://github.com/intridea/multi_json,MIT
cf-jenkins-release,highline,1.6.2,https://rubygems.org/gems/highline,RUBY
cf-jenkins-release,httpclient,2.4.0,https://github.com/nahi/httpclient,RUBY
cf-jenkins-release,json_pure,1.7,https://github.com/flori/json,Ruby License
cf-jenkins-release,minitar,0.5.4,https://github.com/atoulme/minitar,Ruby License
cf-jenkins-release,net-scp,1.1.0,https://github.com/net-ssh/net-scp,MIT
cf-jenkins-release,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
cf-jenkins-release,net-ssh-gateway,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT
cf-jenkins-release,netaddr,1.5.0,http://www.ruby-doc.org/gems/docs/n/netaddr-1.5.0/NetAddr.html,RUBY
cf-jenkins-release,progressbar,0.9.0,https://github.com/peleteiro/progressbar,RUBY
cf-jenkins-release,terminal-table,1.4.3,https://github.com/tj/terminal-table,MIT
cf-jenkins-release,logging,1.5.0,https://github.com/TwP/logging,MIT
cf-jenkins-release,capybara,2.4.4,https://github.com/jnicklas/capybara,MIT
cf-jenkins-release,mime-types,1.16,https://github.com/halostatue/mime-types/,MIT
cf-jenkins-release,nokogiri,1.3.3,https://github.com/sparklemotion/nokogiri,MIT
cf-jenkins-release,rack,1.0.0,https://github.com/rack/rack,MIT
cf-jenkins-release,rack-test,0.5.4,https://github.com/brynary/rack-test,MIT
cf-jenkins-release,xpath,2,https://github.com/jnicklas/xpath,MIT
cf-jenkins-release,multi_json,1.10.1,https://github.com/intridea/multi_json,MIT
cf-jenkins-release,childprocess,0.5.5,https://github.com/jarib/childprocess,MIT
cf-jenkins-release,ffi,1.0.11,https://github.com/ffi/ffi,BSD
cf-jenkins-release,ci_reporter,2.0.0,https://github.com/ci-reporter/ci_reporter,MIT
cf-jenkins-release,builder,2.1.2,https://github.com/jimweirich/builder,MIT
cf-jenkins-release,cliver,0.3.2,https://github.com/yaauie/cliver,MIT
cf-jenkins-release,diff-lcs,1.2.5,https://github.com/halostatue/diff-lcs,MIT
cf-jenkins-release,dock_it,0.2.2,https://github.com/dockitapp/dockit,MIT
cf-jenkins-release,excon,0.41.0,https://github.com/excon/excon,MIT
cf-jenkins-release,faraday,0.9.0,https://github.com/lostisland/faraday,MIT
cf-jenkins-release,multipart-post,1.2,https://github.com/nicksieger/multipart-post,MIT
cf-jenkins-release,faraday_middleware,0.9.1,https://github.com/lostisland/faraday_middleware,MIT
cf-jenkins-release,faraday,0.7.4,https://github.com/lostisland/faraday,MIT
cf-jenkins-release,aws-sdk,1.44.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
cf-jenkins-release,ffi,1.9.6,https://github.com/ffi/ffi,BSD
cf-jenkins-release,fog,1.23.0,https://github.com/fog/fog,MIT
cf-jenkins-release,fog-brightbox,0.7.1,https://rubygems.org/gems/fog-brightbox,MIT
cf-jenkins-release,fog-core,1.23,https://github.com/fog/fog-core,MIT
cf-jenkins-release,fog-softlayer,0.3.30,https://github.com/fog/fog-softlayer,MIT
cf-jenkins-release,ipaddress,0.5,https://github.com/bluemonk/ipaddress,MIT
cf-jenkins-release,nokogiri,1.5.11,https://github.com/sparklemotion/nokogiri,MIT
cf-jenkins-release,fog-brightbox,0.6.1,https://rubygems.org/gems/fog-brightbox,MIT
cf-jenkins-release,fog-core,1.22,https://github.com/fog/fog-core,MIT
cf-jenkins-release,inflecto,0.0.2,https://github.com/mbj/inflecto,MIT
cf-jenkins-release,fog-core,1.25.0,https://github.com/fog/fog-core,MIT
cf-jenkins-release,builder,3.2.2,https://github.com/jimweirich/builder,MIT
cf-jenkins-release,excon,0.38,https://github.com/excon/excon,MIT
cf-jenkins-release,formatador,0.2,https://github.com/geemus/formatador,MIT
cf-jenkins-release,mime-types,2.4.3,https://github.com/halostatue/mime-types/,MIT
cf-jenkins-release,net-scp,1.1,https://github.com/net-ssh/net-scp,MIT
cf-jenkins-release,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
cf-jenkins-release,fog-json,1.0.0,https://github.com/fog/fog-json,MIT
cf-jenkins-release,multi_json,1,https://github.com/intridea/multi_json,MIT
cf-jenkins-release,fog-softlayer,0.3.24,https://github.com/fog/fog-softlayer,MIT
cf-jenkins-release,fog-core,1.27.3,https://github.com/fog/fog-core,MIT
cf-jenkins-release,fog-json,1.0.0,https://github.com/fog/fog-json,MIT
cf-jenkins-release,formatador,0.2.5,https://github.com/geemus/formatador,MIT
cf-jenkins-release,headless,1.0.2,https://github.com/leonid-shevtsov/headless,MIT
cf-jenkins-release,highline,1.6.21,https://rubygems.org/gems/highline,RUBY
cf-jenkins-release,httmultiparty,0.3.16,https://github.com/jwagener/httmultiparty,MIT
cf-jenkins-release,httparty,0.7.3,https://github.com/jnunemaker/httparty,MIT
cf-jenkins-release,mimemagic,0.2.1,https://github.com/minad/mimemagic,MIT
cf-jenkins-release,multipart-post,2.0.0,https://github.com/nicksieger/multipart-post,MIT
cf-jenkins-release,httparty,0.13.3,https://github.com/jnunemaker/httparty,MIT
cf-jenkins-release,json,1.8,https://github.com/flori/json,RUBY
cf-jenkins-release,multi_xml,0.5.2,https://github.com/sferik/multi_xml,MIT
cf-jenkins-release,httpclient,2.4.0,https://github.com/nahi/httpclient,RUBY
cf-jenkins-release,inflecto,0.0.2,https://github.com/mbj/inflecto,MIT
cf-jenkins-release,ipaddress,0.8.0,https://github.com/bluemonk/ipaddress,MIT
cf-jenkins-release,capybara,2.4,https://github.com/jnicklas/capybara,MIT
cf-jenkins-release,headless,1.0.2,https://github.com/leonid-shevtsov/headless,MIT
cf-jenkins-release,poltergeist,1.5.1,https://github.com/teampoltergeist/poltergeist,MIT
