name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
capybara,2.4.3,2.4.4,https://rubygems.org/gems/capybara/versions/2.4.3,MIT,Version Changed,cf-jenkins-release,,,,,
coderay,1.1.0,None,https://rubygems.org/gems/coderay/versions/1.1.0,MIT,New in 1.5,cf-jenkins-release,,
cliver,0.3.2,0.3.2,https://github.com/yaauie/cliver,MIT,No change,cf-jenkins-release,,
ffi,1.9.3,1.0.11,https://rubygems.org/gems/ffi/versions/1.9.3,BSD,Version Changed,cf-jenkins-release,,,,,
faraday,0.9.0,0.9.0,https://github.com/lostisland/faraday,MIT,No change,cf-jenkins-release,,
multipart-post,1.2.0,1.2,https://rubygems.org/gems/multipart-post/versions/1.2.0,MIT,Version Changed,cf-jenkins-release,,,,mark,
equivalent-xml,0.5.1,None,https://rubygems.org/gems/equivalent-xml/versions/0.5.1,MIT,New in 1.5,cf-jenkins-release,,
childprocess,0.5.3,0.5.5,https://rubygems.org/gems/childprocess/versions/0.5.3,MIT,Version Changed,cf-jenkins-release,,,,,
diff-lcs,1.2.5,1.2.5,https://github.com/halostatue/diff-lcs,MIT,No change,cf-jenkins-release,,
celluloid,0.15.2,None,https://rubygems.org/gems/celluloid/versions/0.15.2,MIT,New in 1.5,cf-jenkins-release,,
mime-types,2.6.1,1.16,https://rubygems.org/gems/mime-types,MIT,Version Changed,cf-jenkins-release,,,,,
guard,2.6.1,None,https://rubygems.org/gems/guard/versions/2.6.1,MIT,New in 1.5,cf-jenkins-release,,
thor,0.18.1,0.19.1,https://rubygems.org/gems/thor/versions/0.18.1,MIT,Version Changed,cf-jenkins-release,,,,,
guard-rspec,4.2.10,None,https://rubygems.org/gems/guard-rspec/versions/4.2.10,MIT,New in 1.5,cf-jenkins-release,,
listen,2.7.0,None,https://rubygems.org/gems/listen/versions/2.7.0,MIT,New in 1.5,cf-jenkins-release,,
guard,2.1.0,None,https://rubygems.org/gems/guard/versions/2.1.0,MIT,New in 1.5,cf-jenkins-release,,
rspec,2.14.0,3.1,https://rubygems.org/gems/rspec/versions/2.14.0,MIT,Version Changed,cf-jenkins-release,,,,,
capybara,2.1.0,2.4.4,https://rubygems.org/gems/capybara/versions/2.1.0,MIT,Version Changed,cf-jenkins-release,https://github.com/jnicklas/capybara/blob/master/License.txt,,,,
pry,0.9.12,None,https://rubygems.org/gems/pry/versions/0.9.12,MIT,New in 1.5,cf-jenkins-release,https://github.com/pry/pry/blob/master/LICENSE,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,cf-jenkins-release,,
