Repo/Source of Dependency,Component Name,1.4 Version,Download URL,License
p-jenkins,aws-sdk,1.32.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
p-jenkins,json,1.4,https://github.com/flori/json,RUBY
p-jenkins,nokogiri,1.4.4,https://github.com/sparklemotion/nokogiri,MIT
p-jenkins,uuidtools,2.1,https://github.com/sporkmonger/uuidtools,Apache License2.0
p-jenkins,aws-sdk,1.32.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
p-jenkins,fog,1.14.0,https://github.com/fog/fog,MIT
p-jenkins,httpclient,2.2.4,https://github.com/nahi/httpclient,RUBY
p-jenkins,multi_json,1.1,https://github.com/intridea/multi_json,MIT
p-jenkins,highline,1.6.2,https://rubygems.org/gems/highline,RUBY
p-jenkins,httpclient,2.2.4,https://github.com/nahi/httpclient,RUBY
p-jenkins,json_pure,1.7,https://github.com/flori/json,Ruby License
p-jenkins,minitar,0.5.4,https://github.com/atoulme/minitar,RUBY
p-jenkins,net-scp,1.1.0,https://github.com/net-ssh/net-scp,MIT
p-jenkins,net-ssh,2.2.1,https://github.com/net-ssh/net-ssh,MIT
p-jenkins,net-ssh-gateway,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT
p-jenkins,netaddr,1.5.0,http://www.ruby-doc.org/gems/docs/n/netaddr-1.5.0/NetAddr.html,RUBY
p-jenkins,progressbar,0.9.0,https://github.com/peleteiro/progressbar,RUBY
p-jenkins,terminal-table,1.4.3,https://github.com/tj/terminal-table,MIT
p-jenkins,builder,3.2.2,https://github.com/jimweirich/builder,MIT
p-jenkins,capybara,2.4.4,https://github.com/jnicklas/capybara,MIT
p-jenkins,mime-types,1.16,https://github.com/halostatue/mime-types/,MIT
p-jenkins,nokogiri,1.3.3,https://github.com/sparklemotion/nokogiri,MIT
p-jenkins,rack,1.0.0,https://github.com/rack/rack,MIT
p-jenkins,rack-test,0.5.4,https://github.com/brynary/rack-test,MIT
p-jenkins,xpath,2,https://github.com/jnicklas/xpath,MIT
p-jenkins,multi_json,1.10.1,https://github.com/intridea/multi_json,MIT
p-jenkins,childprocess,0.5.5,https://github.com/jarib/childprocess,MIT
p-jenkins,ffi,1.0.11,https://github.com/ffi/ffi,BSD
p-jenkins,ci_reporter,2.0.0,https://github.com/ci-reporter/ci_reporter,MIT
p-jenkins,builder,2.1.2,https://github.com/jimweirich/builder,MIT
p-jenkins,cliver,0.3.2,https://github.com/yaauie/cliver,MIT
p-jenkins,diff-lcs,1.2.5,https://github.com/halostatue/diff-lcs,MIT
p-jenkins,dock_it,0.2.2,https://github.com/dockitapp/dockit,MIT
p-jenkins,excon,0.25.3,https://github.com/excon/excon,MIT
p-jenkins,faraday,0.9.0,https://github.com/lostisland/faraday,MIT
p-jenkins,multipart-post,1.2,https://github.com/nicksieger/multipart-post,MIT
p-jenkins,faraday_middleware,0.9.1,https://github.com/lostisland/faraday_middleware,MIT
p-jenkins,faraday,0.7.4,https://github.com/lostisland/faraday,MIT
p-jenkins,aws-sdk,1.32.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
p-jenkins,ffi,1.9.6,https://github.com/ffi/ffi,BSD
p-jenkins,fog,1.14.0,https://github.com/fog/fog,MIT
p-jenkins,builder,3.2.2,https://github.com/jimweirich/builder,MIT
p-jenkins,excon,0.25.0,https://github.com/excon/excon,MIT
p-jenkins,formatador,0.2.0,https://github.com/geemus/formatador,MIT
p-jenkins,mime-types,2.4.3,https://github.com/halostatue/mime-types/,MIT
p-jenkins,multi_json,1,https://github.com/intridea/multi_json,MIT
p-jenkins,net-scp,1.1,https://github.com/net-ssh/net-scp,MIT
p-jenkins,net-ssh,2.1.3,https://github.com/net-ssh/net-ssh,MIT
p-jenkins,nokogiri,1.5,https://github.com/sparklemotion/nokogiri,MIT
p-jenkins,ruby-hmac,0.4.0,https://rubygems.org/downloads/ruby-hmac-0.4.0.gem,MIT
p-jenkins,formatador,0.2.5,https://github.com/geemus/formatador,MIT
p-jenkins,headless,1.0.2,https://github.com/leonid-shevtsov/headless,MIT
p-jenkins,highline,1.6.21,https://rubygems.org/gems/highline,RUBY
p-jenkins,httmultiparty,0.3.16,https://github.com/jwagener/httmultiparty,MIT
p-jenkins,httparty,0.7.3,https://github.com/jnunemaker/httparty,MIT
p-jenkins,mimemagic,0.2.1,https://github.com/minad/mimemagic,MIT
p-jenkins,multipart-post,2.0.0,https://github.com/nicksieger/multipart-post,MIT
p-jenkins,httparty,0.13.3,https://github.com/jnunemaker/httparty,MIT
p-jenkins,json,1.8,https://github.com/flori/json,RUBY
p-jenkins,multi_xml,0.5.2,https://github.com/sferik/multi_xml,MIT
p-jenkins,httpclient,2.2.4,https://github.com/nahi/httpclient,RUBY
p-jenkins,capybara,2.4,https://github.com/jnicklas/capybara,MIT
p-jenkins,headless,1.0.2,https://github.com/leonid-shevtsov/headless,MIT
p-jenkins,poltergeist,1.5.1,https://github.com/teampoltergeist/poltergeist,MIT
p-jenkins,prof,0.12.0,https://github.com/ruby-prof/ruby-prof,BSD
p-jenkins,selenium-webdriver,2.44.0,https://github.com/vertis/selenium-webdriver,Apache License2.0
p-jenkins,json,1.8.1,https://github.com/flori/json,RUBY
p-jenkins,json_pure,1.8.1,https://github.com/flori/json,Ruby License
p-jenkins,log4r,1.1.10,https://github.com/colbygk/log4r,BSD
p-jenkins,mime-types,2.4.3,https://github.com/halostatue/mime-types/,MIT
p-jenkins,mimemagic,0.2.1,https://github.com/minad/mimemagic,MIT
p-jenkins,mini_portile,0.6.1,https://github.com/flavorjones/mini_portile,MIT
p-jenkins,minitar,0.5.4,https://github.com/atoulme/minitar,RUBY
p-jenkins,multi_json,1.10.1,https://github.com/intridea/multi_json,MIT
p-jenkins,multi_xml,0.5.5,https://github.com/sferik/multi_xml,MIT
p-jenkins,multipart-post,2.0.0,https://github.com/nicksieger/multipart-post,MIT
p-jenkins,net-scp,1.1.2,https://github.com/net-ssh/net-scp,MIT
p-jenkins,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
p-jenkins,net-ssh,2.9.1,https://github.com/net-ssh/net-ssh,MIT
p-jenkins,net-ssh-gateway,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT
p-jenkins,net-ssh,2.6.5,https://github.com/net-ssh/net-ssh,MIT
p-jenkins,netaddr,1.5.0,http://www.ruby-doc.org/gems/docs/n/netaddr-1.5.0/NetAddr.html,RUBY
p-jenkins,nokogiri,1.6.4.1,https://github.com/sparklemotion/nokogiri,MIT
p-jenkins,mini_portile,0.6.0,https://github.com/flavorjones/mini_portile,MIT
p-jenkins,open4,1.3.4,https://github.com/ahoward/open4,Ruby License
p-jenkins,pipeline,0.1.2,https://github.com/jch/html-pipeline,MIT
p-jenkins,aws-sdk,1.61.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0
p-jenkins,prof,0.9.2,https://github.com/ruby-prof/ruby-prof,BSD
p-jenkins,rake,10.4.2,https://github.com/ruby/rake,MIT
p-jenkins,poltergeist,1.5.1,https://github.com/teampoltergeist/poltergeist,MIT
p-jenkins,capybara,2.1,https://github.com/jnicklas/capybara,MIT
p-jenkins,cliver,0.3.1,https://github.com/yaauie/cliver,MIT
p-jenkins,multi_json,1,https://github.com/intridea/multi_json,MIT
p-jenkins,websocket-driver,0.2.0,https://github.com/faye/websocket-driver-ruby,MIT
p-jenkins,prof,0.12.1,https://github.com/ruby-prof/ruby-prof,BSD
p-jenkins,capybara,2.4.4,https://github.com/jnicklas/capybara,MIT
p-jenkins,ci_reporter,2.0.0,https://github.com/ci-reporter/ci_reporter,MIT
p-jenkins,faraday,0.9.1,https://github.com/lostisland/faraday,MIT
p-jenkins,faraday_middleware,0.9.1,https://github.com/lostisland/faraday_middleware,MIT
p-jenkins,httmultiparty,0.3.16,https://github.com/jwagener/httmultiparty,MIT
p-jenkins,net-ssh-gateway,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT
p-jenkins,nokogiri,1.6.5,https://github.com/sparklemotion/nokogiri,MIT
p-jenkins,poltergeist,1.5.1,https://github.com/teampoltergeist/poltergeist,MIT
p-jenkins,rspec,3.1,https://github.com/rspec/rspec,MIT
p-jenkins,rspec_junit_formatter,0.2.0,https://github.com/sj26/rspec_junit_formatter,MIT
p-jenkins,rubyzip,1.1,https://github.com/rubyzip/rubyzip,Ruby License
p-jenkins,progressbar,0.9.2,https://github.com/peleteiro/progressbar,RUBY
p-jenkins,rack,1.5.2,https://github.com/rack/rack,MIT
p-jenkins,rack-test,0.6.2,https://github.com/brynary/rack-test,MIT
p-jenkins,rack,1,https://github.com/rack/rack,MIT
p-jenkins,rake,10.3.2,https://github.com/ruby/rake,MIT
p-jenkins,rspec,3.1.0,https://github.com/rspec/rspec,MIT
p-jenkins,rspec-core,3.1.0,https://github.com/rspec/rspec-core,MIT
p-jenkins,rspec-expectations,3.1.0,https://github.com/rspec/rspec-expectations,MIT
p-jenkins,rspec-mocks,3.1.0,https://github.com/rspec/rspec-mocks,MIT
p-jenkins,rspec-core,3.1.7,https://github.com/rspec/rspec-core,MIT
p-jenkins,rspec-support,3.1.0,https://github.com/rspec/rspec-support,MIT
p-jenkins,rspec-expectations,3.1.2,https://github.com/rspec/rspec-expectations,MIT
p-jenkins,diff-lcs,1.2.0,https://github.com/halostatue/diff-lcs,MIT
p-jenkins,rspec-support,3.1.0,https://github.com/rspec/rspec-support,MIT
p-jenkins,rspec-mocks,3.1.3,https://github.com/rspec/rspec-mocks,MIT
p-jenkins,rspec-support,3.1.0,https://github.com/rspec/rspec-support,MIT
p-jenkins,rspec-support,3.1.2,https://github.com/rspec/rspec-support,MIT
p-jenkins,rspec_junit_formatter,0.2.0,https://github.com/sj26/rspec_junit_formatter,MIT
p-jenkins,builder,4,https://github.com/jimweirich/builder,MIT
p-jenkins,rspec,2,https://github.com/rspec/rspec,MIT
p-jenkins,rspec-core,2.12.0,https://github.com/rspec/rspec-core,MIT
p-jenkins,log4r,1.1.9,https://github.com/colbygk/log4r,BSD
p-jenkins,ruby-hmac,0.4.0,https://rubygems.org/downloads/ruby-hmac-0.4.0.gem,MIT
p-jenkins,rubyzip,1.1.6,https://github.com/rubyzip/rubyzip,Ruby License
p-jenkins,selenium-webdriver,2.44.0,https://github.com/vertis/selenium-webdriver,Apache License2.0
p-jenkins,childprocess,0.5,https://github.com/jarib/childprocess,MIT
p-jenkins,multi_json,1,https://github.com/intridea/multi_json,MIT
