name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
bosh_common,1.2624.0,None,https://rubygems.org/gems/bosh_common/versions/1.2624.0,Apache 2.0,New in 1.5,p-jenkins,,
blobstore_client,1.2624.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2624.0,Apache 2.0,New in 1.5,p-jenkins,,
net-scp,1.1.0,1.1.0,https://github.com/net-ssh/net-scp,MIT,No change,p-jenkins,,
blobstore_client,1.2624.0,None,https://rubygems.org/gems/blobstore_client/versions/1.2624.0,Apache 2.0,New in 1.5,p-jenkins,,
fog,1.14.0,1.14.0,https://github.com/fog/fog,MIT,No change,p-jenkins,,
aws-sdk,1.32.0,1.32.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0,No change,p-jenkins,,
bosh_cli,1.2624.0,None,https://rubygems.org/gems/bosh_cli/versions/1.2624.0,Apache 2.0,New in 1.5,p-jenkins,,
aws-sdk,1.32.0,1.32.0,https://github.com/aws/aws-sdk-core-ruby,APACHE-2.0,No change,p-jenkins,,
bosh_common,1.2624.0,None,https://rubygems.org/gems/bosh_common/versions/1.2624.0,Apache 2.0,New in 1.5,p-jenkins,,
uuidtools,2.1.5,2.1.5,https://github.com/sporkmonger/uuidtools,Apache License2.0,No change,p-jenkins,,
net-ssh-gateway,1.2.0,1.2.0,https://github.com/net-ssh/net-ssh-gateway,MIT,No change,p-jenkins,,
bosh_common,1.2624.0,None,https://rubygems.org/gems/bosh_common/versions/1.2624.0,Apache 2.0,New in 1.5,p-jenkins,,
semi_semantic,1.1.0,None,https://rubygems.org/gems/semi_semantic/versions/1.1.0,Apache 2.0,New in 1.5,p-jenkins,,
capybara,2.4.4,2.4.4,https://github.com/jnicklas/capybara,MIT,No change,p-jenkins,,
ruby-atmos-pure,1.0.5,None,https://rubygems.org/gems/ruby-atmos-pure/versions/1.0.5,N/A,New in 1.5,p-jenkins,Not Found Github Url,
multi_json,1.0.0,1.1,https://rubygems.org/gems/multi_json/versions/1.0.0,MIT,Version Changed,p-jenkins,https://github.com/intridea/multi_json/blob/master/LICENSE.md,,,,
json,1.4.0,1.4,https://rubygems.org/gems/json/versions/1.4.0,N/A,Version Changed,p-jenkins,https://flori.github.com/json/,https://github.com/flori/json,RUBY,mark,
minitar,0.5.4,0.5.4,https://github.com/atoulme/minitar,RUBY,No change,p-jenkins,,
httmultiparty,0.3.16,0.3.16,https://github.com/jwagener/httmultiparty,MIT,No change,p-jenkins,,
websocket-driver,0.4.0,0.4.0,https://github.com/faye/websocket-driver-ruby,MIT,No change,p-jenkins,,
mime-types,2.6.1,1.16,https://rubygems.org/gems/mime-types,MIT,Version Changed,p-jenkins,,,,,
cf-uaa-lib,3.1.0,None,https://rubygems.org/gems/cf-uaa-lib/versions/3.1.0,Apache 2.0,New in 1.5,p-jenkins,,
childprocess,0.5.5,0.5.5,https://github.com/jarib/childprocess,MIT,No change,p-jenkins,,
thor,0.19.1,0.19.1,https://github.com/erikhuda/thor,MIT,No change,p-jenkins,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,p-jenkins,,
