name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
faraday,0.9.0,0.9.0,https://github.com/lostisland/faraday,MIT,No change,rabbit-labrat,,
amq-protocol,1.9.2,1.9.2,https://github.com/ruby-amqp/amq-protocol,MIT,No change,rabbit-labrat,,
multi_json,1.8.4,1.8.4,https://github.com/intridea/multi_json,MIT,No change,rabbit-labrat,,
bunny,1.6.3,1.6.3,https://github.com/ruby-amqp/bunny,MIT,No change,rabbit-labrat,,
mqtt,0.1.0,0.1.0,https://github.com/njh/ruby-mqtt,MIT,No change,rabbit-labrat,,
faraday,0.9.0,0.9.0,https://github.com/lostisland/faraday,MIT,No change,rabbit-labrat,,
rabbitmq_http_api_client,1.3.0,1.3.0,https://github.com/ruby-amqp/rabbitmq_http_api_client,MIT,No change,rabbit-labrat,,
faraday_middleware,0.9.1,0.9.1,https://github.com/lostisland/faraday_middleware,MIT,No change,rabbit-labrat,,
hashie,2.0.5,2.0.5,https://github.com/intridea/hashie,MIT,No change,rabbit-labrat,,
multipart-post,2.0.0,2.0.0,https://github.com/nicksieger/multipart-post,MIT,No change,rabbit-labrat,,
amq-protocol,1.9.2,1.9.2,https://github.com/ruby-amqp/amq-protocol,MIT,No change,rabbit-labrat,,
multipart-post,1.2.0,1.2,https://rubygems.org/gems/multipart-post/versions/1.2.0,MIT,Version Changed,rabbit-labrat,,,,mark,
diff-lcs,1.2.5,1.2.5,https://github.com/halostatue/diff-lcs,MIT,No change,rabbit-labrat,,
puma,2.10.2,2.10.2,https://github.com/puma/puma,BSD-3-CLAUSE,No change,rabbit-labrat,,
sinatra,1.4.0,1.4.0,https://github.com/sinatra/sinatra,MIT,No change,rabbit-labrat,,
hashie,2.0.5,2.0.5,https://github.com/intridea/hashie,MIT,No change,rabbit-labrat,,
rack,1.5.2,1.5.2,https://github.com/rack/rack,MIT,No change,rabbit-labrat,,
multi_json,1.8.4,1.8.4,https://github.com/intridea/multi_json,MIT,No change,rabbit-labrat,,
rack,1.6.4,1.1,https://rubygems.org/gems/rack,MIT,Version Changed,rabbit-labrat,,,,,
rspec-core,3.1.0,3.1.0,https://github.com/rspec/rspec-core,MIT,No change,rabbit-labrat,,
rack-protection,1.5.3,1.5.3,https://github.com/rack/rack-protection,MIT,No change,rabbit-labrat,,
